Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2018,2018-11-01,23.225,16.0,22.0,72.73,262.0,3.0,0.0,151.9,0.0,0.0,11.91,14.64
2018,2018-11-12,23.236,27.0,39.0,69.23,250.0,1.0,2.0,73.7,0.0,0.0,6.41,4.62
2018,2018-11-25,23.249000000000002,18.0,32.0,56.25,221.0,1.0,2.0,62.1,4.0,27.0,6.91,4.72
2018,2018-12-02,23.256,30.0,48.0,62.5,414.0,2.0,1.0,95.3,3.0,28.0,8.63,8.52
2018,2018-12-09,23.263,20.0,33.0,60.61,332.0,2.0,1.0,102.1,3.0,27.0,10.06,9.91
2018,2018-12-16,23.27,20.0,29.0,68.97,275.0,1.0,0.0,110.6,3.0,18.0,9.48,10.17
2018,2018-12-23,23.276999999999997,22.0,38.0,57.89,241.0,0.0,1.0,65.8,1.0,9.0,6.34,5.16
2018,2018-12-30,23.284000000000002,23.0,33.0,69.7,282.0,3.0,3.0,88.2,3.0,18.0,8.55,6.27
2019,2019-10-27,24.22,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2020,2020-09-20,25.183000000000003,8.0,11.0,72.73,71.0,0.0,1.0,51.7,2.0,17.0,6.45,2.36
2020,2020-09-27,25.19,25.0,36.0,69.44,343.0,1.0,0.0,108.9,2.0,16.0,9.53,10.08
2020,2020-10-04,25.197,18.0,26.0,69.23,200.0,1.0,2.0,72.6,4.0,28.0,7.69,5.0
2020,2020-11-01,25.225,18.0,25.0,72.0,238.0,2.0,0.0,128.4,0.0,0.0,9.52,11.12
2020,2020-11-05,25.229,22.0,35.0,62.86,291.0,1.0,1.0,86.7,1.0,9.0,8.31,7.6
2020,2020-11-15,25.239,24.0,38.0,63.16,247.0,1.0,2.0,68.6,2.0,15.0,6.5,4.66
2020,2020-11-29,25.253,24.0,35.0,68.57,252.0,0.0,1.0,77.3,2.0,19.0,7.2,5.91
2020,2020-12-07,25.261,26.0,39.0,66.67,316.0,3.0,2.0,95.7,0.0,0.0,8.1,7.33
2020,2020-12-13,25.267,25.0,45.0,55.56,260.0,1.0,1.0,70.6,4.0,24.0,5.78,5.22
2020,2020-12-20,25.274,21.0,36.0,58.33,219.0,2.0,2.0,71.4,2.0,11.0,6.08,4.69
