Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1976,1976-09-12,23.233,1.0,1.0,100.0,47.0,1.0,0.0,158.3,,,47.0,67.0
1976,1976-09-19,23.24,11.0,22.0,50.0,136.0,0.0,2.0,31.6,1.0,3.0,6.18,2.09
1976,1976-10-17,23.268,2.0,3.0,66.67,18.0,1.0,0.0,122.2,1.0,11.0,6.0,12.67
1976,1976-10-24,23.275,2.0,4.0,50.0,77.0,1.0,0.0,135.4,2.0,6.0,19.25,24.25
1976,1976-10-31,23.281999999999996,2.0,3.0,66.67,26.0,1.0,0.0,133.3,,,8.67,15.33
1976,1976-11-14,23.296,10.0,17.0,58.82,172.0,1.0,1.0,88.4,1.0,11.0,10.12,8.65
1976,1976-11-21,23.303,3.0,8.0,37.5,61.0,1.0,0.0,104.7,5.0,35.0,7.63,10.13
1976,1976-11-28,23.31,14.0,21.0,66.67,126.0,2.0,1.0,94.5,2.0,10.0,6.0,5.76
1976,1976-12-04,23.316,13.0,21.0,61.9,214.0,0.0,0.0,96.1,1.0,10.0,10.19,10.19
1976,1976-12-11,23.323,2.0,5.0,40.0,19.0,0.0,0.0,51.2,,,3.8,3.8
1977,1977-10-02,24.252,0.0,0.0,,0.0,0.0,,,1.0,7.0,,
1977,1977-10-10,24.26,3.0,6.0,50.0,55.0,1.0,0.0,121.5,,,9.17,12.5
1977,1977-10-16,24.266,9.0,16.0,56.25,180.0,0.0,1.0,69.8,3.0,15.0,11.25,8.44
1977,1977-10-24,24.274,12.0,21.0,57.14,116.0,2.0,0.0,104.5,1.0,2.0,5.52,7.43
1977,1977-10-30,24.28,17.0,26.0,65.38,261.0,2.0,0.0,124.0,3.0,19.0,10.04,11.58
1977,1977-11-06,24.287,10.0,21.0,47.62,123.0,2.0,0.0,97.9,,,5.86,7.76
1977,1977-11-13,24.294,10.0,17.0,58.82,146.0,1.0,0.0,106.5,,,8.59,9.76
1977,1977-11-20,24.301,5.0,13.0,38.46,92.0,1.0,0.0,89.3,1.0,6.0,7.08,8.62
1977,1977-11-27,24.308000000000003,21.0,29.0,72.41,172.0,0.0,3.0,47.6,2.0,25.0,5.93,1.28
1977,1977-12-04,24.315,13.0,22.0,59.09,186.0,1.0,0.0,101.7,2.0,21.0,8.45,9.36
1977,1977-12-11,24.322,15.0,25.0,60.0,152.0,1.0,1.0,74.1,2.0,31.0,6.08,5.08
1977,1977-12-17,24.328000000000003,7.0,20.0,35.0,68.0,0.0,1.0,24.6,2.0,25.0,3.4,1.15
1978,1978-09-03,25.223000000000003,14.0,33.0,42.42,154.0,0.0,0.0,56.9,5.0,37.0,4.67,4.67
1978,1978-09-10,25.23,19.0,36.0,52.78,237.0,0.0,2.0,50.3,2.0,21.0,6.58,4.08
