Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1978,1978-10-08,23.022,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1978,1978-10-29,23.043000000000003,9.0,13.0,69.23,106.0,0.0,2.0,54.2,,,8.15,1.23
1979,1979-09-09,23.358,2.0,4.0,50.0,13.0,0.0,1.0,17.7,2.0,14.0,3.25,-8.0
1980,1980-09-07,24.357,,,,,,,,,,,
1980,1980-09-14,24.364,,,,,,,,,,,
1980,1980-09-21,25.005,,,,,,,,,,,
1980,1980-09-28,25.011999999999997,,,,,,,,,,,
1980,1980-10-05,25.019000000000002,,,,,,,,,,,
1980,1980-10-27,25.041,,,,,,,,,,,
1980,1980-11-02,25.046999999999997,,,,,,,,,,,
1980,1980-11-09,25.054000000000002,,,,,,,,,,,
1980,1980-11-16,25.061,,,,,,,,,,,
1980,1980-11-23,25.068,,,,,,,,,,,
1980,1980-11-30,25.075,,,,,,,,,,,
1980,1980-12-07,25.081999999999997,,,,,,,,,,,
1980,1980-12-14,25.089000000000002,,,,,,,,,,,
1980,1980-12-20,25.095,,,,,,,,,,,
1981,1981-09-13,25.362,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-20,26.004,3.0,5.0,60.0,44.0,1.0,0.0,128.3,0.0,0.0,8.8,12.8
1981,1981-09-27,26.011,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-04,26.018,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-11,26.025,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-18,26.031999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-25,26.039,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-01,26.046,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-08,26.053,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-15,26.06,1.0,4.0,25.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,-10.25
1981,1981-11-22,26.066999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-29,26.074,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-12-06,26.081,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-12,26.087,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-20,26.095,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-09-12,26.361,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-09-19,27.003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-11-21,27.066,3.0,4.0,75.0,27.0,0.0,0.0,92.7,0.0,0.0,6.75,6.75
1982,1982-11-28,27.073,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-06,27.081,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-12,27.087,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-18,27.093000000000004,2.0,3.0,66.67,21.0,0.0,0.0,86.8,0.0,0.0,7.0,7.0
1982,1982-12-26,27.101,1.0,1.0,100.0,20.0,1.0,0.0,158.3,0.0,0.0,20.0,40.0
1982,1983-01-02,27.108,6.0,10.0,60.0,78.0,1.0,1.0,78.3,0.0,0.0,7.8,5.3
1983,1983-09-04,27.353,,,,,,,,0.0,,,
1983,1983-09-11,27.36,,,,,,,,0.0,,,
1983,1983-09-18,28.002,,,,,,,,0.0,,,
1983,1983-09-25,28.009,,,,,,,,0.0,,,
1983,1983-10-03,28.017,,,,,,,,0.0,,,
1983,1983-10-09,28.023000000000003,,,,,,,,0.0,,,
1983,1983-10-16,28.03,15.0,22.0,68.18,132.0,1.0,1.0,80.1,1.0,3.0,6.0,4.86
1983,1983-10-23,28.037,,,,,,,,0.0,,,
