Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2017,2017-12-31,22.105,22.0,35.0,62.86,284.0,0.0,1.0,76.4,2.0,15.0,8.11,6.83
2018,2018-09-09,22.357,15.0,27.0,55.56,256.0,4.0,0.0,127.5,1.0,0.0,9.48,12.44
2018,2018-09-16,22.364,23.0,28.0,82.14,326.0,6.0,0.0,154.8,1.0,4.0,11.64,15.93
2018,2018-09-23,23.006,24.0,38.0,63.16,314.0,3.0,0.0,115.5,2.0,7.0,8.26,9.84
2018,2018-10-01,23.014,28.0,45.0,62.22,304.0,1.0,0.0,89.5,1.0,0.0,6.76,7.2
2018,2018-10-07,23.02,22.0,38.0,57.89,313.0,0.0,2.0,62.7,1.0,15.0,8.24,5.87
2018,2018-10-14,23.026999999999997,23.0,36.0,63.89,352.0,4.0,2.0,110.0,0.0,0.0,9.78,9.5
2018,2018-10-21,23.034000000000002,28.0,39.0,71.79,358.0,4.0,1.0,123.7,2.0,5.0,9.18,10.08
2018,2018-10-28,23.041,24.0,34.0,70.59,303.0,4.0,1.0,125.0,2.0,12.0,8.91,9.94
2018,2018-11-04,23.048000000000002,23.0,32.0,71.88,375.0,3.0,1.0,129.0,2.0,15.0,11.72,12.19
2018,2018-11-11,23.055,21.0,28.0,75.0,249.0,2.0,0.0,125.4,5.0,37.0,8.89,10.32
2018,2018-11-19,23.063000000000002,33.0,46.0,71.74,478.0,6.0,3.0,117.6,3.0,30.0,10.39,10.07
2018,2018-12-02,23.076,23.0,38.0,60.53,295.0,4.0,0.0,120.0,0.0,0.0,7.76,9.87
2018,2018-12-09,23.083000000000002,35.0,53.0,66.04,377.0,2.0,1.0,91.5,3.0,29.0,7.11,7.02
2018,2018-12-13,23.087,24.0,34.0,70.59,243.0,2.0,0.0,110.3,2.0,9.0,7.15,8.32
2018,2018-12-23,23.096999999999998,23.0,40.0,57.5,273.0,3.0,0.0,103.4,1.0,8.0,6.83,8.33
2018,2018-12-30,23.104,14.0,24.0,58.33,281.0,2.0,1.0,109.9,0.0,0.0,11.71,11.5
2019,2019-09-08,23.355999999999998,25.0,33.0,75.76,378.0,3.0,0.0,143.2,0.0,0.0,11.45,13.27
2019,2019-09-15,23.363000000000003,30.0,44.0,68.18,443.0,4.0,0.0,131.2,2.0,7.0,10.07,11.89
2019,2019-09-22,24.005,27.0,37.0,72.97,374.0,3.0,0.0,132.0,1.0,11.0,10.11,11.73
2019,2019-09-29,24.011999999999997,24.0,42.0,57.14,315.0,0.0,0.0,81.0,0.0,0.0,7.5,7.5
2019,2019-10-06,24.019000000000002,22.0,39.0,56.41,321.0,1.0,0.0,91.9,4.0,33.0,8.23,8.74
2019,2019-10-13,24.026,19.0,35.0,54.29,273.0,3.0,1.0,96.5,1.0,17.0,7.8,8.23
2019,2019-10-17,24.03,10.0,11.0,90.91,76.0,1.0,0.0,125.8,0.0,0.0,6.91,8.73
2019,2019-11-10,24.054000000000002,36.0,50.0,72.0,446.0,3.0,0.0,119.2,2.0,13.0,8.92,10.12
2019,2019-11-18,24.061999999999998,19.0,32.0,59.38,182.0,1.0,1.0,72.7,1.0,2.0,5.69,4.91
2019,2019-12-01,24.075,15.0,29.0,51.72,175.0,1.0,0.0,81.8,1.0,12.0,6.03,6.72
2019,2019-12-08,24.081999999999997,26.0,40.0,65.0,283.0,1.0,1.0,83.6,1.0,12.0,7.08,6.45
2019,2019-12-15,24.089000000000002,27.0,34.0,79.41,340.0,2.0,1.0,115.7,3.0,13.0,10.0,9.85
2019,2019-12-22,24.096,23.0,33.0,69.7,251.0,2.0,0.0,112.1,1.0,7.0,7.61,8.82
2019,2019-12-29,24.103,16.0,25.0,64.0,174.0,1.0,1.0,81.1,0.0,0.0,6.96,5.96
2020,2020-09-10,24.359,24.0,32.0,75.0,211.0,3.0,0.0,123.3,1.0,8.0,6.59,8.47
2020,2020-09-20,25.003,27.0,47.0,57.45,302.0,2.0,0.0,90.9,1.0,13.0,6.43,7.28
2020,2020-09-28,25.011,31.0,42.0,73.81,385.0,4.0,0.0,133.5,0.0,0.0,9.17,11.07
2020,2020-10-05,25.018,19.0,29.0,65.52,236.0,2.0,0.0,113.6,1.0,7.0,8.14,9.52
2020,2020-10-11,25.024,22.0,43.0,51.16,340.0,2.0,1.0,83.5,3.0,7.0,7.91,7.79
2020,2020-10-19,25.031999999999996,21.0,26.0,80.77,225.0,2.0,0.0,128.4,1.0,4.0,8.65,10.19
2020,2020-10-25,25.038,15.0,23.0,65.22,200.0,1.0,0.0,107.2,3.0,25.0,8.7,9.57
2020,2020-11-01,25.045,31.0,42.0,73.81,416.0,5.0,0.0,144.4,0.0,0.0,9.9,12.29
2020,2020-11-08,25.052,30.0,45.0,66.67,372.0,4.0,0.0,121.7,2.0,11.0,8.27,10.04
2020,2020-11-22,25.066,34.0,45.0,75.56,348.0,2.0,1.0,102.8,0.0,0.0,7.73,7.62
2020,2020-11-29,25.073,37.0,49.0,75.51,462.0,3.0,0.0,124.7,2.0,6.0,9.43,10.65
2020,2020-12-06,25.08,25.0,40.0,62.5,318.0,1.0,0.0,95.6,1.0,5.0,7.95,8.45
2020,2020-12-13,25.087,24.0,34.0,70.59,393.0,2.0,3.0,91.9,3.0,39.0,11.56,8.76
2020,2020-12-20,25.094,26.0,47.0,55.32,254.0,3.0,0.0,92.0,4.0,22.0,5.4,6.68
2020,2020-12-27,25.101,24.0,44.0,54.55,278.0,2.0,1.0,79.5,0.0,0.0,6.32,6.2
