Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2002,2002-10-06,23.234,20.0,34.0,58.82,268.0,2.0,0.0,103.6,1.0,7.0,7.88,9.06
2002,2002-10-13,23.241,21.0,43.0,48.84,320.0,1.0,4.0,42.8,7.0,56.0,7.44,3.72
2002,2002-10-20,23.248,10.0,24.0,41.67,135.0,0.0,0.0,60.2,6.0,43.0,5.63,5.63
2002,2002-11-10,23.269000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2002,2002-11-28,23.287,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2002,2002-12-08,23.296999999999997,12.0,27.0,44.44,204.0,1.0,0.0,82.9,1.0,11.0,7.56,8.3
2002,2002-12-15,23.304000000000002,23.0,35.0,65.71,213.0,3.0,0.0,110.8,2.0,7.0,6.09,7.8
2002,2002-12-22,23.311,14.0,31.0,45.16,190.0,2.0,0.0,86.8,0.0,0.0,6.13,7.42
2002,2002-12-29,23.318,17.0,31.0,54.84,209.0,0.0,2.0,49.0,1.0,8.0,6.74,3.84
2003,2003-09-04,24.201999999999998,17.0,23.0,73.91,185.0,1.0,1.0,93.6,4.0,18.0,8.04,6.96
2003,2003-09-14,24.212,25.0,39.0,64.1,356.0,2.0,0.0,110.6,6.0,46.0,9.13,10.15
2003,2003-09-21,24.219,23.0,45.0,51.11,348.0,2.0,1.0,82.5,3.0,16.0,7.73,7.62
2003,2003-09-28,24.226,10.0,22.0,45.45,147.0,0.0,0.0,67.8,2.0,13.0,6.68,6.68
2003,2003-10-05,24.233,25.0,50.0,50.0,271.0,1.0,2.0,56.3,2.0,13.0,5.42,4.02
2003,2003-10-12,24.24,21.0,32.0,65.63,211.0,1.0,2.0,68.6,4.0,30.0,6.59,4.41
2003,2003-10-19,24.247,8.0,25.0,32.0,112.0,1.0,0.0,60.7,1.0,0.0,4.48,5.28
2003,2003-11-02,24.261,16.0,30.0,53.33,147.0,2.0,0.0,89.2,4.0,43.0,4.9,6.23
2003,2003-11-09,24.268,17.0,32.0,53.13,232.0,2.0,2.0,71.4,0.0,0.0,7.25,5.69
2003,2003-11-16,24.275,16.0,35.0,45.71,150.0,2.0,1.0,65.2,3.0,23.0,4.29,4.14
2003,2003-11-23,24.281999999999996,1.0,4.0,25.0,7.0,0.0,0.0,39.6,1.0,4.0,1.75,1.75
2003,2003-12-14,24.303,,,,,,,,,,,
2004,2004-09-19,25.218000000000004,9.0,18.0,50.0,142.0,1.0,3.0,55.6,3.0,14.0,7.89,1.5
2004,2004-11-14,25.274,18.0,37.0,48.65,210.0,1.0,2.0,52.8,4.0,28.0,5.68,3.78
2004,2004-11-21,25.281,21.0,34.0,61.76,162.0,0.0,1.0,61.2,1.0,0.0,4.76,3.44
2004,2004-11-28,25.288,19.0,34.0,55.88,138.0,1.0,1.0,63.1,5.0,33.0,4.06,3.32
2004,2004-12-05,25.295,19.0,22.0,86.36,174.0,3.0,0.0,139.2,1.0,6.0,7.91,10.64
2004,2004-12-12,25.302,29.0,45.0,64.44,251.0,0.0,1.0,69.8,3.0,27.0,5.58,4.58
2004,2004-12-18,25.308000000000003,18.0,27.0,66.67,214.0,1.0,0.0,103.0,1.0,5.0,7.93,8.67
2004,2004-12-26,25.316,19.0,29.0,65.52,158.0,1.0,2.0,62.1,2.0,9.0,5.45,3.03
2004,2005-01-02,25.323,17.0,26.0,65.38,216.0,2.0,1.0,100.8,3.0,15.0,8.31,8.12
2005,2005-09-11,26.209,6.0,11.0,54.55,105.0,0.0,1.0,49.4,2.0,8.0,9.55,5.45
2005,2005-10-23,26.250999999999998,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
2005,2005-10-30,26.258000000000003,3.0,6.0,50.0,62.0,0.0,0.0,86.8,2.0,19.0,10.33,10.33
2005,2005-12-24,26.313000000000002,5.0,7.0,71.43,104.0,1.0,0.0,153.3,0.0,0.0,14.86,17.71
2006,2006-10-01,27.229,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2006,2006-11-26,27.285,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2006,2006-12-03,27.291999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-11-04,28.263,29.0,46.0,63.04,262.0,1.0,1.0,76.5,3.0,13.0,5.7,5.15
2007,2007-11-11,28.27,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2008,2008-10-20,29.249000000000002,2.0,3.0,66.67,19.0,0.0,0.0,84.0,1.0,5.0,6.33,6.33
