Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-09-07,22.197,,,,,,,,,,,
1980,1980-09-15,22.205,,,,,,,,,,,
1980,1980-09-21,22.211,,,,,,,,,,,
1980,1980-09-28,22.218000000000004,,,,,,,,,,,
1980,1980-10-05,22.225,,,,,,,,,,,
1980,1980-10-12,22.232,,,,,,,,,,,
1980,1980-10-19,22.239,,,,,,,,,,,
1980,1980-10-26,22.246,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-11-03,22.254,,,,,,,,,,,
1980,1980-11-09,22.26,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-11-16,22.267,,,,,,,,,,,
1980,1980-11-23,22.274,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-11-30,22.281,,,,,,,,,,,
1980,1980-12-07,22.288,,,,,,,,,,,
1980,1980-12-14,22.295,,,,,,,,,,,
1981,1981-10-04,23.223000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-11,23.23,8.0,16.0,50.0,106.0,0.0,1.0,45.3,0.0,0.0,6.63,3.81
1981,1981-10-18,23.237,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-25,23.244,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-01,23.250999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-11-08,23.258000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-15,23.265,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-22,23.272,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-29,23.279,3.0,6.0,50.0,60.0,1.0,0.0,125.0,0.0,0.0,10.0,13.33
1981,1981-12-03,23.283,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-12,23.291999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-20,23.3,24.0,34.0,70.59,297.0,3.0,1.0,114.5,6.0,43.0,8.74,9.18
1982,1982-09-12,24.201,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-09-19,24.208000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-11-21,24.271,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-11-25,24.275,9.0,15.0,60.0,151.0,1.0,1.0,88.5,1.0,10.0,10.07,8.4
1982,1982-12-05,24.285,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-12,24.291999999999998,5.0,13.0,38.46,54.0,0.0,2.0,11.9,1.0,5.0,4.15,-2.77
1982,1982-12-19,24.299,19.0,40.0,47.5,227.0,0.0,1.0,54.9,6.0,41.0,5.68,4.55
1982,1982-12-26,24.305999999999997,18.0,34.0,52.94,248.0,1.0,0.0,86.4,2.0,19.0,7.29,7.88
1982,1983-01-02,24.313000000000002,22.0,47.0,46.81,313.0,3.0,4.0,54.7,3.0,20.0,6.66,4.11
1983,1983-09-04,25.193,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
1983,1983-09-11,25.2,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-15,25.204,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-25,25.214000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-02,25.221,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-09,25.228,1.0,2.0,50.0,3.0,0.0,0.0,56.2,0.0,0.0,1.5,1.5
1983,1983-10-16,25.235,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-23,25.241999999999997,1.0,1.0,100.0,-5.0,0.0,0.0,79.2,0.0,0.0,-5.0,-5.0
1983,1983-10-30,25.249000000000002,19.0,41.0,46.34,209.0,1.0,2.0,49.7,3.0,20.0,5.1,3.39
1983,1983-11-06,25.256,11.0,23.0,47.83,134.0,0.0,1.0,48.1,3.0,18.0,5.83,3.87
1983,1983-11-13,25.263,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-11-20,25.27,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-11-27,25.276999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-12-04,25.284000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-12-11,25.291,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-12-18,25.298000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-03,26.193,8.0,27.0,29.63,114.0,0.0,2.0,13.8,5.0,35.0,4.22,0.89
1984,1984-09-09,26.199,18.0,35.0,51.43,263.0,1.0,1.0,73.9,2.0,12.0,7.51,6.8
1984,1984-09-16,26.206,22.0,42.0,52.38,282.0,0.0,3.0,43.9,7.0,51.0,6.71,3.5
1984,1984-09-23,26.213,15.0,28.0,53.57,293.0,2.0,1.0,99.3,1.0,8.0,10.46,10.29
1984,1984-09-30,26.22,17.0,38.0,44.74,186.0,0.0,4.0,20.2,11.0,78.0,4.89,0.16
1984,1984-10-07,26.226999999999997,23.0,37.0,62.16,320.0,1.0,1.0,87.7,4.0,15.0,8.65,7.97
1984,1984-10-14,26.234,25.0,37.0,67.57,299.0,0.0,0.0,92.1,5.0,32.0,8.08,8.08
1984,1984-10-21,26.241,27.0,47.0,57.45,300.0,0.0,2.0,58.8,5.0,32.0,6.38,4.47
1984,1984-10-28,26.248,16.0,23.0,69.57,193.0,2.0,0.0,124.0,2.0,14.0,8.39,10.13
1984,1984-11-04,26.255,7.0,18.0,38.89,86.0,0.0,1.0,31.3,2.0,13.0,4.78,2.28
1984,1984-11-11,26.261999999999997,13.0,33.0,39.39,220.0,1.0,1.0,60.2,2.0,12.0,6.67,5.91
1984,1984-11-18,26.269000000000002,13.0,23.0,56.52,205.0,2.0,1.0,97.2,1.0,4.0,8.91,8.7
1984,1984-11-25,26.276,16.0,26.0,61.54,151.0,3.0,1.0,100.0,1.0,9.0,5.81,6.38
1984,1984-12-02,26.283,18.0,24.0,75.0,191.0,1.0,0.0,111.6,1.0,8.0,7.96,8.79
1984,1984-12-09,26.29,19.0,33.0,57.58,211.0,1.0,4.0,47.2,2.0,9.0,6.39,1.55
1984,1984-12-16,26.296999999999997,14.0,22.0,63.64,158.0,0.0,1.0,66.1,2.0,13.0,7.18,5.14
1985,1985-09-08,27.197,,,,,,,,,,,
1985,1985-09-16,27.205,,,,,,,,,,,
1985,1985-09-22,27.211,,,,,,,,,,,
1985,1985-09-29,27.218000000000004,,,,,,,,,,,
1985,1985-10-06,27.225,,,,,,,,,,,
1985,1985-10-13,27.232,,,,,,,,,,,
1985,1985-10-20,27.239,,,,,,,,,,,
1985,1985-10-27,27.246,,,,,,,,,,,
1985,1985-11-03,27.253,,,,,,,,,,,
1985,1985-11-10,27.26,,,,,,,,,,,
1985,1985-11-17,27.267,,,,,,,,,,,
1985,1985-11-24,27.274,,,,,,,,,,,
1985,1985-12-01,27.281,,,,,,,,,,,
1985,1985-12-08,27.288,,,,,,,,,,,
1985,1985-12-15,27.295,,,,,,,,,,,
1985,1985-12-22,27.302,,,,,,,,,,,
1986,1986-11-23,28.273000000000003,,,,,,,,,,,
