Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1998,1998-09-06,22.166,21.0,37.0,56.76,302.0,1.0,3.0,58.6,4.0,29.0,8.16,5.05
1998,1998-09-13,22.173000000000002,21.0,33.0,63.64,188.0,1.0,3.0,51.1,2.0,15.0,5.7,2.21
1998,1998-09-20,22.18,20.0,44.0,45.45,193.0,0.0,2.0,39.3,1.0,3.0,4.39,2.34
1998,1998-09-27,22.186999999999998,19.0,32.0,59.38,309.0,1.0,3.0,63.2,4.0,17.0,9.66,6.06
1998,1998-10-04,22.194000000000003,12.0,23.0,52.17,137.0,1.0,1.0,66.8,0.0,0.0,5.96,4.87
1998,1998-10-11,22.201,20.0,41.0,48.78,235.0,2.0,2.0,62.6,0.0,0.0,5.73,4.51
1998,1998-10-18,22.208000000000002,18.0,30.0,60.0,231.0,3.0,0.0,117.5,1.0,0.0,7.7,9.7
1998,1998-11-01,22.221999999999998,30.0,52.0,57.69,278.0,2.0,2.0,69.2,0.0,0.0,5.35,4.38
1998,1998-11-08,22.229,22.0,42.0,52.38,140.0,1.0,2.0,47.7,0.0,0.0,3.33,1.67
1998,1998-11-15,22.236,26.0,44.0,59.09,276.0,3.0,2.0,81.3,1.0,9.0,6.27,5.59
1998,1998-11-22,22.243000000000002,14.0,29.0,48.28,164.0,1.0,2.0,48.6,0.0,0.0,5.66,3.24
1998,1998-11-29,22.25,27.0,42.0,64.29,357.0,3.0,1.0,105.0,2.0,13.0,8.5,8.86
1998,1998-12-06,22.256999999999998,19.0,27.0,70.37,159.0,2.0,2.0,79.1,0.0,0.0,5.89,4.04
1998,1998-12-13,22.264,17.0,26.0,65.38,210.0,3.0,0.0,128.7,0.0,0.0,8.08,10.38
1998,1998-12-20,22.271,23.0,39.0,58.97,335.0,1.0,1.0,84.9,2.0,5.0,8.59,7.95
1998,1998-12-27,22.278000000000002,17.0,34.0,50.0,225.0,1.0,2.0,56.6,5.0,18.0,6.62,4.56
1999,1999-09-12,23.171999999999997,21.0,33.0,63.64,284.0,2.0,2.0,85.9,0.0,0.0,8.61,7.09
1999,1999-09-19,23.179000000000002,18.0,30.0,60.0,223.0,3.0,2.0,88.6,0.0,0.0,7.43,6.43
1999,1999-09-26,23.186,29.0,54.0,53.7,404.0,2.0,1.0,82.6,0.0,0.0,7.48,7.39
1999,1999-10-10,23.2,17.0,24.0,70.83,274.0,3.0,1.0,130.9,2.0,10.0,11.42,12.04
1999,1999-10-17,23.206999999999997,21.0,35.0,60.0,210.0,1.0,1.0,74.7,0.0,0.0,6.0,5.29
1999,1999-10-24,23.214000000000002,17.0,33.0,51.52,284.0,2.0,1.0,88.4,1.0,6.0,8.61,8.45
1999,1999-10-31,23.221,22.0,34.0,64.71,313.0,1.0,0.0,104.2,1.0,13.0,9.21,9.79
1999,1999-11-07,23.228,21.0,33.0,63.64,290.0,1.0,1.0,89.2,3.0,34.0,8.79,8.03
1999,1999-11-14,23.235,20.0,35.0,57.14,237.0,2.0,1.0,85.1,0.0,0.0,6.77,6.63
1999,1999-11-21,23.241999999999997,16.0,26.0,61.54,235.0,3.0,0.0,129.5,1.0,8.0,9.04,11.35
1999,1999-11-28,23.249000000000002,23.0,31.0,74.19,198.0,1.0,2.0,74.4,2.0,11.0,6.39,4.13
1999,1999-12-05,23.256,23.0,29.0,79.31,260.0,1.0,2.0,86.8,2.0,19.0,8.97,6.55
1999,1999-12-12,23.263,15.0,27.0,55.56,186.0,2.0,0.0,101.8,1.0,8.0,6.89,8.37
1999,1999-12-19,23.27,23.0,37.0,62.16,298.0,2.0,1.0,94.2,1.0,7.0,8.05,7.92
1999,1999-12-26,23.276999999999997,27.0,43.0,62.79,276.0,0.0,0.0,81.2,0.0,0.0,6.42,6.42
1999,2000-01-02,23.284000000000002,18.0,29.0,62.07,163.0,0.0,0.0,77.2,0.0,0.0,5.62,5.62
2000,2000-09-03,24.163,22.0,32.0,68.75,273.0,1.0,1.0,92.3,1.0,6.0,8.53,7.75
2000,2000-09-10,24.17,33.0,48.0,68.75,367.0,3.0,2.0,94.7,2.0,16.0,7.65,7.02
2000,2000-09-25,24.185,23.0,36.0,63.89,440.0,4.0,0.0,143.3,0.0,0.0,12.22,14.44
2000,2000-10-01,24.191,16.0,27.0,59.26,187.0,2.0,1.0,89.6,1.0,3.0,6.93,6.74
2000,2000-10-08,24.198,31.0,54.0,57.41,334.0,1.0,3.0,58.7,2.0,10.0,6.19,4.06
2000,2000-10-15,24.205,20.0,30.0,66.67,281.0,1.0,0.0,107.8,1.0,1.0,9.37,10.03
2000,2000-10-22,24.212,16.0,20.0,80.0,268.0,3.0,0.0,158.3,0.0,0.0,13.4,16.4
2000,2000-10-29,24.219,22.0,33.0,66.67,288.0,3.0,2.0,99.1,1.0,7.0,8.73,7.82
2000,2000-11-05,24.226,26.0,39.0,66.67,302.0,2.0,1.0,96.3,2.0,21.0,7.74,7.62
2000,2000-11-12,24.233,21.0,35.0,60.0,210.0,1.0,0.0,86.6,0.0,0.0,6.0,6.57
2000,2000-11-19,24.24,25.0,44.0,56.82,294.0,3.0,1.0,90.5,4.0,27.0,6.68,7.02
2000,2000-11-26,24.247,16.0,34.0,47.06,209.0,2.0,1.0,74.3,0.0,0.0,6.15,6.0
2000,2000-12-03,24.254,27.0,51.0,52.94,339.0,2.0,2.0,70.6,3.0,13.0,6.65,5.67
2000,2000-12-11,24.261999999999997,13.0,24.0,54.17,132.0,0.0,0.0,70.1,2.0,16.0,5.5,5.5
2000,2000-12-17,24.268,21.0,28.0,75.0,206.0,1.0,0.0,107.1,1.0,11.0,7.36,8.07
2000,2000-12-24,24.275,25.0,36.0,69.44,283.0,4.0,1.0,118.2,0.0,0.0,7.86,8.83
2001,2001-09-09,25.169,22.0,32.0,68.75,231.0,2.0,2.0,84.2,1.0,9.0,7.22,5.66
