Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1979,1979-09-30,23.331,8.0,19.0,42.11,115.0,1.0,2.0,40.4,1.0,11.0,6.05,2.37
1979,1979-10-07,23.338,6.0,12.0,50.0,37.0,0.0,0.0,56.6,2.0,19.0,3.08,3.08
1979,1979-10-14,23.345,17.0,32.0,53.13,300.0,2.0,0.0,106.2,3.0,21.0,9.38,10.63
1979,1979-10-21,23.351999999999997,12.0,26.0,46.15,151.0,1.0,1.0,61.5,4.0,25.0,5.81,4.85
1979,1979-10-28,23.359,9.0,22.0,40.91,173.0,2.0,1.0,80.3,5.0,49.0,7.86,7.64
1979,1979-11-04,24.000999999999998,10.0,16.0,62.5,150.0,2.0,1.0,106.8,1.0,17.0,9.38,9.06
1979,1979-11-11,24.008000000000003,14.0,32.0,43.75,155.0,1.0,0.0,69.1,3.0,11.0,4.84,5.47
1979,1979-11-18,24.015,17.0,33.0,51.52,180.0,0.0,2.0,42.5,5.0,75.0,5.45,2.73
1979,1979-11-25,24.022,7.0,14.0,50.0,90.0,0.0,1.0,40.8,2.0,16.0,6.43,3.21
1979,1979-12-02,24.029,9.0,15.0,60.0,130.0,0.0,1.0,60.4,5.0,32.0,8.67,5.67
1979,1979-12-09,24.035999999999998,18.0,30.0,60.0,195.0,3.0,1.0,98.6,5.0,24.0,6.5,7.0
1979,1979-12-16,24.043000000000003,7.0,14.0,50.0,67.0,1.0,4.0,47.9,3.0,19.0,4.79,-6.64
1980,1980-09-07,24.309,16.0,31.0,51.61,280.0,5.0,1.0,108.9,1.0,6.0,9.03,10.81
1980,1980-09-14,24.316,12.0,29.0,41.38,174.0,2.0,3.0,45.0,3.0,11.0,6.0,2.72
1980,1980-09-22,24.324,21.0,49.0,42.86,184.0,0.0,2.0,36.4,1.0,15.0,3.76,1.92
1980,1980-09-28,24.33,9.0,22.0,40.91,118.0,0.0,1.0,39.6,4.0,30.0,5.36,3.32
1980,1980-10-05,24.337,4.0,15.0,26.67,87.0,0.0,1.0,23.5,,,5.8,2.8
1980,1980-10-12,24.344,14.0,33.0,42.42,91.0,1.0,2.0,34.8,3.0,12.0,2.76,0.64
1980,1980-10-19,24.351,14.0,29.0,48.28,135.0,0.0,2.0,33.0,2.0,15.0,4.66,1.55
1980,1980-10-26,24.358,19.0,36.0,52.78,200.0,0.0,1.0,57.6,2.0,12.0,5.56,4.31
1980,1980-11-02,24.365,22.0,34.0,64.71,155.0,1.0,2.0,60.3,1.0,8.0,4.56,2.5
