Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-11-07,22.335,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2004,2005-01-02,23.025,5.0,8.0,62.5,33.0,1.0,0.0,110.9,1.0,10.0,4.13,6.63
2005,2005-11-20,23.346999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-12-31,24.023000000000003,12.0,22.0,54.55,115.0,0.0,1.0,50.4,3.0,16.0,5.23,3.18
2006,2006-09-11,24.276999999999997,8.0,11.0,72.73,108.0,1.0,0.0,133.9,0.0,0.0,9.82,11.64
2006,2006-09-17,24.283,25.0,35.0,71.43,235.0,1.0,0.0,99.1,0.0,0.0,6.71,7.29
2006,2006-10-01,24.296999999999997,13.0,22.0,59.09,145.0,1.0,1.0,75.0,1.0,11.0,6.59,5.45
2006,2006-10-08,24.304000000000002,24.0,37.0,64.86,242.0,2.0,1.0,90.1,4.0,20.0,6.54,6.41
2006,2006-10-15,24.311,29.0,39.0,74.36,334.0,2.0,0.0,116.8,0.0,0.0,8.56,9.59
2006,2006-10-22,24.318,25.0,43.0,58.14,266.0,2.0,1.0,82.1,4.0,15.0,6.19,6.07
2006,2006-10-29,24.325,15.0,23.0,65.22,206.0,1.0,0.0,108.2,1.0,3.0,8.96,9.83
2006,2006-11-05,24.331999999999997,19.0,28.0,67.86,211.0,0.0,0.0,90.0,3.0,20.0,7.54,7.54
2006,2006-11-12,24.339000000000002,24.0,36.0,66.67,338.0,3.0,0.0,124.5,3.0,14.0,9.39,11.06
2006,2006-11-19,24.346,19.0,26.0,73.08,222.0,2.0,2.0,92.1,1.0,5.0,8.54,6.62
2006,2006-11-26,24.353,14.0,31.0,45.16,133.0,0.0,1.0,44.2,1.0,2.0,4.29,2.84
2006,2006-12-03,24.36,17.0,29.0,58.62,160.0,1.0,0.0,85.4,3.0,22.0,5.52,6.21
2006,2006-12-10,25.002,15.0,23.0,65.22,279.0,2.0,0.0,136.0,1.0,3.0,12.13,13.87
2006,2006-12-17,25.009,8.0,23.0,34.78,97.0,0.0,2.0,12.4,2.0,9.0,4.22,0.3
2006,2006-12-24,25.016,10.0,30.0,33.33,181.0,2.0,0.0,77.2,1.0,9.0,6.03,7.37
2006,2006-12-31,25.023000000000003,19.0,24.0,79.17,231.0,2.0,1.0,117.2,2.0,11.0,9.63,9.42
2007,2007-09-09,25.275,22.0,31.0,70.97,190.0,0.0,1.0,73.3,3.0,21.0,6.13,4.68
2007,2007-09-16,25.281999999999996,19.0,30.0,63.33,179.0,2.0,2.0,74.2,3.0,30.0,5.97,4.3
2007,2007-09-23,25.289,27.0,36.0,75.0,306.0,3.0,1.0,116.2,2.0,15.0,8.5,8.92
2007,2007-09-30,25.296,21.0,42.0,50.0,211.0,0.0,2.0,44.8,1.0,11.0,5.02,2.88
2007,2007-10-07,25.303,13.0,18.0,72.22,270.0,2.0,0.0,151.4,0.0,0.0,15.0,17.22
2007,2007-10-14,25.31,14.0,21.0,66.67,156.0,0.0,1.0,68.8,0.0,0.0,7.43,5.29
2007,2007-10-28,25.324,7.0,11.0,63.64,130.0,3.0,0.0,143.9,1.0,2.0,11.82,17.27
2007,2007-11-04,25.331,19.0,42.0,45.24,197.0,0.0,1.0,49.4,1.0,10.0,4.69,3.62
2007,2007-11-11,25.338,13.0,24.0,54.17,104.0,0.0,2.0,30.6,2.0,18.0,4.33,0.58
