Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2001,2001-09-09,23.331,9.0,19.0,47.37,34.0,0.0,2.0,14.5,2.0,6.0,1.79,-2.95
2001,2001-10-07,23.359,1.0,5.0,20.0,4.0,0.0,0.0,39.6,0.0,0.0,0.8,0.8
2001,2001-12-02,24.05,7.0,14.0,50.0,130.0,1.0,1.0,76.5,2.0,8.0,9.29,7.5
2001,2001-12-09,24.057,17.0,26.0,65.38,194.0,1.0,0.0,100.5,2.0,9.0,7.46,8.23
2001,2001-12-16,24.064,14.0,33.0,42.42,135.0,0.0,1.0,41.9,4.0,19.0,4.09,2.73
2001,2001-12-23,24.070999999999998,16.0,28.0,57.14,176.0,1.0,2.0,58.0,1.0,7.0,6.29,3.79
2001,2001-12-30,24.078000000000003,15.0,25.0,60.0,241.0,2.0,0.0,118.9,1.0,7.0,9.64,11.24
2001,2002-01-06,24.085,11.0,26.0,42.31,158.0,0.0,1.0,46.6,0.0,0.0,6.08,4.35
2002,2002-09-08,24.33,13.0,30.0,43.33,131.0,0.0,1.0,42.5,3.0,19.0,4.37,2.87
2002,2002-09-15,24.337,14.0,24.0,58.33,240.0,2.0,0.0,120.1,1.0,10.0,10.0,11.67
2002,2002-09-22,24.344,21.0,35.0,60.0,201.0,0.0,1.0,64.1,3.0,18.0,5.74,4.46
2002,2002-09-29,24.351,26.0,36.0,72.22,204.0,1.0,1.0,83.6,2.0,11.0,5.67,4.97
2002,2002-10-06,24.358,23.0,42.0,54.76,262.0,1.0,0.0,81.6,2.0,13.0,6.24,6.71
2002,2002-10-13,25.0,15.0,32.0,46.88,225.0,2.0,1.0,78.3,6.0,51.0,7.03,6.88
2002,2002-10-20,25.006999999999998,13.0,22.0,59.09,202.0,1.0,4.0,65.2,2.0,8.0,9.18,1.91
2003,2003-09-07,25.329,15.0,32.0,46.88,268.0,1.0,1.0,73.4,3.0,14.0,8.38,7.59
2003,2003-09-15,25.337,25.0,40.0,62.5,321.0,0.0,1.0,77.2,4.0,25.0,8.03,6.9
2003,2003-09-28,25.35,11.0,23.0,47.83,165.0,1.0,1.0,68.2,2.0,7.0,7.17,6.09
2003,2003-10-05,25.357,20.0,31.0,64.52,277.0,2.0,1.0,101.1,1.0,9.0,8.94,8.77
2003,2003-10-12,25.364,14.0,25.0,56.0,146.0,0.0,1.0,56.4,1.0,10.0,5.84,4.04
2003,2003-10-19,26.006,18.0,25.0,72.0,190.0,3.0,0.0,133.3,1.0,1.0,7.6,10.0
2003,2003-10-26,26.013,15.0,25.0,60.0,140.0,0.0,2.0,42.1,4.0,22.0,5.6,2.0
2003,2003-11-02,26.02,17.0,33.0,51.52,196.0,1.0,2.0,54.6,1.0,4.0,5.94,3.82
2003,2003-11-09,26.026999999999997,15.0,32.0,46.88,116.0,1.0,0.0,66.7,1.0,2.0,3.63,4.25
2003,2003-11-16,26.034000000000002,20.0,36.0,55.56,210.0,0.0,3.0,38.0,1.0,3.0,5.83,2.08
2003,2003-11-23,26.041,29.0,43.0,67.44,254.0,2.0,1.0,88.7,1.0,0.0,5.91,5.79
2003,2003-11-27,26.045,24.0,40.0,60.0,288.0,2.0,3.0,67.5,5.0,25.0,7.2,4.83
2003,2003-12-07,26.055,15.0,24.0,62.5,93.0,1.0,2.0,49.5,3.0,18.0,3.88,0.96
2003,2003-12-14,26.061999999999998,10.0,24.0,41.67,108.0,1.0,0.0,69.4,3.0,4.0,4.5,5.33
2003,2003-12-21,26.069000000000003,17.0,25.0,68.0,240.0,1.0,0.0,112.1,3.0,18.0,9.6,10.4
2003,2003-12-28,26.076,27.0,47.0,57.45,290.0,1.0,3.0,56.2,3.0,23.0,6.17,3.72
2004,2004-09-12,26.335,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2004,2004-10-03,26.355999999999998,,,,,,,,0.0,,,
2004,2004-11-01,27.019000000000002,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
2004,2004-11-07,27.025,2.0,3.0,66.67,66.0,1.0,0.0,149.3,0.0,0.0,22.0,28.67
2004,2004-11-14,27.031999999999996,13.0,22.0,59.09,175.0,0.0,0.0,84.5,5.0,26.0,7.95,7.95
2004,2004-11-21,27.039,11.0,20.0,55.0,116.0,1.0,1.0,67.9,6.0,38.0,5.8,4.55
2004,2004-11-28,27.046,8.0,12.0,66.67,133.0,1.0,0.0,131.6,1.0,6.0,11.08,12.75
