Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-09-08,22.165,1.0,7.0,14.29,24.0,0.0,1.0,1.8,0.0,0.0,3.43,-3.0
1985,1985-09-15,22.171999999999997,14.0,34.0,41.18,211.0,0.0,4.0,22.7,5.0,31.0,6.21,0.91
1985,1985-09-22,22.179000000000002,8.0,15.0,53.33,187.0,1.0,1.0,92.9,4.0,32.0,12.47,10.8
1985,1985-09-29,22.186,6.0,15.0,40.0,79.0,0.0,0.0,57.4,7.0,52.0,5.27,5.27
1985,1985-10-06,22.193,2.0,7.0,28.57,6.0,0.0,2.0,0.0,2.0,15.0,0.86,-12.0
1985,1985-11-17,22.235,3.0,3.0,100.0,41.0,0.0,0.0,118.7,2.0,20.0,13.67,13.67
1986,1986-09-07,23.164,1.0,3.0,33.33,8.0,0.0,0.0,42.4,2.0,12.0,2.67,2.67
1986,1986-09-14,23.171,1.0,3.0,33.33,13.0,0.0,0.0,47.9,1.0,12.0,4.33,4.33
1986,1986-09-21,23.178,2.0,3.0,66.67,32.0,1.0,1.0,102.1,2.0,23.0,10.67,2.33
1986,1986-09-28,23.185,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,25.0,0.0,-15.0
1986,1986-10-05,23.191999999999997,0.0,0.0,,0.0,0.0,0.0,,2.0,11.0,,
1986,1986-10-12,23.199,3.0,6.0,50.0,48.0,0.0,0.0,77.1,3.0,18.0,8.0,8.0
1986,1986-10-19,23.206,8.0,15.0,53.33,127.0,1.0,0.0,104.0,7.0,46.0,8.47,9.8
1986,1986-10-26,23.213,3.0,4.0,75.0,58.0,0.0,0.0,116.7,1.0,12.0,14.5,14.5
1986,1986-11-02,23.22,0.0,1.0,0.0,0.0,0.0,0.0,39.6,3.0,26.0,0.0,0.0
1986,1986-11-09,23.226999999999997,10.0,21.0,47.62,152.0,1.0,1.0,68.0,3.0,16.0,7.24,6.05
1986,1986-11-16,23.234,16.0,30.0,53.33,140.0,0.0,3.0,26.4,10.0,62.0,4.67,0.17
1986,1986-11-23,23.241,22.0,37.0,59.46,215.0,2.0,0.0,93.9,9.0,33.0,5.81,6.89
1986,1986-11-30,23.248,22.0,39.0,56.41,298.0,3.0,1.0,95.9,11.0,57.0,7.64,8.03
1986,1986-12-07,23.255,11.0,20.0,55.0,147.0,0.0,0.0,78.5,10.0,95.0,7.35,7.35
1986,1986-12-21,23.269000000000002,12.0,24.0,50.0,153.0,0.0,0.0,70.3,5.0,41.0,6.38,6.38
1987,1987-09-13,24.17,21.0,36.0,58.33,269.0,1.0,2.0,67.9,4.0,30.0,7.47,5.53
1987,1987-09-20,24.177,19.0,34.0,55.88,195.0,2.0,1.0,79.9,3.0,20.0,5.74,5.59
1987,1987-10-25,24.212,10.0,24.0,41.67,127.0,2.0,0.0,86.6,4.0,31.0,5.29,6.96
1987,1987-11-01,24.219,17.0,32.0,53.13,291.0,3.0,1.0,102.5,3.0,18.0,9.09,9.56
1987,1987-11-08,24.226,18.0,31.0,58.06,268.0,3.0,3.0,79.2,4.0,36.0,8.65,6.23
1987,1987-11-15,24.233,17.0,34.0,50.0,177.0,1.0,1.0,63.0,6.0,31.0,5.21,4.47
1987,1987-11-22,24.24,26.0,51.0,50.98,272.0,2.0,2.0,63.5,6.0,32.0,5.33,4.35
1987,1987-11-29,24.247,18.0,31.0,58.06,314.0,2.0,1.0,100.7,3.0,27.0,10.13,9.97
1987,1987-12-06,24.254,20.0,43.0,46.51,227.0,2.0,0.0,78.3,9.0,63.0,5.28,6.21
1987,1987-12-13,24.261,22.0,38.0,57.89,189.0,1.0,0.0,79.8,4.0,34.0,4.97,5.5
1987,1987-12-20,24.268,19.0,31.0,61.29,280.0,3.0,0.0,123.1,3.0,15.0,9.03,10.97
1987,1987-12-27,24.275,16.0,21.0,76.19,177.0,1.0,1.0,96.7,5.0,43.0,8.43,7.24
1988,1988-09-04,25.160999999999998,7.0,12.0,58.33,156.0,2.0,1.0,107.6,0.0,0.0,13.0,12.58
1988,1988-09-11,25.168000000000003,25.0,36.0,69.44,261.0,1.0,1.0,87.8,4.0,36.0,7.25,6.56
1988,1988-09-18,25.175,15.0,35.0,42.86,236.0,1.0,0.0,75.4,6.0,45.0,6.74,7.31
1988,1988-09-25,25.182,13.0,23.0,56.52,187.0,2.0,1.0,93.9,8.0,52.0,8.13,7.91
1988,1988-10-02,25.189,24.0,38.0,63.16,289.0,2.0,0.0,103.9,3.0,24.0,7.61,8.66
1988,1988-10-10,25.197,31.0,41.0,75.61,369.0,3.0,0.0,127.0,4.0,26.0,9.0,10.46
1988,1988-10-16,25.203000000000003,15.0,27.0,55.56,114.0,0.0,2.0,35.1,9.0,66.0,4.22,0.89
1988,1988-10-23,25.21,26.0,53.0,49.06,298.0,2.0,1.0,71.1,5.0,24.0,5.62,5.53
1988,1988-10-30,25.217,21.0,48.0,43.75,289.0,2.0,2.0,60.2,3.0,20.0,6.02,4.98
1988,1988-11-06,25.224,22.0,39.0,56.41,323.0,3.0,0.0,109.2,1.0,10.0,8.28,9.82
1988,1988-11-13,25.230999999999998,25.0,41.0,60.98,276.0,0.0,2.0,60.6,2.0,24.0,6.73,4.54
1988,1988-11-20,25.238000000000003,14.0,36.0,38.89,224.0,0.0,1.0,48.8,4.0,48.0,6.22,4.97
1988,1988-11-27,25.245,17.0,35.0,48.57,214.0,2.0,2.0,63.3,2.0,22.0,6.11,4.69
1988,1988-12-04,25.252,16.0,32.0,50.0,165.0,1.0,2.0,49.6,3.0,18.0,5.16,2.97
