Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1984,1984-09-09,23.232,10.0,24.0,41.67,67.0,1.0,2.0,28.5,2.0,12.0,2.79,-0.13
1984,1984-09-23,23.246,6.0,18.0,33.33,52.0,0.0,3.0,2.8,1.0,3.0,2.89,-4.61
1984,1984-10-15,23.268,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1984,1984-10-28,23.281,1.0,1.0,100.0,6.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
1984,1984-11-11,23.295,1.0,1.0,100.0,10.0,0.0,0.0,108.3,0.0,0.0,10.0,10.0
1984,1984-11-18,23.302,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,,
1984,1984-11-22,23.305999999999997,5.0,7.0,71.43,100.0,1.0,1.0,113.7,0.0,0.0,14.29,10.71
1984,1984-12-09,23.323,4.0,10.0,40.0,75.0,0.0,0.0,66.7,0.0,0.0,7.5,7.5
1985,1985-09-22,24.244,8.0,15.0,53.33,84.0,0.0,1.0,42.1,2.0,23.0,5.6,2.6
1985,1985-09-29,24.250999999999998,8.0,17.0,47.06,77.0,0.0,2.0,20.6,1.0,6.0,4.53,-0.76
1985,1985-10-06,24.258000000000003,6.0,9.0,66.67,111.0,2.0,0.0,148.6,1.0,10.0,12.33,16.78
1985,1985-10-21,24.273000000000003,9.0,22.0,40.91,179.0,0.0,1.0,51.1,3.0,18.0,8.14,6.09
1985,1985-12-22,24.335,8.0,11.0,72.73,101.0,0.0,0.0,100.9,1.0,10.0,9.18,9.18
1986,1986-09-07,25.229,10.0,23.0,43.48,155.0,0.0,1.0,48.3,1.0,8.0,6.74,4.78
1986,1986-09-14,25.236,18.0,44.0,40.91,195.0,1.0,5.0,22.6,0.0,0.0,4.43,-0.23
1986,1986-09-22,25.244,22.0,42.0,52.38,242.0,0.0,1.0,59.8,3.0,24.0,5.76,4.69
1986,1986-09-28,25.25,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,0.0,-9.0
1986,1986-10-05,25.256999999999998,19.0,31.0,61.29,276.0,2.0,1.0,98.3,3.0,23.0,8.9,8.74
1986,1986-10-12,25.264,25.0,41.0,60.98,253.0,2.0,1.0,84.7,2.0,18.0,6.17,6.05
1986,1986-10-19,25.271,21.0,27.0,77.78,277.0,1.0,0.0,121.8,1.0,13.0,10.26,11.0
1986,1986-10-26,25.278000000000002,30.0,54.0,55.56,328.0,1.0,3.0,56.7,3.0,33.0,6.07,3.94
1986,1986-11-02,25.285,15.0,31.0,48.39,180.0,0.0,1.0,53.2,3.0,18.0,5.81,4.35
1986,1986-11-09,25.291999999999998,6.0,12.0,50.0,55.0,1.0,1.0,55.9,2.0,13.0,4.58,2.5
1986,1986-11-16,25.299,18.0,29.0,62.07,238.0,3.0,3.0,82.9,0.0,0.0,8.21,5.62
1986,1986-11-23,25.305999999999997,10.0,29.0,34.48,148.0,1.0,2.0,34.8,5.0,39.0,5.1,2.69
1986,1986-11-27,25.31,18.0,26.0,69.23,286.0,3.0,1.0,128.0,2.0,14.0,11.0,11.58
1986,1986-12-07,25.32,18.0,37.0,48.65,225.0,0.0,0.0,68.0,3.0,2.0,6.08,6.08
1986,1986-12-14,25.326999999999998,14.0,25.0,56.0,190.0,0.0,0.0,80.4,2.0,17.0,7.6,7.6
1986,1986-12-20,25.333000000000002,19.0,36.0,52.78,199.0,2.0,2.0,64.5,1.0,4.0,5.53,4.14
1987,1987-09-13,26.235,8.0,21.0,38.1,99.0,0.0,3.0,13.9,4.0,33.0,4.71,-1.71
1987,1987-11-01,26.284000000000002,13.0,19.0,68.42,161.0,1.0,0.0,112.0,0.0,0.0,8.47,9.53
1987,1987-11-08,26.291,20.0,41.0,48.78,298.0,2.0,0.0,89.3,0.0,0.0,7.27,8.24
1987,1987-11-15,26.298000000000002,10.0,19.0,52.63,134.0,1.0,1.0,70.9,3.0,16.0,7.05,5.74
1987,1987-11-22,26.305,7.0,15.0,46.67,91.0,2.0,0.0,105.8,0.0,0.0,6.07,8.73
1987,1987-11-29,26.311999999999998,18.0,36.0,50.0,255.0,0.0,2.0,50.1,3.0,18.0,7.08,4.58
1987,1987-12-06,26.319000000000003,19.0,32.0,59.38,146.0,0.0,3.0,31.5,4.0,19.0,4.56,0.34
1987,1987-12-13,26.326,18.0,31.0,58.06,192.0,0.0,1.0,62.8,2.0,13.0,6.19,4.74
1987,1987-12-19,26.331999999999997,19.0,33.0,57.58,131.0,0.0,1.0,54.0,4.0,29.0,3.97,2.61
1988,1988-09-04,27.226999999999997,11.0,24.0,45.83,130.0,0.0,2.0,28.1,6.0,37.0,5.42,1.67
1988,1988-09-11,27.234,22.0,27.0,81.48,181.0,1.0,0.0,106.9,0.0,0.0,6.7,7.44
1988,1988-09-18,27.241,18.0,23.0,78.26,184.0,0.0,0.0,100.0,4.0,29.0,8.0,8.0
1988,1988-09-25,27.248,19.0,41.0,46.34,242.0,0.0,2.0,45.0,5.0,43.0,5.9,3.71
1988,1988-10-02,27.255,28.0,51.0,54.9,321.0,1.0,2.0,64.3,3.0,23.0,6.29,4.92
1988,1988-11-06,27.29,3.0,6.0,50.0,24.0,0.0,2.0,20.8,0.0,0.0,4.0,-11.0
1988,1988-12-04,27.318,29.0,52.0,55.77,284.0,2.0,3.0,60.1,2.0,16.0,5.46,3.63
1988,1988-12-11,27.325,11.0,20.0,55.0,124.0,0.0,2.0,34.2,0.0,0.0,6.2,1.7
