Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1996,1996-12-15,24.131,,,,,,,,,,,
1996,1996-12-21,24.136999999999997,,,,,,,,,,,
1997,1997-11-23,25.109,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-11-30,25.116,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-12-07,25.123,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-12-14,25.13,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-12-21,25.136999999999997,3.0,4.0,75.0,28.0,0.0,1.0,54.2,0.0,0.0,7.0,-4.25
1998,1998-09-06,26.031,,,,,,,,,,,
1998,1998-09-20,26.045,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1998,1998-10-04,26.059,,,,,,,,,,,
1998,1998-10-11,26.066,,,,,,,,,,,
1998,1998-10-19,26.074,,,,,,,,,,,
1998,1998-10-25,26.08,,,,,,,,,,,
1998,1998-11-01,26.087,,,,,,,,,,,
1998,1998-11-08,26.094,1.0,1.0,100.0,27.0,0.0,0.0,118.7,0.0,0.0,27.0,27.0
1998,1998-11-15,26.101,,,,,,,,,,,
1998,1998-11-29,26.115,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1998,1998-12-06,26.122,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1998,1998-12-13,26.129,,,,,,,,,,,
1998,1998-12-19,26.135,,,,,,,,,,,
1998,1998-12-27,26.143,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1999,1999-10-17,27.072,16.0,30.0,53.33,137.0,1.0,1.0,62.8,1.0,12.0,4.57,3.73
1999,1999-11-15,27.101,18.0,31.0,58.06,153.0,2.0,2.0,65.7,0.0,0.0,4.94,3.32
1999,1999-11-21,27.107,16.0,20.0,80.0,142.0,0.0,0.0,96.2,4.0,29.0,7.1,7.1
1999,1999-11-28,27.114,12.0,22.0,54.55,102.0,0.0,0.0,66.9,2.0,14.0,4.64,4.64
1999,1999-12-05,27.121,31.0,48.0,64.58,284.0,4.0,0.0,108.3,2.0,8.0,5.92,7.58
1999,1999-12-12,27.128,22.0,38.0,57.89,230.0,2.0,0.0,93.1,1.0,5.0,6.05,7.11
1999,1999-12-19,27.135,20.0,34.0,58.82,229.0,2.0,1.0,86.5,0.0,0.0,6.74,6.59
1999,1999-12-27,27.143,11.0,23.0,47.83,190.0,3.0,0.0,115.9,1.0,1.0,8.26,10.87
1999,2000-01-02,27.149,15.0,26.0,57.69,211.0,0.0,2.0,51.9,0.0,0.0,8.12,4.65
2000,2000-09-17,28.041999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2000,2000-09-24,28.049,1.0,1.0,100.0,5.0,0.0,0.0,87.5,1.0,6.0,5.0,5.0
2000,2000-10-08,28.063000000000002,13.0,25.0,52.0,99.0,0.0,2.0,28.6,1.0,5.0,3.96,0.36
2000,2000-11-12,28.098000000000003,,,,,,,,0.0,,,
2000,2000-11-19,28.105,0.0,0.0,,0.0,0.0,,,1.0,0.0,,
2000,2000-11-26,28.112,1.0,1.0,100.0,3.0,0.0,0.0,79.2,0.0,0.0,3.0,3.0
2000,2000-12-10,28.125999999999998,6.0,14.0,42.86,99.0,0.0,2.0,27.7,3.0,13.0,7.07,0.64
2001,2001-10-07,29.061999999999998,,,,,,,,0.0,,,
2001,2001-10-14,29.069000000000003,1.0,1.0,100.0,28.0,0.0,0.0,118.7,0.0,0.0,28.0,28.0
2001,2001-10-28,29.083000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2001,2001-11-04,29.09,,,,,,,,0.0,,,
2001,2001-11-11,29.096999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2001,2001-11-25,29.111,1.0,1.0,100.0,17.0,0.0,0.0,118.7,0.0,0.0,17.0,17.0
2001,2001-12-02,29.118000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2001,2001-12-10,29.125999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2001,2001-12-16,29.131999999999998,,,,,,,,0.0,,,
2001,2002-01-06,29.153000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2002,2002-09-08,30.033,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2002,2002-10-20,30.075,13.0,33.0,39.39,165.0,1.0,4.0,26.3,1.0,10.0,5.0,0.15
2002,2002-11-04,30.09,22.0,39.0,56.41,198.0,0.0,2.0,48.9,5.0,35.0,5.08,2.77
2002,2002-11-10,30.096,19.0,28.0,67.86,227.0,1.0,0.0,104.3,3.0,17.0,8.11,8.82
2002,2002-11-17,30.103,18.0,26.0,69.23,221.0,0.0,0.0,95.2,0.0,0.0,8.5,8.5
2002,2002-11-24,30.11,14.0,23.0,60.87,194.0,1.0,0.0,102.4,1.0,3.0,8.43,9.3
2002,2002-12-01,30.116999999999997,6.0,11.0,54.55,40.0,1.0,0.0,93.0,2.0,25.0,3.64,5.45
