Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2003,2003-12-14,23.113000000000003,13.0,30.0,43.33,157.0,0.0,0.0,60.0,1.0,12.0,5.23,5.23
2003,2003-12-21,23.12,19.0,32.0,59.38,249.0,2.0,1.0,91.8,2.0,11.0,7.78,7.63
2003,2003-12-28,23.127,6.0,10.0,60.0,31.0,0.0,0.0,65.0,1.0,18.0,3.1,3.1
2004,2004-09-12,24.02,16.0,35.0,45.71,227.0,0.0,2.0,43.4,3.0,13.0,6.49,3.91
2004,2004-09-19,24.026999999999997,10.0,18.0,55.56,132.0,1.0,1.0,74.3,1.0,7.0,7.33,5.94
2004,2004-09-26,24.034000000000002,21.0,31.0,67.74,248.0,0.0,0.0,91.9,1.0,2.0,8.0,8.0
2005,2005-12-18,25.116999999999997,9.0,16.0,56.25,93.0,0.0,1.0,47.1,0.0,0.0,5.81,3.0
2005,2005-12-25,25.124000000000002,11.0,23.0,47.83,166.0,1.0,1.0,68.4,1.0,9.0,7.22,6.13
2006,2006-09-10,26.018,18.0,26.0,69.23,262.0,1.0,1.0,98.6,1.0,6.0,10.08,9.12
2006,2006-09-17,26.025,20.0,27.0,74.07,289.0,4.0,0.0,148.0,0.0,0.0,10.7,13.67
2006,2006-09-24,26.031999999999996,23.0,41.0,56.1,278.0,1.0,2.0,64.9,1.0,4.0,6.78,5.07
2006,2006-10-01,26.039,17.0,31.0,54.84,232.0,2.0,0.0,100.5,1.0,13.0,7.48,8.77
2006,2006-10-08,26.046,15.0,27.0,55.56,182.0,2.0,0.0,101.2,1.0,7.0,6.74,8.22
2006,2006-10-16,26.054000000000002,14.0,37.0,37.84,144.0,0.0,4.0,10.2,2.0,14.0,3.89,-0.97
2006,2006-10-29,26.066999999999997,23.0,29.0,79.31,252.0,3.0,0.0,137.4,0.0,0.0,8.69,10.76
2006,2006-11-05,26.074,18.0,42.0,42.86,210.0,1.0,3.0,36.8,3.0,21.0,5.0,2.26
2006,2006-11-12,26.081,18.0,30.0,60.0,246.0,3.0,1.0,105.7,2.0,12.0,8.2,8.7
2006,2006-11-19,26.088,11.0,22.0,50.0,119.0,1.0,0.0,81.4,1.0,8.0,5.41,6.32
2006,2006-11-26,26.095,15.0,34.0,44.12,176.0,0.0,3.0,23.7,1.0,5.0,5.18,1.21
2006,2006-12-03,26.101999999999997,6.0,19.0,31.58,34.0,0.0,3.0,1.3,1.0,10.0,1.79,-5.32
2006,2006-12-11,26.11,13.0,23.0,56.52,200.0,2.0,0.0,114.4,0.0,0.0,8.7,10.43
2006,2006-12-17,26.116,29.0,44.0,65.91,339.0,2.0,0.0,104.3,4.0,27.0,7.7,8.61
2006,2006-12-24,26.123,20.0,36.0,55.56,197.0,1.0,0.0,80.4,2.0,10.0,5.47,6.03
2006,2006-12-31,26.13,2.0,12.0,16.67,33.0,0.0,3.0,0.0,1.0,5.0,2.75,-8.5
2007,2007-09-09,27.017,12.0,23.0,52.17,145.0,0.0,1.0,53.7,3.0,23.0,6.3,4.35
2007,2007-09-16,27.024,20.0,34.0,58.82,160.0,1.0,2.0,56.0,3.0,28.0,4.71,2.65
2007,2007-09-23,27.031,15.0,32.0,46.88,195.0,0.0,3.0,27.5,3.0,31.0,6.09,1.88
2007,2007-11-11,27.08,7.0,14.0,50.0,142.0,1.0,0.0,109.8,2.0,14.0,10.14,11.57
2007,2007-11-18,27.087,24.0,37.0,64.86,266.0,0.0,0.0,86.1,5.0,28.0,7.19,7.19
2007,2007-11-25,27.094,17.0,33.0,51.52,193.0,1.0,1.0,66.9,3.0,22.0,5.85,5.09
2007,2007-12-02,27.101,25.0,46.0,54.35,296.0,1.0,0.0,81.4,6.0,52.0,6.43,6.87
2007,2007-12-06,27.105,2.0,6.0,33.33,14.0,0.0,0.0,42.4,0.0,0.0,2.33,2.33
2008,2008-10-05,28.043000000000003,,,,,,,,0.0,,,
2008,2008-11-02,28.070999999999998,8.0,18.0,44.44,58.0,1.0,1.0,47.9,0.0,0.0,3.22,1.83
2008,2008-11-09,28.078000000000003,20.0,37.0,54.05,173.0,1.0,1.0,64.4,2.0,8.0,4.68,4.0
2008,2008-11-16,28.085,4.0,7.0,57.14,26.0,0.0,0.0,65.2,0.0,0.0,3.71,3.71
2009,2009-12-06,29.105,3.0,9.0,33.33,33.0,0.0,1.0,5.6,0.0,0.0,3.67,-1.33
2010,2010-10-31,30.069000000000003,4.0,7.0,57.14,44.0,0.0,0.0,75.9,1.0,13.0,6.29,6.29
2010,2010-12-19,30.118000000000002,25.0,43.0,58.14,322.0,4.0,2.0,93.4,5.0,36.0,7.49,7.26
2010,2010-12-26,30.125,19.0,39.0,48.72,182.0,1.0,1.0,60.0,1.0,10.0,4.67,4.03
2010,2011-01-02,30.131999999999998,26.0,44.0,59.09,336.0,2.0,1.0,88.8,2.0,18.0,7.64,7.52
2011,2011-09-11,31.019000000000002,21.0,34.0,61.76,305.0,2.0,0.0,110.5,4.0,47.0,8.97,10.15
2011,2011-09-18,31.026,25.0,43.0,58.14,291.0,2.0,2.0,74.9,1.0,8.0,6.77,5.6
2011,2011-09-26,31.034000000000002,22.0,37.0,59.46,250.0,1.0,1.0,77.5,3.0,17.0,6.76,6.08
2011,2011-10-02,31.04,15.0,29.0,51.72,143.0,1.0,2.0,48.5,0.0,0.0,4.93,2.52
2011,2011-10-16,31.054000000000002,9.0,22.0,40.91,143.0,0.0,4.0,23.7,1.0,8.0,6.5,-1.68
2011,2011-11-13,31.081999999999997,21.0,32.0,65.63,215.0,0.0,2.0,58.7,3.0,30.0,6.72,3.91
2011,2011-11-20,31.089000000000002,25.0,38.0,65.79,292.0,2.0,1.0,95.5,3.0,13.0,7.68,7.55
2011,2011-11-27,31.096,26.0,35.0,74.29,314.0,2.0,2.0,96.6,1.0,8.0,8.97,7.54
2011,2011-12-04,31.103,19.0,46.0,41.3,221.0,0.0,1.0,47.5,2.0,17.0,4.8,3.83
2011,2011-12-11,31.11,19.0,32.0,59.38,252.0,2.0,1.0,92.2,2.0,8.0,7.88,7.72
2011,2011-12-18,31.116999999999997,15.0,24.0,62.5,185.0,1.0,2.0,65.5,1.0,8.0,7.71,4.79
2011,2011-12-24,31.123,26.0,41.0,63.41,284.0,2.0,1.0,89.9,3.0,28.0,6.93,6.8
2011,2012-01-01,31.131,22.0,45.0,48.89,256.0,1.0,1.0,64.7,1.0,9.0,5.69,5.13
