Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1976,1976-09-12,22.298000000000002,4.0,5.0,80.0,25.0,0.0,1.0,47.9,,,5.0,-4.0
1976,1976-09-19,22.305,4.0,8.0,50.0,7.0,0.0,1.0,16.7,2.0,20.0,0.88,-4.75
1976,1976-10-03,22.319000000000003,6.0,9.0,66.67,94.0,0.0,0.0,101.2,2.0,20.0,10.44,10.44
1976,1976-10-10,22.326,4.0,11.0,36.36,58.0,0.0,0.0,54.4,3.0,16.0,5.27,5.27
1976,1976-10-18,22.334,9.0,19.0,47.37,87.0,0.0,0.0,60.6,4.0,29.0,4.58,4.58
1976,1976-10-24,22.34,2.0,8.0,25.0,52.0,0.0,0.0,54.2,2.0,18.0,6.5,6.5
1976,1976-10-31,22.346999999999998,6.0,20.0,30.0,87.0,1.0,2.0,22.3,1.0,8.0,4.35,0.85
1976,1976-11-07,22.354,12.0,24.0,50.0,183.0,0.0,1.0,58.2,2.0,29.0,7.63,5.75
1976,1976-11-14,22.361,3.0,10.0,30.0,50.0,0.0,0.0,47.9,1.0,11.0,5.0,5.0
1976,1976-11-21,23.002,2.0,6.0,33.33,38.0,1.0,2.0,56.2,,,6.33,-5.33
1976,1976-11-28,23.009,6.0,15.0,40.0,105.0,1.0,1.0,59.0,2.0,9.0,7.0,5.33
1976,1976-12-05,23.016,4.0,14.0,28.57,61.0,0.0,2.0,5.7,6.0,38.0,4.36,-2.07
1976,1976-12-12,23.023000000000003,3.0,13.0,23.08,23.0,0.0,2.0,0.0,4.0,35.0,1.77,-5.15
1977,1977-09-18,23.303,10.0,25.0,40.0,115.0,0.0,1.0,37.9,3.0,38.0,4.6,2.8
1977,1977-09-25,23.31,13.0,22.0,59.09,140.0,0.0,2.0,40.0,1.0,8.0,6.36,2.27
1977,1977-10-02,23.316999999999997,12.0,21.0,57.14,154.0,2.0,3.0,72.4,1.0,10.0,7.33,2.81
1977,1977-10-09,23.324,10.0,15.0,66.67,194.0,1.0,0.0,131.9,,,12.93,14.27
1977,1977-10-16,23.331,16.0,26.0,61.54,203.0,0.0,0.0,85.9,1.0,12.0,7.81,7.81
1977,1977-10-23,23.338,17.0,29.0,58.62,396.0,4.0,2.0,113.9,1.0,21.0,13.66,13.31
1977,1977-10-30,23.345,16.0,32.0,50.0,183.0,1.0,0.0,78.0,3.0,25.0,5.72,6.34
1977,1977-11-06,23.351999999999997,6.0,11.0,54.55,64.0,0.0,0.0,71.8,4.0,28.0,5.82,5.82
1977,1977-11-27,24.008000000000003,2.0,6.0,33.33,8.0,1.0,2.0,42.4,,,1.33,-10.33
1977,1977-12-04,24.015,8.0,21.0,38.1,161.0,1.0,1.0,61.8,2.0,20.0,7.67,6.48
1977,1977-12-11,24.022,10.0,27.0,37.04,145.0,1.0,3.0,28.1,1.0,5.0,5.37,1.11
1977,1977-12-18,24.029,13.0,30.0,43.33,100.0,0.0,3.0,12.5,7.0,36.0,3.33,-1.17
1978,1978-09-03,24.288,17.0,25.0,68.0,245.0,3.0,1.0,122.5,2.0,18.0,9.8,10.4
1978,1978-09-10,24.295,14.0,26.0,53.85,196.0,3.0,2.0,84.8,3.0,25.0,7.54,6.38
