Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1993,1993-09-05,23.17,20.0,27.0,74.07,154.0,0.0,1.0,72.1,4.0,13.0,5.7,4.04
1993,1993-09-12,23.177,14.0,22.0,63.64,149.0,0.0,2.0,45.5,5.0,29.0,6.77,2.68
1993,1993-09-19,23.184,12.0,16.0,75.0,117.0,1.0,1.0,89.8,4.0,24.0,7.31,5.75
1993,1993-09-26,23.191,18.0,30.0,60.0,181.0,0.0,0.0,77.2,2.0,15.0,6.03,6.03
1993,1993-10-03,23.198,25.0,40.0,62.5,282.0,1.0,0.0,91.9,2.0,12.0,7.05,7.55
1993,1993-10-17,23.212,23.0,39.0,58.97,189.0,1.0,3.0,47.9,3.0,23.0,4.85,1.9
1993,1993-10-24,23.219,22.0,43.0,51.16,203.0,1.0,2.0,52.8,1.0,9.0,4.72,3.09
1993,1993-10-31,23.226,16.0,30.0,53.33,201.0,0.0,2.0,46.7,4.0,17.0,6.7,3.7
1993,1993-11-07,23.233,12.0,20.0,60.0,175.0,1.0,1.0,84.4,2.0,14.0,8.75,7.5
1993,1993-11-14,23.24,11.0,27.0,40.74,114.0,1.0,0.0,66.0,2.0,10.0,4.22,4.96
1993,1993-11-28,23.254,17.0,37.0,45.95,188.0,1.0,1.0,59.3,6.0,27.0,5.08,4.41
1993,1993-12-05,23.261,18.0,30.0,60.0,287.0,0.0,2.0,64.2,3.0,12.0,9.57,6.57
1993,1993-12-12,23.268,20.0,36.0,55.56,171.0,1.0,1.0,65.9,1.0,2.0,4.75,4.06
1993,1993-12-19,23.275,15.0,30.0,50.0,165.0,1.0,0.0,77.8,2.0,12.0,5.5,6.17
1993,1993-12-26,23.281999999999996,12.0,29.0,41.38,117.0,1.0,1.0,50.5,5.0,16.0,4.03,3.17
1993,1994-01-02,23.289,19.0,30.0,63.33,140.0,2.0,0.0,96.5,1.0,0.0,4.67,6.0
1994,1994-09-04,24.169,17.0,28.0,60.71,183.0,1.0,0.0,91.8,1.0,7.0,6.54,7.25
1994,1994-09-11,24.176,19.0,26.0,73.08,242.0,3.0,0.0,140.2,1.0,7.0,9.31,11.62
1994,1994-09-18,24.183000000000003,20.0,36.0,55.56,163.0,0.0,1.0,55.7,6.0,35.0,4.53,3.28
1994,1994-09-25,24.19,14.0,24.0,58.33,166.0,1.0,1.0,76.0,2.0,14.0,6.92,5.88
1994,1994-10-02,24.197,20.0,38.0,52.63,186.0,1.0,1.0,64.1,3.0,12.0,4.89,4.24
1994,1994-10-09,24.204,19.0,39.0,48.72,244.0,0.0,2.0,47.4,0.0,0.0,6.26,3.95
1994,1994-10-23,24.218000000000004,15.0,30.0,50.0,126.0,2.0,0.0,83.5,3.0,30.0,4.2,5.53
1994,1994-10-30,24.225,15.0,30.0,50.0,177.0,0.0,0.0,68.3,3.0,6.0,5.9,5.9
1994,1994-11-06,24.232,13.0,32.0,40.63,181.0,0.0,0.0,59.5,3.0,11.0,5.66,5.66
1994,1994-11-13,24.239,10.0,29.0,34.48,133.0,0.0,0.0,49.9,2.0,2.0,4.59,4.59
1994,1994-11-20,24.246,13.0,25.0,52.0,127.0,2.0,1.0,76.6,1.0,10.0,5.08,4.88
1994,1994-11-27,24.253,15.0,31.0,48.39,195.0,0.0,0.0,68.6,2.0,11.0,6.29,6.29
