Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1995,1995-12-17,22.274,3.0,7.0,42.86,24.0,0.0,1.0,12.5,1.0,13.0,3.43,-3.0
1996,1996-10-06,23.201999999999998,,,,,,,,,,,
1996,1996-12-22,23.279,,,,,,,,,,,
1997,1997-08-31,24.166,20.0,24.0,83.33,294.0,2.0,0.0,145.5,3.0,14.0,12.25,13.92
1997,1997-10-12,24.208000000000002,1.0,1.0,100.0,10.0,0.0,0.0,108.3,1.0,6.0,10.0,10.0
1997,1997-10-26,24.221999999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
1997,1997-11-09,24.236,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,-45.0
1997,1997-12-21,24.278000000000002,1.0,1.0,100.0,40.0,0.0,0.0,118.7,0.0,0.0,40.0,40.0
1998,1998-09-06,25.171999999999997,8.0,14.0,57.14,75.0,0.0,1.0,42.3,3.0,11.0,5.36,2.14
1998,1998-09-13,25.179000000000002,10.0,18.0,55.56,134.0,1.0,1.0,74.8,8.0,57.0,7.44,6.06
1998,1998-09-20,25.186,18.0,28.0,64.29,231.0,3.0,1.0,110.9,9.0,39.0,8.25,8.79
1998,1998-10-04,25.2,19.0,27.0,70.37,254.0,1.0,0.0,112.3,3.0,17.0,9.41,10.15
1998,1998-10-11,25.206999999999997,0.0,0.0,,0.0,0.0,,,1.0,8.0,,
1998,1998-11-22,25.249000000000002,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,7.0,0.0,0.0
1998,1998-12-13,25.27,,,,,,,,,,,
1998,1998-12-27,25.284000000000002,12.0,18.0,66.67,216.0,3.0,0.0,147.2,4.0,24.0,12.0,15.33
1999,1999-09-26,26.191999999999997,1.0,2.0,50.0,11.0,0.0,0.0,66.7,1.0,9.0,5.5,5.5
1999,2000-01-02,26.29,24.0,32.0,75.0,287.0,2.0,0.0,122.8,0.0,0.0,8.97,10.22
2000,2000-09-03,27.169,9.0,18.0,50.0,107.0,1.0,0.0,87.0,5.0,37.0,5.94,7.06
2000,2000-09-10,27.176,18.0,26.0,69.23,259.0,3.0,1.0,123.7,5.0,39.0,9.96,10.54
2000,2000-09-17,27.183000000000003,21.0,36.0,58.33,291.0,2.0,1.0,91.3,2.0,17.0,8.08,7.94
2000,2000-10-01,27.197,21.0,32.0,65.63,246.0,1.0,0.0,99.2,4.0,31.0,7.69,8.31
2000,2000-10-08,27.204,11.0,26.0,42.31,178.0,0.0,0.0,65.9,5.0,40.0,6.85,6.85
2000,2000-10-15,27.211,29.0,47.0,61.7,321.0,1.0,1.0,80.2,4.0,22.0,6.83,6.3
2000,2000-11-12,27.239,2.0,3.0,66.67,29.0,0.0,0.0,97.9,0.0,0.0,9.67,9.67
2000,2000-11-19,27.246,21.0,36.0,58.33,196.0,2.0,0.0,91.9,4.0,16.0,5.44,6.56
2000,2000-11-26,27.253,24.0,39.0,61.54,262.0,2.0,0.0,98.5,6.0,25.0,6.72,7.74
2000,2000-12-03,27.26,6.0,18.0,33.33,44.0,0.0,2.0,2.8,5.0,26.0,2.44,-2.56
2000,2000-12-11,27.268,12.0,22.0,54.55,188.0,0.0,2.0,45.3,8.0,37.0,8.55,4.45
2000,2000-12-17,27.274,1.0,3.0,33.33,4.0,0.0,0.0,42.4,1.0,2.0,1.33,1.33
2001,2001-09-09,28.175,16.0,27.0,59.26,160.0,0.0,3.0,36.6,5.0,34.0,5.93,0.93
2001,2001-09-23,28.189,24.0,37.0,64.86,257.0,1.0,1.0,82.8,4.0,28.0,6.95,6.27
2001,2001-09-30,28.195999999999998,13.0,22.0,59.09,104.0,0.0,0.0,71.0,4.0,28.0,4.73,4.73
2001,2001-10-07,28.203000000000003,3.0,4.0,75.0,57.0,1.0,1.0,116.7,1.0,7.0,14.25,8.0
2001,2001-10-18,28.214000000000002,23.0,30.0,76.67,238.0,1.0,0.0,110.1,2.0,19.0,7.93,8.6
2001,2001-10-28,28.224,24.0,37.0,64.86,310.0,1.0,1.0,88.8,4.0,25.0,8.38,7.7
2001,2001-11-04,28.230999999999998,17.0,33.0,51.52,172.0,1.0,0.0,76.8,6.0,24.0,5.21,5.82
2001,2001-11-11,28.238000000000003,14.0,26.0,53.85,167.0,0.0,1.0,57.7,5.0,31.0,6.42,4.69
2002,2002-09-29,29.195,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2002,2002-10-20,29.215999999999998,4.0,7.0,57.14,31.0,0.0,0.0,68.2,1.0,2.0,4.43,4.43
2002,2002-10-27,29.223000000000003,22.0,33.0,66.67,179.0,0.0,1.0,67.6,6.0,31.0,5.42,4.06
2002,2002-11-24,29.250999999999998,3.0,5.0,60.0,33.0,0.0,1.0,40.0,2.0,14.0,6.6,-2.4
2002,2002-12-23,29.28,12.0,18.0,66.67,159.0,1.0,0.0,113.0,5.0,24.0,8.83,9.94
2002,2002-12-29,29.285999999999998,16.0,25.0,64.0,134.0,0.0,0.0,77.7,5.0,23.0,5.36,5.36
2003,2003-10-12,30.208000000000002,4.0,4.0,100.0,35.0,0.0,0.0,103.1,2.0,9.0,8.75,8.75
2003,2003-10-19,30.215,1.0,3.0,33.33,4.0,0.0,0.0,42.4,1.0,6.0,1.33,1.33
2003,2003-11-30,30.256999999999998,,,,,,,,0.0,,,
2003,2003-12-22,30.279,6.0,13.0,46.15,54.0,0.0,1.0,25.8,1.0,6.0,4.15,0.69
