Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-09-09,22.21,19.0,26.0,73.08,320.0,2.0,0.0,139.9,2.0,14.0,12.31,13.85
2012,2012-09-16,22.217,20.0,29.0,68.97,206.0,1.0,1.0,86.3,1.0,9.0,7.1,6.24
2012,2012-09-23,22.224,21.0,34.0,61.76,221.0,1.0,0.0,90.4,5.0,42.0,6.5,7.09
2012,2012-09-30,22.230999999999998,26.0,35.0,74.29,323.0,0.0,0.0,102.4,1.0,2.0,9.23,9.23
2012,2012-10-07,22.238000000000003,10.0,15.0,66.67,91.0,0.0,0.0,82.9,2.0,9.0,6.07,6.07
2012,2012-10-14,22.245,17.0,22.0,77.27,182.0,1.0,1.0,97.2,1.0,4.0,8.27,7.14
2012,2012-10-21,22.252,20.0,28.0,71.43,258.0,2.0,1.0,108.9,3.0,26.0,9.21,9.04
2012,2012-10-28,22.259,16.0,34.0,47.06,177.0,1.0,0.0,72.8,1.0,8.0,5.21,5.79
2012,2012-11-04,22.266,23.0,39.0,58.97,215.0,0.0,0.0,74.2,4.0,29.0,5.51,5.51
2012,2012-11-18,22.28,14.0,15.0,93.33,200.0,4.0,0.0,158.3,2.0,8.0,13.33,18.67
2012,2012-11-22,22.284000000000002,19.0,27.0,70.37,304.0,4.0,1.0,131.8,3.0,16.0,11.26,12.56
2012,2012-12-03,22.295,13.0,21.0,61.9,163.0,1.0,0.0,101.9,0.0,0.0,7.76,8.71
2012,2012-12-09,22.301,15.0,26.0,57.69,242.0,1.0,0.0,101.8,3.0,24.0,9.31,10.08
2012,2012-12-23,22.315,16.0,24.0,66.67,198.0,2.0,1.0,102.4,1.0,13.0,8.25,8.04
2012,2012-12-30,22.322,9.0,18.0,50.0,100.0,0.0,0.0,66.9,1.0,13.0,5.56,5.56
2013,2013-09-09,23.209,30.0,49.0,61.22,329.0,2.0,2.0,77.7,3.0,21.0,6.71,5.69
2013,2013-09-15,23.215,26.0,40.0,65.0,320.0,3.0,1.0,104.2,1.0,6.0,8.0,8.38
2013,2013-09-22,23.221999999999998,32.0,50.0,64.0,326.0,0.0,1.0,74.2,2.0,26.0,6.52,5.62
2013,2013-09-29,23.229,18.0,31.0,58.06,227.0,1.0,0.0,91.7,1.0,10.0,7.32,7.97
2013,2013-10-13,23.243000000000002,19.0,39.0,48.72,246.0,0.0,1.0,58.3,3.0,29.0,6.31,5.15
2013,2013-10-20,23.25,18.0,29.0,62.07,298.0,2.0,1.0,105.2,1.0,8.0,10.28,10.1
2013,2013-10-27,23.256999999999998,15.0,30.0,50.0,132.0,1.0,2.0,45.4,3.0,26.0,4.4,2.07
2013,2013-11-03,23.264,23.0,32.0,71.88,291.0,0.0,1.0,86.8,0.0,0.0,9.09,7.69
2013,2013-11-07,23.268,24.0,37.0,64.86,281.0,3.0,0.0,114.8,4.0,39.0,7.59,9.22
2013,2013-11-17,23.278000000000002,17.0,35.0,48.57,264.0,2.0,1.0,81.1,4.0,28.0,7.54,7.4
2013,2013-11-25,23.285999999999998,16.0,26.0,61.54,118.0,0.0,1.0,56.3,6.0,42.0,4.54,2.81
2013,2013-12-01,23.291999999999998,24.0,32.0,75.0,207.0,1.0,0.0,102.0,5.0,23.0,6.47,7.09
2013,2013-12-08,23.299,12.0,26.0,46.15,164.0,1.0,1.0,63.6,5.0,16.0,6.31,5.35
2014,2014-09-07,24.206999999999997,29.0,37.0,78.38,267.0,0.0,0.0,96.7,3.0,26.0,7.22,7.22
2014,2014-09-14,24.214000000000002,2.0,3.0,66.67,38.0,0.0,0.0,109.7,1.0,9.0,12.67,12.67
2014,2014-11-02,24.263,18.0,28.0,64.29,251.0,1.0,1.0,90.0,5.0,26.0,8.96,8.07
2014,2014-11-16,24.276999999999997,23.0,32.0,71.88,207.0,1.0,2.0,73.3,6.0,40.0,6.47,4.28
2014,2014-11-23,24.284000000000002,11.0,19.0,57.89,106.0,0.0,0.0,73.6,5.0,29.0,5.58,5.58
2014,2014-12-07,24.298000000000002,3.0,4.0,75.0,33.0,0.0,0.0,99.0,1.0,8.0,8.25,8.25
2014,2014-12-14,24.305,18.0,27.0,66.67,236.0,1.0,0.0,106.4,7.0,47.0,8.74,9.48
2014,2014-12-20,24.311,16.0,23.0,69.57,220.0,0.0,1.0,81.8,2.0,15.0,9.57,7.61
2014,2014-12-28,24.319000000000003,27.0,41.0,65.85,336.0,1.0,2.0,78.9,3.0,27.0,8.2,6.49
2016,2016-09-11,26.212,12.0,26.0,46.15,190.0,0.0,1.0,55.0,3.0,22.0,7.31,5.58
2016,2016-12-11,26.303,12.0,28.0,42.86,104.0,0.0,1.0,38.4,3.0,19.0,3.71,2.11
2016,2016-12-18,26.31,17.0,28.0,60.71,196.0,0.0,0.0,81.8,5.0,34.0,7.0,7.0
2016,2016-12-24,26.316,17.0,25.0,68.0,164.0,0.0,0.0,86.1,7.0,37.0,6.56,6.56
2016,2017-01-01,26.324,29.0,40.0,72.5,232.0,2.0,1.0,92.9,4.0,26.0,5.8,5.68
2018,2018-11-18,28.279,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-12-02,28.293000000000003,2.0,4.0,50.0,21.0,0.0,0.0,65.6,0.0,0.0,5.25,5.25
2018,2018-12-09,28.3,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2019,2019-09-08,29.208000000000002,6.0,6.0,100.0,55.0,1.0,0.0,144.4,0.0,0.0,9.17,12.5
2019,2019-11-10,29.271,3.0,5.0,60.0,20.0,0.0,1.0,29.2,1.0,0.0,4.0,-5.0
2019,2019-11-17,29.278000000000002,2.0,2.0,100.0,15.0,0.0,0.0,97.9,0.0,0.0,7.5,7.5
2019,2019-11-25,29.285999999999998,1.0,3.0,33.33,39.0,0.0,0.0,81.9,1.0,4.0,13.0,13.0
2019,2019-12-08,29.299,,,,,,,,,,,
2019,2019-12-12,29.303,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2019,2019-12-29,29.32,11.0,21.0,52.38,96.0,0.0,1.0,44.9,3.0,15.0,4.57,2.43
2020,2020-09-13,30.214000000000002,1.0,1.0,100.0,9.0,0.0,0.0,104.2,0.0,0.0,9.0,9.0
2020,2020-10-04,30.235,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2020,2020-10-11,30.241999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2020,2020-12-02,30.294,7.0,12.0,58.33,33.0,0.0,1.0,28.5,3.0,20.0,2.75,-1.0
