Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1989,1989-10-01,23.199,15.0,30.0,50.0,160.0,0.0,1.0,52.1,2.0,11.0,5.33,3.83
1989,1989-10-15,23.213,17.0,31.0,54.84,268.0,1.0,2.0,67.7,4.0,31.0,8.65,6.39
1989,1989-10-22,23.22,19.0,36.0,52.78,240.0,0.0,2.0,50.7,8.0,42.0,6.67,4.17
1989,1989-10-29,23.226999999999997,14.0,28.0,50.0,201.0,1.0,1.0,70.7,1.0,9.0,7.18,6.29
1989,1989-11-05,23.234,18.0,29.0,62.07,273.0,1.0,1.0,90.2,3.0,16.0,9.41,8.55
1989,1989-11-12,23.241,7.0,15.0,46.67,77.0,2.0,1.0,74.2,4.0,23.0,5.13,4.8
1989,1989-11-19,23.248,5.0,8.0,62.5,83.0,0.0,0.0,97.4,1.0,5.0,10.38,10.38
1989,1989-12-03,23.261999999999997,8.0,18.0,44.44,177.0,0.0,1.0,56.9,4.0,27.0,9.83,7.33
1990,1990-09-09,24.177,10.0,21.0,47.62,143.0,1.0,1.0,66.2,5.0,31.0,6.81,5.62
1990,1990-09-16,24.184,13.0,26.0,50.0,167.0,2.0,2.0,64.1,2.0,9.0,6.42,4.5
1990,1990-09-23,24.191,17.0,26.0,65.38,169.0,1.0,0.0,96.5,3.0,17.0,6.5,7.27
1990,1990-09-30,24.198,17.0,34.0,50.0,200.0,1.0,0.0,78.1,1.0,6.0,5.88,6.47
1990,1990-10-28,24.226,16.0,25.0,64.0,246.0,1.0,0.0,109.7,5.0,32.0,9.84,10.64
1990,1990-11-04,24.233,8.0,17.0,47.06,135.0,2.0,0.0,113.6,1.0,8.0,7.94,10.29
1990,1990-12-02,24.261,8.0,18.0,44.44,101.0,0.0,0.0,62.5,1.0,18.0,5.61,5.61
1990,1990-12-10,24.269000000000002,11.0,24.0,45.83,178.0,1.0,1.0,67.7,4.0,7.0,7.42,6.38
1990,1990-12-16,24.275,18.0,27.0,66.67,316.0,4.0,2.0,115.1,1.0,6.0,11.7,11.33
1990,1990-12-22,24.281,13.0,28.0,46.43,184.0,0.0,1.0,53.3,0.0,0.0,6.57,4.96
1990,1990-12-30,24.289,11.0,25.0,44.0,135.0,0.0,1.0,44.6,4.0,39.0,5.4,3.6
1991,1991-09-01,25.169,8.0,22.0,36.36,75.0,0.0,3.0,7.0,3.0,14.0,3.41,-2.73
1991,1991-09-08,25.176,25.0,38.0,65.79,271.0,1.0,0.0,95.4,0.0,0.0,7.13,7.66
1991,1991-09-15,25.183000000000003,13.0,24.0,54.17,173.0,1.0,1.0,73.8,2.0,9.0,7.21,6.17
1991,1991-09-22,25.19,17.0,23.0,73.91,167.0,0.0,2.0,57.7,0.0,0.0,7.26,3.35
1991,1991-09-29,25.197,12.0,22.0,54.55,159.0,1.0,1.0,73.9,2.0,12.0,7.23,6.09
1991,1991-10-06,25.204,24.0,38.0,63.16,281.0,2.0,1.0,92.1,3.0,5.0,7.39,7.26
1991,1991-10-20,25.218000000000004,14.0,24.0,58.33,183.0,0.0,1.0,65.1,0.0,0.0,7.63,5.75
1991,1991-10-27,25.225,3.0,3.0,100.0,30.0,0.0,0.0,108.3,1.0,2.0,10.0,10.0
1992,1992-09-06,26.174,18.0,26.0,69.23,273.0,2.0,1.0,113.1,6.0,41.0,10.5,10.31
1992,1992-09-13,26.180999999999997,10.0,15.0,66.67,105.0,1.0,1.0,81.2,2.0,9.0,7.0,5.33
1992,1992-09-20,26.188000000000002,14.0,26.0,53.85,181.0,1.0,1.0,72.8,2.0,12.0,6.96,6.0
1992,1992-09-27,26.195,20.0,31.0,64.52,323.0,1.0,0.0,110.0,3.0,25.0,10.42,11.06
1992,1992-10-04,26.201999999999998,15.0,30.0,50.0,173.0,1.0,0.0,78.9,6.0,28.0,5.77,6.43
1992,1992-10-15,26.213,13.0,23.0,56.52,171.0,0.0,2.0,43.9,2.0,11.0,7.43,3.52
1992,1992-10-25,26.223000000000003,11.0,19.0,57.89,208.0,3.0,1.0,113.6,0.0,0.0,10.95,11.74
1992,1992-11-01,26.23,14.0,28.0,50.0,148.0,0.0,1.0,50.9,4.0,29.0,5.29,3.68
1992,1992-11-08,26.237,6.0,10.0,60.0,69.0,0.0,2.0,41.2,2.0,13.0,6.9,-2.1
1992,1992-12-06,26.265,2.0,5.0,40.0,51.0,0.0,0.0,77.9,1.0,2.0,10.2,10.2
1993,1993-09-05,27.173000000000002,11.0,20.0,55.0,178.0,1.0,0.0,101.7,2.0,12.0,8.9,9.9
1993,1993-09-12,27.18,16.0,25.0,64.0,175.0,0.0,3.0,45.0,3.0,21.0,7.0,1.6
1993,1993-09-19,27.186999999999998,12.0,17.0,70.59,99.0,0.0,0.0,85.2,5.0,30.0,5.82,5.82
1993,1993-10-17,27.215,14.0,26.0,53.85,157.0,2.0,1.0,81.7,2.0,6.0,6.04,5.85
