Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1974,1974-11-10,23.232,,,,,,,,,,,
1974,1974-11-24,23.246,1.0,2.0,50.0,19.0,0.0,0.0,83.3,,,9.5,9.5
1974,1974-12-01,23.253,0.0,5.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1974,1974-12-09,23.261,7.0,13.0,53.85,115.0,0.0,1.0,51.8,3.0,24.0,8.85,5.38
1974,1974-12-15,23.267,2.0,4.0,50.0,10.0,0.0,0.0,56.2,,,2.5,2.5
1975,1975-09-21,24.182,3.0,7.0,42.86,36.0,0.0,0.0,59.2,2.0,21.0,5.14,5.14
1975,1975-09-28,24.189,,,,,,,,,,,
1975,1975-10-05,24.195999999999998,,,,,,,,,,,
1975,1975-10-12,24.203000000000003,,,,,,,,,,,
1975,1975-10-19,24.21,,,,,,,,,,,
1975,1975-10-26,24.217,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1975,1975-11-03,24.225,0.0,0.0,,0.0,0.0,0.0,,,,,
1975,1975-11-09,24.230999999999998,,,,,,,,,,,
1975,1975-11-16,24.238000000000003,,,,,,,,,,,
1975,1975-11-23,24.245,1.0,3.0,33.33,13.0,0.0,0.0,47.9,,,4.33,4.33
1975,1975-11-27,24.249000000000002,,,,,,,,,,,
1975,1975-12-07,24.259,,,,,,,,,,,
1975,1975-12-14,24.266,14.0,24.0,58.33,174.0,0.0,1.0,63.5,5.0,37.0,7.25,5.38
1975,1975-12-20,24.272,6.0,13.0,46.15,79.0,0.0,1.0,33.8,2.0,17.0,6.08,2.62
1976,1976-09-12,25.173000000000002,7.0,15.0,46.67,90.0,1.0,1.0,60.4,,,6.0,4.33
1976,1976-10-17,25.208000000000002,6.0,19.0,31.58,109.0,0.0,2.0,12.7,2.0,22.0,5.74,1.0
1976,1976-10-24,25.215,3.0,11.0,27.27,15.0,0.0,2.0,0.0,3.0,29.0,1.36,-6.82
1976,1976-11-28,25.25,3.0,6.0,50.0,34.0,0.0,0.0,67.4,,,5.67,5.67
1976,1976-12-04,25.256,1.0,1.0,100.0,25.0,0.0,0.0,118.7,,,25.0,25.0
1977,1977-09-18,26.179000000000002,14.0,24.0,58.33,147.0,2.0,2.0,69.3,3.0,25.0,6.13,4.04
1977,1977-09-25,26.186,13.0,29.0,44.83,99.0,0.0,3.0,14.1,2.0,18.0,3.41,-1.24
1977,1977-10-02,26.193,13.0,24.0,54.17,207.0,2.0,1.0,93.6,3.0,14.0,8.63,8.42
1977,1977-10-09,26.2,8.0,17.0,47.06,162.0,2.0,1.0,95.7,2.0,15.0,9.53,9.24
1977,1977-10-16,26.206999999999997,17.0,38.0,44.74,264.0,2.0,3.0,53.0,1.0,6.0,6.95,4.45
1977,1977-10-23,26.214000000000002,10.0,23.0,43.48,104.0,1.0,2.0,35.4,4.0,32.0,4.52,1.48
1977,1977-10-30,26.221,9.0,27.0,33.33,190.0,1.0,3.0,31.9,6.0,40.0,7.04,2.78
1977,1977-11-06,26.228,13.0,22.0,59.09,157.0,2.0,1.0,92.4,1.0,7.0,7.14,6.91
1977,1977-11-13,26.235,7.0,21.0,33.33,76.0,1.0,0.0,60.8,2.0,4.0,3.62,4.57
1977,1977-11-20,26.241999999999997,16.0,30.0,53.33,211.0,2.0,1.0,84.2,4.0,36.0,7.03,6.87
1977,1977-11-27,26.249000000000002,15.0,33.0,45.45,190.0,1.0,2.0,48.8,8.0,51.0,5.76,3.64
1977,1977-12-04,26.256,18.0,32.0,56.25,199.0,2.0,2.0,69.7,4.0,28.0,6.22,4.66
1977,1977-12-11,26.263,4.0,10.0,40.0,33.0,0.0,0.0,49.2,5.0,46.0,3.3,3.3
1977,1977-12-18,26.27,9.0,16.0,56.25,144.0,0.0,0.0,86.5,2.0,20.0,9.0,9.0
1978,1978-09-03,27.164,7.0,17.0,41.18,102.0,1.0,1.0,56.5,3.0,22.0,6.0,4.53
1978,1978-09-10,27.171,21.0,35.0,60.0,222.0,1.0,1.0,76.1,4.0,37.0,6.34,5.63
1978,1978-09-17,27.178,14.0,23.0,60.87,182.0,3.0,1.0,107.2,5.0,16.0,7.91,8.57
1978,1978-09-24,27.185,13.0,19.0,68.42,128.0,1.0,0.0,104.7,2.0,13.0,6.74,7.79
1978,1978-10-01,27.191999999999997,11.0,18.0,61.11,143.0,1.0,0.0,104.6,3.0,24.0,7.94,9.06
1978,1978-10-08,27.199,18.0,39.0,46.15,189.0,1.0,0.0,69.3,1.0,3.0,4.85,5.36
1978,1978-10-15,27.206,7.0,14.0,50.0,99.0,0.0,1.0,43.5,2.0,17.0,7.07,3.86
1978,1978-10-22,27.213,14.0,27.0,51.85,179.0,1.0,0.0,85.3,5.0,34.0,6.63,7.37
1978,1978-10-29,27.22,21.0,40.0,52.5,231.0,1.0,3.0,47.0,2.0,11.0,5.78,2.9
1978,1978-11-05,27.226999999999997,13.0,20.0,65.0,106.0,0.0,1.0,57.5,1.0,9.0,5.3,3.05
1978,1978-11-12,27.234,13.0,23.0,56.52,135.0,2.0,1.0,84.5,1.0,6.0,5.87,5.65
1978,1978-11-19,27.241,15.0,31.0,48.39,164.0,0.0,3.0,24.9,,,5.29,0.94
1978,1978-11-26,27.248,13.0,25.0,52.0,156.0,1.0,0.0,84.7,1.0,7.0,6.24,7.04
1978,1978-12-03,27.255,13.0,28.0,46.43,228.0,3.0,1.0,95.5,2.0,15.0,8.14,8.68
1978,1978-12-10,27.261999999999997,9.0,26.0,34.62,151.0,0.0,2.0,23.1,8.0,66.0,5.81,2.35
1978,1978-12-17,27.269000000000002,4.0,13.0,30.77,72.0,0.0,1.0,18.8,1.0,8.0,5.54,2.08
1979,1979-09-02,28.163,12.0,21.0,57.14,186.0,2.0,0.0,118.4,4.0,25.0,8.86,10.76
1979,1979-09-10,28.171,16.0,37.0,43.24,213.0,0.0,2.0,39.6,4.0,29.0,5.76,3.32
1979,1979-09-16,28.177,12.0,23.0,52.17,181.0,1.0,0.0,92.8,2.0,19.0,7.87,8.74
1979,1979-09-23,28.184,11.0,19.0,57.89,156.0,2.0,1.0,97.7,3.0,17.0,8.21,7.95
1979,1979-09-30,28.191,11.0,20.0,55.0,158.0,0.0,2.0,41.2,1.0,10.0,7.9,3.4
1979,1979-10-07,28.198,8.0,12.0,66.67,143.0,1.0,0.0,135.1,,,11.92,13.58
1979,1979-10-14,28.205,11.0,17.0,64.71,95.0,1.0,1.0,74.4,,,5.59,4.12
1979,1979-10-21,28.212,12.0,27.0,44.44,195.0,1.0,2.0,50.7,7.0,56.0,7.22,4.63
1979,1979-10-28,28.219,11.0,21.0,52.38,112.0,0.0,1.0,48.1,4.0,34.0,5.33,3.19
1979,1979-11-04,28.226,16.0,23.0,69.57,205.0,1.0,2.0,75.5,1.0,6.0,8.91,5.87
1979,1979-11-12,28.234,12.0,29.0,41.38,145.0,2.0,0.0,80.4,3.0,28.0,5.0,6.38
1979,1979-11-18,28.24,11.0,27.0,40.74,141.0,1.0,0.0,70.1,1.0,11.0,5.22,5.96
1979,1979-11-25,28.247,8.0,18.0,44.44,127.0,3.0,0.0,108.1,1.0,9.0,7.06,10.39
1979,1979-12-02,28.254,14.0,23.0,60.87,233.0,2.0,0.0,124.0,2.0,16.0,10.13,11.87
1979,1979-12-08,28.26,13.0,36.0,36.11,216.0,1.0,1.0,54.9,1.0,12.0,6.0,5.31
1979,1979-12-16,28.268,12.0,21.0,57.14,163.0,0.0,0.0,82.0,,,7.76,7.76
1980,1980-09-07,29.168000000000003,18.0,28.0,64.29,281.0,3.0,0.0,133.2,,,10.04,12.18
1980,1980-09-14,29.175,20.0,26.0,76.92,234.0,2.0,1.0,113.3,,,9.0,8.81
1980,1980-09-22,29.183000000000003,18.0,29.0,62.07,240.0,3.0,1.0,108.4,1.0,11.0,8.28,8.79
1980,1980-09-28,29.189,16.0,36.0,44.44,226.0,1.0,3.0,39.8,2.0,16.0,6.28,3.08
1980,1980-10-05,29.195999999999998,11.0,20.0,55.0,193.0,2.0,1.0,100.6,3.0,20.0,9.65,9.4
1980,1980-10-12,29.203000000000003,18.0,28.0,64.29,212.0,1.0,0.0,99.1,,,7.57,8.29
1980,1980-10-19,29.21,13.0,25.0,52.0,214.0,2.0,1.0,91.1,3.0,34.0,8.56,8.36
1980,1980-10-26,29.217,7.0,14.0,50.0,73.0,2.0,0.0,105.1,1.0,9.0,5.21,8.07
1980,1980-11-02,29.224,19.0,30.0,63.33,253.0,2.0,1.0,98.3,2.0,18.0,8.43,8.27
1980,1980-11-09,29.230999999999998,21.0,32.0,65.63,323.0,3.0,0.0,130.1,1.0,3.0,10.09,11.97
1980,1980-11-16,29.238000000000003,11.0,21.0,52.38,124.0,2.0,1.0,82.2,2.0,10.0,5.9,5.67
1980,1980-11-23,29.245,14.0,32.0,43.75,181.0,0.0,1.0,49.1,2.0,17.0,5.66,4.25
1980,1980-11-30,29.252,20.0,31.0,64.52,201.0,2.0,0.0,104.4,4.0,35.0,6.48,7.77
1980,1980-12-07,29.259,16.0,35.0,45.71,207.0,1.0,2.0,50.5,5.0,32.0,5.91,3.91
1980,1980-12-14,29.266,17.0,34.0,50.0,236.0,0.0,0.0,72.7,,,6.94,6.94
1980,1980-12-21,29.273000000000003,18.0,30.0,60.0,331.0,1.0,0.0,109.2,1.0,8.0,11.03,11.7
1981,1981-09-06,30.166999999999998,16.0,26.0,61.54,158.0,1.0,1.0,75.5,1.0,11.0,6.08,5.12
1981,1981-09-13,30.174,11.0,25.0,44.0,152.0,0.0,0.0,64.1,1.0,10.0,6.08,6.08
1981,1981-09-17,30.178,20.0,32.0,62.5,240.0,2.0,1.0,93.2,1.0,4.0,7.5,7.34
1981,1981-09-27,30.188000000000002,14.0,26.0,53.85,150.0,2.0,1.0,80.6,2.0,16.0,5.77,5.58
1981,1981-10-05,30.195999999999998,17.0,26.0,65.38,161.0,1.0,0.0,95.2,0.0,0.0,6.19,6.96
1981,1981-10-11,30.201999999999998,15.0,28.0,53.57,207.0,1.0,2.0,59.7,1.0,7.0,7.39,4.89
1981,1981-10-18,30.209,29.0,44.0,65.91,330.0,2.0,2.0,84.5,3.0,32.0,7.5,6.36
1981,1981-10-25,30.215999999999998,9.0,15.0,60.0,121.0,1.0,1.0,80.1,1.0,12.0,8.07,6.4
1981,1981-11-01,30.223000000000003,10.0,21.0,47.62,191.0,1.0,1.0,75.7,3.0,32.0,9.1,7.9
1981,1981-11-08,30.23,18.0,34.0,52.94,235.0,4.0,1.0,102.0,0.0,0.0,6.91,7.94
1981,1981-11-15,30.237,19.0,29.0,65.52,294.0,2.0,1.0,107.5,1.0,13.0,10.14,9.97
1981,1981-11-22,30.244,20.0,45.0,44.44,187.0,1.0,1.0,54.6,3.0,33.0,4.16,3.6
1981,1981-11-30,30.252,12.0,24.0,50.0,91.0,0.0,1.0,42.2,2.0,11.0,3.79,1.92
1981,1981-12-06,30.258000000000003,16.0,35.0,45.71,266.0,2.0,3.0,55.2,1.0,11.0,7.6,4.89
1981,1981-12-13,30.265,11.0,32.0,34.38,140.0,0.0,4.0,9.4,1.0,5.0,4.38,-1.25
1981,1981-12-20,30.272,13.0,19.0,68.42,172.0,3.0,0.0,136.4,0.0,0.0,9.05,12.21
1982,1982-09-12,31.173000000000002,27.0,38.0,71.05,371.0,2.0,0.0,119.5,6.0,46.0,9.76,10.82
1982,1982-09-19,31.18,25.0,41.0,60.98,334.0,2.0,1.0,92.9,1.0,4.0,8.15,8.02
1982,1982-11-21,31.243000000000002,24.0,43.0,55.81,226.0,0.0,2.0,51.1,3.0,13.0,5.26,3.16
1982,1982-11-28,31.25,18.0,42.0,42.86,233.0,1.0,4.0,29.3,2.0,15.0,5.55,1.74
