Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-09-09,23.285,18.0,34.0,52.94,153.0,1.0,1.0,62.5,3.0,14.0,4.5,3.76
2012,2012-09-16,23.291999999999998,15.0,20.0,75.0,151.0,1.0,0.0,112.7,2.0,18.0,7.55,8.55
2012,2012-09-24,23.3,10.0,21.0,47.62,130.0,2.0,0.0,99.3,1.0,19.0,6.19,8.1
2012,2012-09-30,23.305999999999997,17.0,25.0,68.0,160.0,0.0,3.0,45.8,2.0,20.0,6.4,1.0
2012,2012-10-07,23.313000000000002,19.0,25.0,76.0,221.0,1.0,2.0,82.2,2.0,9.0,8.84,6.04
2012,2012-10-14,23.32,16.0,27.0,59.26,293.0,3.0,0.0,133.7,2.0,10.0,10.85,13.07
2012,2012-10-18,23.324,9.0,23.0,39.13,122.0,0.0,1.0,38.7,2.0,7.0,5.3,3.35
2012,2012-10-28,23.334,25.0,35.0,71.43,236.0,2.0,1.0,96.8,0.0,0.0,6.74,6.6
2012,2012-11-04,23.340999999999998,16.0,24.0,66.67,173.0,3.0,0.0,127.3,1.0,8.0,7.21,9.71
2012,2012-11-11,23.348000000000003,12.0,19.0,63.16,188.0,2.0,0.0,131.0,4.0,22.0,9.89,12.0
2012,2012-11-25,23.362,21.0,27.0,77.78,224.0,2.0,0.0,125.9,2.0,8.0,8.3,9.78
2012,2012-12-02,24.003,23.0,37.0,62.16,293.0,2.0,0.0,104.9,2.0,10.0,7.92,9.0
2012,2012-12-09,24.01,7.0,13.0,53.85,148.0,1.0,1.0,88.0,1.0,7.0,11.38,9.46
2012,2012-12-16,24.017,14.0,23.0,60.87,205.0,1.0,0.0,104.4,2.0,9.0,8.91,9.78
2012,2012-12-23,24.024,15.0,21.0,71.43,171.0,4.0,1.0,115.3,1.0,1.0,8.14,9.81
2012,2012-12-30,24.031,15.0,19.0,78.95,250.0,1.0,0.0,136.3,6.0,41.0,13.16,14.21
2013,2013-09-08,24.283,25.0,33.0,75.76,320.0,1.0,0.0,115.7,2.0,20.0,9.7,10.3
2013,2013-09-15,24.29,8.0,19.0,42.11,142.0,1.0,1.0,63.9,4.0,24.0,7.47,6.16
2013,2013-09-22,24.296999999999997,14.0,21.0,66.67,202.0,4.0,1.0,117.5,2.0,8.0,9.62,11.29
2013,2013-09-29,24.304000000000002,12.0,23.0,52.17,123.0,0.0,1.0,49.7,5.0,32.0,5.35,3.39
2013,2013-10-06,24.311,15.0,31.0,48.39,210.0,2.0,1.0,78.7,2.0,5.0,6.77,6.61
2013,2013-10-13,24.318,23.0,31.0,74.19,257.0,0.0,0.0,98.5,2.0,4.0,8.29,8.29
2013,2013-10-17,24.322,18.0,29.0,62.07,235.0,3.0,0.0,122.1,3.0,26.0,8.1,10.17
2013,2013-10-28,24.333000000000002,10.0,18.0,55.56,139.0,2.0,0.0,117.6,7.0,48.0,7.72,9.94
2013,2013-11-03,24.339000000000002,19.0,26.0,73.08,217.0,2.0,2.0,91.3,0.0,0.0,8.35,6.42
2013,2013-11-10,24.346,19.0,26.0,73.08,287.0,2.0,0.0,134.6,1.0,8.0,11.04,12.58
2013,2013-11-17,24.353,13.0,18.0,72.22,230.0,2.0,0.0,151.4,1.0,6.0,12.78,15.0
2013,2013-12-02,25.003,22.0,30.0,73.33,310.0,3.0,0.0,139.6,1.0,8.0,10.33,12.33
2013,2013-12-08,25.009,15.0,25.0,60.0,199.0,1.0,1.0,81.9,2.0,21.0,7.96,6.96
2013,2013-12-15,25.016,18.0,27.0,66.67,206.0,1.0,1.0,86.3,4.0,29.0,7.63,6.7
2013,2013-12-22,25.023000000000003,11.0,27.0,40.74,108.0,1.0,1.0,49.6,4.0,19.0,4.0,3.07
2013,2013-12-29,25.03,15.0,23.0,65.22,172.0,1.0,0.0,102.1,4.0,14.0,7.48,8.35
2014,2014-09-04,25.279,19.0,28.0,67.86,191.0,2.0,0.0,110.9,1.0,0.0,6.82,8.25
2014,2014-09-14,25.289,17.0,25.0,68.0,202.0,2.0,0.0,119.1,2.0,22.0,8.08,9.68
2014,2014-09-21,25.296,24.0,34.0,70.59,258.0,2.0,1.0,99.9,3.0,20.0,7.59,7.44
2014,2014-10-06,25.311,18.0,24.0,75.0,201.0,2.0,0.0,127.3,3.0,23.0,8.38,10.04
2014,2014-10-12,25.316999999999997,14.0,28.0,50.0,126.0,0.0,1.0,47.6,2.0,0.0,4.5,2.89
2014,2014-10-19,25.324,23.0,36.0,63.89,313.0,2.0,0.0,110.1,3.0,21.0,8.69,9.81
2014,2014-10-26,25.331,20.0,32.0,62.5,199.0,1.0,1.0,77.5,1.0,8.0,6.22,5.44
2014,2014-11-02,25.338,17.0,35.0,48.57,179.0,0.0,0.0,63.9,1.0,2.0,5.11,5.11
2014,2014-11-09,25.345,10.0,17.0,58.82,172.0,0.0,2.0,53.7,2.0,12.0,10.12,4.82
2014,2014-11-16,25.351999999999997,20.0,32.0,62.5,178.0,2.0,0.0,98.2,2.0,10.0,5.56,6.81
2014,2014-11-23,25.359,17.0,22.0,77.27,211.0,1.0,0.0,121.6,7.0,42.0,9.59,10.5
2014,2014-11-27,25.363000000000003,15.0,22.0,68.18,236.0,1.0,0.0,118.7,4.0,14.0,10.73,11.64
2014,2014-12-07,26.008000000000003,22.0,37.0,59.46,263.0,2.0,0.0,99.3,2.0,11.0,7.11,8.19
2014,2014-12-14,26.015,12.0,24.0,50.0,168.0,1.0,1.0,69.4,5.0,30.0,7.0,5.96
2014,2014-12-21,26.022,20.0,31.0,64.52,339.0,2.0,0.0,122.9,1.0,10.0,10.94,12.23
2014,2014-12-28,26.029,17.0,25.0,68.0,239.0,0.0,1.0,81.9,3.0,17.0,9.56,7.76
2015,2015-09-13,26.288,32.0,41.0,78.05,251.0,1.0,1.0,90.1,6.0,32.0,6.12,5.51
2015,2015-09-20,26.295,19.0,30.0,63.33,206.0,2.0,1.0,91.8,2.0,1.0,6.87,6.7
2015,2015-09-27,26.302,20.0,30.0,66.67,235.0,1.0,0.0,101.4,4.0,23.0,7.83,8.5
2015,2015-10-05,26.31,20.0,26.0,76.92,287.0,1.0,0.0,125.0,6.0,52.0,11.04,11.81
2015,2015-10-11,26.316,15.0,23.0,65.22,213.0,1.0,1.0,91.4,4.0,16.0,9.26,8.17
2015,2015-10-18,26.323,18.0,30.0,60.0,241.0,1.0,0.0,96.7,4.0,22.0,8.03,8.7
2015,2015-10-22,26.326999999999998,18.0,24.0,75.0,235.0,1.0,2.0,84.5,5.0,23.0,9.79,6.88
2015,2015-11-01,26.337,19.0,30.0,63.33,210.0,1.0,1.0,81.3,0.0,0.0,7.0,6.17
2015,2015-11-15,26.351,14.0,32.0,43.75,240.0,1.0,1.0,67.2,2.0,12.0,7.5,6.72
2015,2015-11-22,26.358,24.0,29.0,82.76,260.0,3.0,0.0,138.5,2.0,7.0,8.97,11.03
