Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-09-29,23.143,1.0,7.0,14.29,2.0,1.0,0.0,79.2,0.0,0.0,0.29,3.14
1985,1985-10-13,23.156999999999996,1.0,1.0,100.0,29.0,0.0,0.0,118.7,1.0,10.0,29.0,29.0
1985,1985-11-03,23.178,2.0,5.0,40.0,23.0,0.0,0.0,54.6,2.0,22.0,4.6,4.6
1985,1985-12-01,23.206,,,,,,,,,,,
1986,1986-12-08,24.213,4.0,8.0,50.0,50.0,0.0,1.0,30.2,1.0,6.0,6.25,0.63
1986,1986-12-21,24.226,15.0,30.0,50.0,216.0,1.0,0.0,84.9,2.0,16.0,7.2,7.87
1987,1987-09-13,25.127,2.0,7.0,28.57,12.0,0.0,0.0,39.6,2.0,6.0,1.71,1.71
1987,1987-09-20,25.134,20.0,39.0,51.28,234.0,1.0,1.0,67.7,1.0,0.0,6.0,5.36
1987,1987-10-25,25.169,7.0,13.0,53.85,78.0,0.0,1.0,39.9,3.0,28.0,6.0,2.54
1987,1987-11-01,25.176,18.0,28.0,64.29,277.0,1.0,1.0,93.9,4.0,28.0,9.89,9.0
1987,1987-11-08,25.183000000000003,8.0,19.0,42.11,105.0,0.0,3.0,20.6,2.0,18.0,5.53,-1.58
1988,1988-10-09,26.153000000000002,13.0,43.0,30.23,186.0,1.0,1.0,43.4,3.0,23.0,4.33,3.74
1988,1988-10-16,26.16,9.0,28.0,32.14,130.0,1.0,1.0,45.2,7.0,65.0,4.64,3.75
1988,1988-10-23,26.166999999999998,8.0,18.0,44.44,111.0,1.0,2.0,43.7,3.0,23.0,6.17,2.28
1988,1988-10-30,26.174,14.0,28.0,50.0,147.0,1.0,1.0,62.6,6.0,49.0,5.25,4.36
1988,1988-11-06,26.180999999999997,8.0,22.0,36.36,63.0,1.0,1.0,41.1,4.0,42.0,2.86,1.73
1988,1988-11-13,26.188000000000002,20.0,41.0,48.78,212.0,1.0,2.0,52.1,1.0,9.0,5.17,3.46
1988,1988-11-20,26.195,10.0,20.0,50.0,119.0,0.0,0.0,68.5,1.0,5.0,5.95,5.95
1988,1988-11-24,26.199,4.0,14.0,28.57,43.0,0.0,1.0,10.1,1.0,0.0,3.07,-0.14
1988,1988-12-04,26.209,11.0,25.0,44.0,141.0,0.0,0.0,62.2,2.0,15.0,5.64,5.64
1988,1988-12-11,26.215999999999998,13.0,28.0,46.43,195.0,0.0,0.0,69.8,0.0,0.0,6.96,6.96
1988,1988-12-18,26.223000000000003,16.0,39.0,41.03,211.0,1.0,3.0,35.3,3.0,20.0,5.41,2.46
1991,1991-12-15,29.22,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
