Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-10-28,24.145,1.0,3.0,33.33,17.0,0.0,0.0,53.5,0.0,0.0,5.67,5.67
2012,2012-11-18,24.166,,,,,,,,,,,
2012,2012-11-22,24.17,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-12-10,24.188000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2014,2014-09-14,26.101,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-11-16,26.164,20.0,30.0,66.67,211.0,2.0,1.0,95.3,0.0,0.0,7.03,6.87
2014,2014-11-23,26.171,21.0,45.0,46.67,189.0,0.0,1.0,49.2,1.0,5.0,4.2,3.2
2015,2015-09-13,27.1,8.0,13.0,61.54,98.0,1.0,0.0,110.4,1.0,7.0,7.54,9.08
2015,2015-09-20,27.107,27.0,58.0,46.55,244.0,1.0,1.0,57.0,1.0,5.0,4.21,3.78
2015,2015-09-27,27.114,24.0,39.0,61.54,228.0,1.0,1.0,75.6,1.0,1.0,5.85,5.21
2015,2015-10-04,27.121,12.0,27.0,44.44,150.0,0.0,1.0,46.8,0.0,0.0,5.56,3.89
2015,2015-10-08,27.125,7.0,10.0,70.0,50.0,0.0,1.0,41.7,1.0,0.0,5.0,0.5
2015,2015-10-18,27.135,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-12-27,27.205,28.0,41.0,68.29,274.0,1.0,0.0,95.0,1.0,9.0,6.68,7.17
2015,2016-01-03,27.212,30.0,56.0,53.57,292.0,1.0,2.0,59.5,1.0,10.0,5.21,3.96
2016,2016-11-06,28.154,1.0,1.0,100.0,9.0,0.0,0.0,104.2,0.0,0.0,9.0,9.0
2016,2016-11-10,28.158,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2016,2016-12-04,28.182,1.0,3.0,33.33,5.0,0.0,0.0,42.4,0.0,0.0,1.67,1.67
2016,2017-01-01,28.21,1.0,2.0,50.0,12.0,0.0,1.0,29.2,0.0,0.0,6.0,-16.5
2017,2017-09-24,29.111,6.0,9.0,66.67,36.0,1.0,0.0,111.3,0.0,0.0,4.0,6.22
2017,2017-10-26,29.143,3.0,7.0,42.86,20.0,1.0,0.0,89.9,0.0,0.0,2.86,5.71
