Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-09-09,24.044,20.0,36.0,55.56,219.0,0.0,3.0,39.0,2.0,20.0,6.08,2.33
2012,2012-09-16,24.051,18.0,30.0,60.0,200.0,1.0,0.0,91.0,1.0,11.0,6.67,7.33
2012,2012-09-23,24.058000000000003,16.0,36.0,44.44,196.0,0.0,1.0,50.2,0.0,0.0,5.44,4.19
2012,2012-09-30,24.065,26.0,41.0,63.41,431.0,1.0,2.0,86.5,4.0,37.0,10.51,8.8
2012,2012-10-07,24.072,17.0,26.0,65.38,223.0,0.0,0.0,92.3,2.0,12.0,8.58,8.58
2012,2012-10-14,24.079,21.0,29.0,72.41,185.0,2.0,0.0,112.0,3.0,29.0,6.38,7.76
2012,2012-10-28,24.093000000000004,2.0,5.0,40.0,18.0,0.0,0.0,50.4,1.0,9.0,3.6,3.6
2012,2012-11-04,24.1,22.0,38.0,57.89,290.0,1.0,0.0,90.9,2.0,9.0,7.63,8.16
2012,2012-11-11,24.107,23.0,39.0,58.97,217.0,0.0,3.0,42.4,1.0,8.0,5.56,2.1
2012,2012-11-15,24.111,14.0,28.0,50.0,141.0,1.0,2.0,46.9,3.0,17.0,5.04,2.54
2012,2012-11-25,24.121,18.0,26.0,69.23,253.0,1.0,1.0,97.1,1.0,7.0,9.73,8.77
2012,2012-12-02,24.128,13.0,29.0,44.83,186.0,0.0,0.0,66.2,3.0,10.0,6.41,6.41
2012,2012-12-09,24.135,17.0,33.0,51.52,150.0,1.0,0.0,74.1,2.0,17.0,4.55,5.15
2012,2012-12-16,24.142,22.0,28.0,78.57,220.0,2.0,0.0,123.2,1.0,11.0,7.86,9.29
2012,2012-12-23,24.149,13.0,25.0,52.0,130.0,2.0,0.0,93.7,2.0,11.0,5.2,6.8
2012,2012-12-30,24.156,20.0,35.0,57.14,235.0,0.0,1.0,65.8,7.0,26.0,6.71,5.43
2013,2013-09-08,25.043000000000003,24.0,38.0,63.16,272.0,1.0,1.0,82.3,4.0,17.0,7.16,6.5
2013,2013-09-15,25.05,23.0,34.0,67.65,319.0,1.0,0.0,107.4,5.0,22.0,9.38,9.97
2013,2013-09-22,25.057,24.0,35.0,68.57,236.0,2.0,1.0,94.5,5.0,41.0,6.74,6.6
2013,2013-09-30,25.065,22.0,35.0,62.86,249.0,1.0,3.0,57.9,4.0,33.0,7.11,3.83
2013,2013-10-06,25.070999999999998,21.0,40.0,52.5,307.0,1.0,0.0,86.1,6.0,35.0,7.68,8.18
2013,2013-10-20,25.085,19.0,37.0,51.35,194.0,3.0,2.0,71.2,2.0,21.0,5.24,4.43
2013,2013-10-27,25.092,22.0,42.0,52.38,192.0,2.0,2.0,60.8,6.0,47.0,4.57,3.38
2013,2013-10-31,25.096,20.0,28.0,71.43,208.0,0.0,0.0,92.6,3.0,20.0,7.43,7.43
2013,2013-11-11,25.107,27.0,42.0,64.29,229.0,2.0,1.0,84.3,2.0,18.0,5.45,5.33
2013,2013-11-17,25.113000000000003,22.0,35.0,62.86,268.0,1.0,1.0,84.0,4.0,29.0,7.66,6.94
2013,2013-11-24,25.12,28.0,42.0,66.67,310.0,1.0,1.0,86.4,3.0,30.0,7.38,6.79
2013,2013-12-01,25.127,28.0,43.0,65.12,331.0,2.0,1.0,94.2,1.0,3.0,7.7,7.58
2013,2013-12-08,25.134,20.0,33.0,60.61,200.0,3.0,1.0,95.5,2.0,14.0,6.06,6.52
2013,2013-12-15,25.141,25.0,37.0,67.57,312.0,3.0,0.0,120.6,4.0,23.0,8.43,10.05
2013,2013-12-22,25.148000000000003,10.0,27.0,37.04,82.0,0.0,0.0,45.6,7.0,46.0,3.04,3.04
2013,2013-12-29,25.155,20.0,40.0,50.0,204.0,1.0,3.0,42.1,0.0,0.0,5.1,2.23
2014,2014-09-07,26.041999999999998,18.0,32.0,56.25,178.0,2.0,1.0,79.9,1.0,9.0,5.56,5.41
2014,2014-09-14,26.049,31.0,49.0,63.27,241.0,1.0,1.0,73.6,4.0,31.0,4.92,4.41
2014,2014-09-21,26.055999999999997,21.0,43.0,48.84,205.0,1.0,0.0,70.4,4.0,14.0,4.77,5.23
2014,2014-09-28,26.063000000000002,23.0,31.0,74.19,278.0,2.0,1.0,109.3,0.0,0.0,8.97,8.81
2014,2014-10-12,26.076999999999998,20.0,31.0,64.52,244.0,2.0,2.0,83.3,1.0,7.0,7.87,6.26
2014,2014-10-19,26.084,25.0,32.0,78.13,277.0,2.0,0.0,123.6,4.0,21.0,8.66,9.91
2014,2014-10-26,26.090999999999998,16.0,29.0,55.17,196.0,1.0,1.0,73.3,3.0,18.0,6.76,5.9
2014,2014-11-02,26.098000000000003,24.0,34.0,70.59,288.0,3.0,0.0,125.6,0.0,0.0,8.47,10.24
2014,2014-11-09,26.105,27.0,38.0,71.05,207.0,1.0,1.0,81.8,3.0,29.0,5.45,4.79
2014,2014-11-13,26.109,26.0,34.0,76.47,240.0,2.0,0.0,114.8,5.0,35.0,7.06,8.24
2014,2014-11-23,26.119,26.0,36.0,72.22,228.0,3.0,1.0,104.9,1.0,12.0,6.33,6.75
2014,2014-12-01,26.127,25.0,35.0,71.43,235.0,0.0,1.0,77.7,2.0,18.0,6.71,5.43
2014,2014-12-07,26.133000000000003,23.0,33.0,69.7,227.0,1.0,0.0,98.9,6.0,41.0,6.88,7.48
2014,2014-12-14,26.14,29.0,47.0,61.7,346.0,1.0,2.0,73.5,4.0,38.0,7.36,5.87
2014,2014-12-21,26.147,35.0,47.0,74.47,396.0,4.0,1.0,118.8,1.0,13.0,8.43,9.17
2014,2014-12-28,26.154,23.0,39.0,58.97,259.0,1.0,0.0,87.4,7.0,51.0,6.64,7.15
2015,2015-09-13,27.048000000000002,22.0,34.0,64.71,226.0,1.0,0.0,93.5,3.0,44.0,6.65,7.24
2015,2015-09-20,27.055,30.0,44.0,68.18,359.0,2.0,0.0,108.0,2.0,15.0,8.16,9.07
2015,2015-09-27,27.061999999999998,26.0,49.0,53.06,297.0,2.0,3.0,59.7,2.0,8.0,6.06,4.12
2015,2015-10-04,27.069000000000003,19.0,44.0,43.18,198.0,2.0,2.0,53.0,3.0,31.0,4.5,3.36
2015,2015-10-18,27.083000000000002,22.0,29.0,75.86,266.0,2.0,2.0,97.8,2.0,12.0,9.17,7.45
2015,2015-10-25,27.09,18.0,19.0,94.74,282.0,4.0,0.0,158.3,4.0,41.0,14.84,19.05
2015,2015-10-29,27.094,28.0,44.0,63.64,300.0,0.0,2.0,64.6,5.0,45.0,6.82,4.77
2015,2015-11-08,27.104,26.0,35.0,74.29,307.0,0.0,0.0,100.5,2.0,27.0,8.77,8.77
2015,2015-11-15,27.111,21.0,36.0,58.33,217.0,2.0,0.0,94.3,4.0,27.0,6.03,7.14
2015,2015-11-22,27.118000000000002,13.0,24.0,54.17,188.0,2.0,1.0,90.3,3.0,48.0,7.83,7.63
2015,2015-11-29,27.125,33.0,58.0,56.9,351.0,3.0,1.0,84.8,3.0,30.0,6.05,6.31
