Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2002,2002-11-04,24.243000000000002,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2002,2002-11-24,24.263,,,,,,,,0.0,,,
2002,2002-12-01,24.27,,,,,,,,0.0,,,
2002,2002-12-09,24.278000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2003,2003-11-09,25.248,4.0,6.0,66.67,50.0,1.0,0.0,131.9,0.0,0.0,8.33,11.67
2003,2003-11-27,25.266,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2004,2004-11-28,26.267,,,,,,,,0.0,,,
2004,2004-12-26,26.295,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2004,2005-01-02,26.302,16.0,38.0,42.11,264.0,1.0,3.0,42.0,3.0,16.0,6.95,3.92
2005,2005-10-21,27.229,1.0,1.0,100.0,77.0,1.0,0.0,158.3,0.0,0.0,77.0,97.0
2005,2005-11-20,27.259,5.0,10.0,50.0,14.0,0.0,2.0,16.7,0.0,0.0,1.4,-7.6
2005,2005-12-04,27.273000000000003,22.0,37.0,59.46,272.0,2.0,1.0,89.0,0.0,0.0,7.35,7.22
2005,2005-12-18,27.287,6.0,13.0,46.15,99.0,1.0,0.0,97.9,0.0,0.0,7.62,9.15
2006,2006-10-15,28.223000000000003,8.0,11.0,72.73,70.0,0.0,0.0,89.2,0.0,0.0,6.36,6.36
2006,2006-10-29,28.237,18.0,25.0,72.0,186.0,3.0,1.0,116.0,0.0,0.0,7.44,8.04
2006,2006-11-12,28.250999999999998,1.0,3.0,33.33,9.0,0.0,0.0,42.4,1.0,5.0,3.0,3.0
2006,2006-11-26,28.265,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-30,29.208000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-10-14,29.221999999999998,11.0,12.0,91.67,82.0,1.0,0.0,122.9,0.0,0.0,6.83,8.5
2007,2007-10-21,29.229,22.0,35.0,62.86,290.0,4.0,3.0,91.4,0.0,0.0,8.29,6.71
2007,2007-10-28,29.236,17.0,27.0,62.96,176.0,1.0,2.0,63.2,1.0,1.0,6.52,3.93
2007,2007-11-04,29.243000000000002,11.0,19.0,57.89,181.0,1.0,1.0,85.6,0.0,0.0,9.53,8.21
2007,2007-12-02,29.271,17.0,30.0,56.67,185.0,1.0,1.0,72.2,1.0,16.0,6.17,5.33
2007,2007-12-09,29.278000000000002,27.0,36.0,75.0,209.0,3.0,0.0,116.6,3.0,23.0,5.81,7.47
2007,2007-12-13,29.281999999999996,16.0,27.0,59.26,200.0,1.0,1.0,79.2,0.0,0.0,7.41,6.48
2007,2007-12-23,29.291999999999998,22.0,36.0,61.11,233.0,2.0,3.0,63.8,0.0,0.0,6.47,3.83
2007,2007-12-30,29.299,11.0,18.0,61.11,128.0,1.0,1.0,78.0,1.0,8.0,7.11,5.72
2008,2008-10-05,30.213,21.0,33.0,63.64,246.0,1.0,1.0,83.6,2.0,11.0,7.45,6.7
2008,2008-11-02,30.241,21.0,29.0,72.41,224.0,2.0,1.0,103.2,2.0,16.0,7.72,7.55
2008,2008-11-09,30.248,23.0,38.0,60.53,294.0,1.0,4.0,53.9,2.0,14.0,7.74,3.53
2008,2008-11-16,30.255,13.0,18.0,72.22,192.0,0.0,1.0,83.6,2.0,13.0,10.67,8.17
2008,2008-11-23,30.261999999999997,24.0,32.0,75.0,275.0,1.0,2.0,84.8,1.0,4.0,8.59,6.41
2008,2008-12-01,30.27,14.0,24.0,58.33,200.0,1.0,1.0,81.9,0.0,0.0,8.33,7.29
2010,2010-10-10,32.218,,,,,,,,,,,
2010,2010-10-17,32.225,,,,,,,,,,,
2010,2010-10-25,32.233000000000004,,,,,,,,,,,
2010,2010-11-07,32.246,0.0,0.0,,0.0,0.0,0.0,,,,,
2010,2010-11-14,32.253,,,,,,,,,,,
2010,2010-11-21,32.26,,,,,,,,,,,
2010,2010-11-28,32.266999999999996,,,,,,,,,,,
2010,2010-12-05,32.274,,,,,,,,,,,
2010,2010-12-13,32.282,,,,,,,,,,,
2010,2010-12-19,32.288000000000004,,,,,,,,,,,
2010,2010-12-26,32.295,,,,,,,,,,,
2010,2011-01-02,32.302,,,,,,,,,,,
