Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2010,2010-09-12,22.308000000000003,32.0,55.0,58.18,253.0,1.0,3.0,53.1,2.0,13.0,4.6,2.51
2010,2010-09-19,22.315,14.0,25.0,56.0,167.0,2.0,1.0,86.6,3.0,32.0,6.68,6.48
2010,2010-09-26,22.322,23.0,37.0,62.16,235.0,1.0,1.0,78.1,1.0,3.0,6.35,5.68
2010,2010-10-03,22.329,23.0,41.0,56.1,289.0,2.0,1.0,84.3,4.0,28.0,7.05,6.93
2010,2010-10-10,22.336,23.0,45.0,51.11,215.0,0.0,2.0,46.1,1.0,2.0,4.78,2.78
2010,2010-10-17,22.343000000000004,18.0,31.0,58.06,198.0,1.0,0.0,87.8,3.0,15.0,6.39,7.03
2010,2010-10-24,22.35,13.0,26.0,50.0,126.0,2.0,0.0,89.6,1.0,2.0,4.85,6.38
2010,2010-10-31,22.357,25.0,32.0,78.13,191.0,2.0,0.0,112.4,2.0,7.0,5.97,7.22
2010,2010-11-14,23.006,30.0,42.0,71.43,251.0,1.0,0.0,94.4,3.0,23.0,5.98,6.45
2010,2010-11-21,23.013,27.0,42.0,64.29,233.0,2.0,1.0,84.7,0.0,0.0,5.55,5.43
2010,2010-11-28,23.02,22.0,37.0,59.46,308.0,3.0,0.0,113.3,2.0,0.0,8.32,9.95
2010,2010-12-05,23.026999999999997,18.0,29.0,62.07,187.0,0.0,1.0,66.3,2.0,18.0,6.45,4.9
2010,2010-12-12,23.034000000000002,18.0,32.0,56.25,231.0,0.0,2.0,53.0,3.0,40.0,7.22,4.41
2010,2010-12-19,23.041,21.0,43.0,48.84,181.0,0.0,2.0,40.9,3.0,26.0,4.21,2.12
2010,2010-12-26,23.048000000000002,28.0,37.0,75.68,292.0,1.0,0.0,107.0,1.0,17.0,7.89,8.43
2010,2011-01-02,23.055,19.0,36.0,52.78,155.0,0.0,1.0,52.4,3.0,18.0,4.31,3.06
2011,2011-09-11,23.307,17.0,30.0,56.67,188.0,0.0,0.0,75.4,4.0,22.0,6.27,6.27
2011,2011-09-19,23.315,22.0,46.0,47.83,331.0,1.0,0.0,79.2,2.0,23.0,7.2,7.63
2011,2011-09-25,23.320999999999998,16.0,32.0,50.0,166.0,1.0,1.0,62.8,5.0,34.0,5.19,4.41
2011,2011-10-02,23.328000000000003,20.0,43.0,46.51,164.0,1.0,0.0,64.5,7.0,37.0,3.81,4.28
2011,2011-10-16,23.342,29.0,45.0,64.44,328.0,0.0,1.0,76.9,3.0,22.0,7.29,6.29
2011,2011-11-06,23.363000000000003,23.0,36.0,63.89,255.0,0.0,1.0,73.3,4.0,22.0,7.08,5.83
2011,2011-11-13,24.005,15.0,25.0,60.0,155.0,1.0,1.0,74.6,1.0,7.0,6.2,5.2
2011,2011-11-20,24.011999999999997,20.0,40.0,50.0,181.0,1.0,1.0,60.5,5.0,38.0,4.53,3.9
2011,2011-11-27,24.019000000000002,17.0,31.0,54.84,203.0,1.0,0.0,85.8,2.0,17.0,6.55,7.19
2011,2011-12-12,24.034000000000002,12.0,29.0,41.38,193.0,0.0,1.0,49.9,3.0,26.0,6.66,5.1
2012,2012-09-09,24.305999999999997,17.0,25.0,68.0,198.0,1.0,0.0,105.1,4.0,25.0,7.92,8.72
2012,2012-09-16,24.313000000000002,26.0,35.0,74.29,310.0,3.0,1.0,117.6,2.0,9.0,8.86,9.29
2012,2012-09-23,24.32,18.0,35.0,51.43,152.0,0.0,2.0,39.2,6.0,51.0,4.34,1.77
2012,2012-09-30,24.326999999999998,16.0,30.0,53.33,221.0,0.0,1.0,63.3,2.0,12.0,7.37,5.87
2012,2012-10-04,24.331,7.0,21.0,33.33,141.0,2.0,1.0,69.7,1.0,10.0,6.71,6.48
2012,2012-10-14,24.340999999999998,26.0,39.0,66.67,315.0,0.0,0.0,91.3,3.0,15.0,8.08,8.08
2012,2012-10-21,24.348000000000003,21.0,34.0,61.76,255.0,1.0,1.0,82.4,3.0,9.0,7.5,6.76
2012,2012-10-28,24.355,22.0,30.0,73.33,205.0,1.0,1.0,88.9,2.0,25.0,6.83,6.0
2012,2012-11-11,25.003,26.0,39.0,66.67,275.0,2.0,0.0,104.1,2.0,16.0,7.05,8.08
2012,2012-11-18,25.01,23.0,44.0,52.27,170.0,2.0,1.0,67.4,1.0,3.0,3.86,3.75
2012,2012-11-25,25.017,8.0,17.0,47.06,205.0,2.0,1.0,106.2,2.0,11.0,12.06,11.76
2012,2012-12-02,25.024,26.0,39.0,66.67,221.0,0.0,0.0,81.2,2.0,13.0,5.67,5.67
2012,2012-12-09,25.031,19.0,39.0,48.72,209.0,1.0,1.0,62.9,1.0,2.0,5.36,4.72
2012,2012-12-16,25.038,35.0,55.0,63.64,377.0,3.0,1.0,94.3,4.0,32.0,6.85,7.13
2012,2012-12-23,25.045,13.0,27.0,48.15,196.0,2.0,1.0,81.7,0.0,0.0,7.26,7.07
2012,2012-12-30,25.052,25.0,42.0,59.52,252.0,1.0,1.0,74.7,0.0,0.0,6.0,5.4
2013,2013-09-08,25.304000000000002,27.0,38.0,71.05,299.0,2.0,1.0,100.7,0.0,0.0,7.87,7.74
2013,2013-09-15,25.311,32.0,55.0,58.18,352.0,3.0,1.0,87.8,0.0,0.0,6.4,6.67
2013,2013-09-22,25.318,29.0,48.0,60.42,240.0,1.0,0.0,80.2,6.0,43.0,5.0,5.42
2013,2013-09-26,25.322,19.0,41.0,46.34,202.0,1.0,1.0,59.2,5.0,32.0,4.93,4.32
2013,2013-10-06,25.331999999999997,19.0,34.0,55.88,222.0,3.0,0.0,105.3,2.0,14.0,6.53,8.29
2013,2013-10-13,25.339000000000002,12.0,16.0,75.0,117.0,3.0,0.0,134.6,0.0,0.0,7.31,11.06
2013,2013-10-20,25.346,21.0,30.0,70.0,255.0,1.0,1.0,93.1,2.0,8.0,8.5,7.67
2015,2015-09-14,27.31,36.0,52.0,69.23,336.0,1.0,2.0,77.1,0.0,0.0,6.46,5.12
2015,2015-09-20,27.316,23.0,37.0,62.16,224.0,1.0,2.0,65.6,1.0,5.0,6.05,4.16
2015,2015-09-27,27.323,14.0,28.0,50.0,118.0,1.0,0.0,73.2,1.0,10.0,4.21,4.93
2015,2015-10-04,27.33,15.0,28.0,53.57,270.0,3.0,0.0,122.6,5.0,37.0,9.64,11.79
2015,2015-10-11,27.337,32.0,45.0,71.11,333.0,2.0,2.0,88.5,0.0,0.0,7.4,6.29
2015,2015-10-19,27.345,24.0,38.0,63.16,280.0,1.0,3.0,61.3,1.0,10.0,7.37,4.34
2015,2015-10-25,27.351,26.0,46.0,56.52,205.0,0.0,1.0,58.7,5.0,33.0,4.46,3.48
2015,2015-11-08,28.0,25.0,36.0,69.44,295.0,1.0,0.0,103.4,1.0,8.0,8.19,8.75
2015,2015-11-15,28.006999999999998,19.0,25.0,76.0,236.0,1.0,0.0,118.1,4.0,39.0,9.44,10.24
2015,2015-12-06,28.028000000000002,14.0,24.0,58.33,120.0,2.0,0.0,99.3,1.0,0.0,5.0,6.67
2015,2015-12-13,28.035,23.0,38.0,60.53,247.0,1.0,1.0,77.4,1.0,15.0,6.5,5.84
2015,2015-12-20,28.041999999999998,28.0,41.0,68.29,361.0,2.0,2.0,91.6,2.0,11.0,8.8,7.59
2015,2015-12-26,28.048000000000002,37.0,56.0,66.07,380.0,1.0,0.0,91.4,5.0,27.0,6.79,7.14
2015,2016-01-03,28.055999999999997,30.0,38.0,78.95,320.0,2.0,1.0,108.3,1.0,5.0,8.42,8.29
2016,2016-09-18,28.315,22.0,31.0,70.97,286.0,2.0,0.0,121.2,4.0,32.0,9.23,10.52
2016,2016-09-25,28.322,18.0,28.0,64.29,171.0,1.0,0.0,93.0,2.0,18.0,6.11,6.82
2016,2016-10-03,28.33,26.0,36.0,72.22,262.0,1.0,0.0,101.9,0.0,0.0,7.28,7.83
2016,2016-10-09,28.336,22.0,30.0,73.33,271.0,2.0,0.0,123.1,2.0,16.0,9.03,10.37
2016,2016-10-23,28.35,24.0,41.0,58.54,224.0,1.0,1.0,71.6,6.0,35.0,5.46,4.85
2016,2016-10-31,28.358,23.0,37.0,62.16,228.0,1.0,0.0,88.6,5.0,27.0,6.16,6.7
2016,2016-11-06,28.364,31.0,40.0,77.5,273.0,1.0,0.0,103.4,2.0,14.0,6.83,7.33
2016,2016-11-13,29.005,31.0,40.0,77.5,307.0,2.0,1.0,104.9,3.0,23.0,7.68,7.55
