Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2018,2018-09-10,21.096999999999998,16.0,21.0,76.19,198.0,2.0,1.0,116.8,2.0,18.0,9.43,9.19
2018,2018-09-16,21.103,25.0,41.0,60.98,334.0,1.0,2.0,74.6,3.0,14.0,8.15,6.44
2018,2018-09-20,21.107,15.0,31.0,48.39,169.0,0.0,2.0,38.2,2.0,8.0,5.45,2.55
2018,2018-09-30,21.116999999999997,17.0,34.0,50.0,167.0,1.0,0.0,74.0,3.0,23.0,4.91,5.5
2018,2018-10-07,21.124000000000002,10.0,22.0,45.45,198.0,3.0,1.0,98.1,1.0,9.0,9.0,9.68
2018,2018-10-14,21.131,24.0,30.0,80.0,280.0,2.0,1.0,113.9,2.0,13.0,9.33,9.17
2018,2018-10-21,21.138,17.0,42.0,40.48,206.0,1.0,3.0,34.4,3.0,14.0,4.9,2.17
2018,2018-10-28,21.145,14.0,29.0,48.28,153.0,1.0,0.0,75.8,1.0,3.0,5.28,5.97
2018,2018-11-04,21.151999999999997,21.0,39.0,53.85,229.0,0.0,4.0,31.8,4.0,27.0,5.87,1.26
2018,2018-12-09,21.186999999999998,16.0,24.0,66.67,170.0,1.0,1.0,83.7,0.0,0.0,7.08,6.04
2018,2018-12-15,21.193,24.0,38.0,63.16,253.0,2.0,0.0,100.0,3.0,25.0,6.66,7.71
2018,2018-12-23,21.201,24.0,35.0,68.57,341.0,3.0,0.0,128.4,2.0,18.0,9.74,11.46
2018,2018-12-30,21.208000000000002,16.0,28.0,57.14,167.0,0.0,0.0,74.6,4.0,32.0,5.96,5.96
2019,2019-09-08,22.095,28.0,41.0,68.29,175.0,1.0,0.0,84.9,4.0,20.0,4.27,4.76
2019,2019-10-13,22.13,23.0,32.0,71.88,338.0,2.0,1.0,113.8,2.0,12.0,10.56,10.41
2019,2019-10-21,22.138,11.0,32.0,34.38,86.0,0.0,4.0,3.6,1.0,13.0,2.69,-2.94
2019,2019-10-27,22.144000000000002,21.0,30.0,70.0,218.0,2.0,3.0,73.3,8.0,51.0,7.27,4.1
2019,2019-11-03,22.151,27.0,39.0,69.23,260.0,1.0,1.0,85.4,3.0,22.0,6.67,6.03
2019,2019-11-10,22.158,19.0,30.0,63.33,230.0,1.0,0.0,97.9,2.0,12.0,7.67,8.33
2019,2019-11-17,22.165,19.0,30.0,63.33,293.0,4.0,1.0,121.3,2.0,8.0,9.77,10.93
2019,2019-11-24,22.171999999999997,20.0,29.0,68.97,315.0,2.0,0.0,127.8,1.0,2.0,10.86,12.24
2019,2019-12-01,22.179000000000002,28.0,48.0,58.33,239.0,0.0,0.0,71.4,4.0,30.0,4.98,4.98
2019,2019-12-08,22.186,20.0,36.0,55.56,270.0,2.0,1.0,86.6,1.0,8.0,7.5,7.36
2019,2019-12-12,22.19,18.0,32.0,56.25,218.0,2.0,1.0,85.2,1.0,11.0,6.81,6.66
2019,2019-12-22,22.2,16.0,26.0,61.54,183.0,1.0,0.0,95.5,2.0,9.0,7.04,7.81
2019,2019-12-29,22.206999999999997,23.0,36.0,63.89,199.0,1.0,1.0,76.0,2.0,14.0,5.53,4.83
2020,2020-09-13,23.1,21.0,35.0,60.0,215.0,1.0,1.0,75.3,3.0,13.0,6.14,5.43
2020,2020-09-20,23.107,21.0,32.0,65.63,179.0,1.0,0.0,90.5,1.0,6.0,5.59,6.22
2020,2020-09-27,23.114,17.0,29.0,58.62,168.0,1.0,3.0,47.0,2.0,17.0,5.79,1.83
2020,2020-10-01,23.118000000000002,23.0,42.0,54.76,230.0,0.0,0.0,70.5,6.0,54.0,5.48,5.48
2020,2020-10-25,23.142,12.0,23.0,52.17,120.0,0.0,2.0,31.1,6.0,29.0,5.22,1.3
2020,2020-11-01,23.149,18.0,30.0,60.0,133.0,0.0,0.0,70.6,1.0,5.0,4.43,4.43
2020,2020-11-29,23.177,16.0,27.0,59.26,197.0,0.0,2.0,51.0,3.0,24.0,7.3,3.96
2020,2020-12-06,23.184,14.0,23.0,60.87,186.0,2.0,1.0,97.4,3.0,16.0,8.09,7.87
2020,2020-12-13,23.191,14.0,26.0,53.85,132.0,0.0,0.0,68.1,3.0,16.0,5.08,5.08
2020,2020-12-20,23.198,22.0,31.0,70.97,207.0,1.0,0.0,99.8,2.0,11.0,6.68,7.32
2020,2020-12-27,23.205,16.0,32.0,50.0,175.0,2.0,0.0,87.4,2.0,16.0,5.47,6.72
