Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-09-07,23.166999999999998,,,,,,,,,,,
1980,1980-09-14,23.174,,,,,,,,,,,
1980,1980-09-22,23.182,,,,,,,,,,,
1980,1980-09-28,23.188000000000002,6.0,14.0,42.86,72.0,1.0,0.0,83.0,,,5.14,6.57
1980,1980-10-05,23.195,9.0,19.0,47.37,92.0,0.0,2.0,22.1,3.0,24.0,4.84,0.11
1980,1980-10-12,23.201999999999998,,,,,,,,,,,
1980,1980-10-19,23.209,1.0,2.0,50.0,4.0,0.0,0.0,56.2,,,2.0,2.0
1980,1980-10-26,23.215999999999998,,,,,,,,,,,
1980,1980-11-02,23.223000000000003,,,,,,,,,,,
1980,1980-11-09,23.23,,,,,,,,,,,
1980,1980-11-16,23.237,,,,,,,,,,,
1980,1980-11-23,23.244,,,,,,,,,,,
1980,1980-11-30,23.250999999999998,,,,,,,,,,,
1980,1980-12-07,23.258000000000003,8.0,18.0,44.44,161.0,2.0,1.0,90.3,,,8.94,8.67
1980,1980-12-13,23.264,11.0,27.0,40.74,131.0,0.0,2.0,25.4,3.0,21.0,4.85,1.52
1980,1980-12-21,23.272,17.0,32.0,53.13,150.0,1.0,1.0,63.3,4.0,31.0,4.69,3.91
1981,1981-09-06,24.166,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-13,24.173000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-20,24.18,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-09-27,24.186999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-04,24.194000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-11,24.201,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-18,24.208000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-10-25,24.215,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-01,24.221999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-11-08,24.229,23.0,46.0,50.0,251.0,3.0,4.0,52.0,2.0,18.0,5.46,2.85
1981,1981-11-15,24.236,3.0,7.0,42.86,68.0,1.0,0.0,117.9,0.0,0.0,9.71,12.57
1981,1981-11-22,24.243000000000002,10.0,27.0,37.04,181.0,0.0,2.0,30.0,1.0,9.0,6.7,3.37
1981,1981-11-29,24.25,13.0,34.0,38.24,162.0,0.0,3.0,17.0,2.0,19.0,4.76,0.79
1981,1981-12-06,24.256999999999998,5.0,22.0,22.73,67.0,0.0,0.0,39.8,2.0,7.0,3.05,3.05
1981,1981-12-13,24.264,12.0,24.0,50.0,86.0,0.0,1.0,41.3,1.0,9.0,3.58,1.71
1981,1981-12-19,24.27,13.0,27.0,48.15,163.0,1.0,1.0,64.3,1.0,5.0,6.04,5.11
1982,1982-09-12,25.171999999999997,25.0,41.0,60.98,310.0,2.0,1.0,90.5,1.0,8.0,7.56,7.44
1982,1982-09-20,25.18,15.0,33.0,45.45,191.0,0.0,2.0,38.8,0.0,0.0,5.79,3.06
1982,1982-11-21,25.241999999999997,14.0,28.0,50.0,169.0,1.0,1.0,65.9,3.0,18.0,6.04,5.14
1982,1982-11-25,25.246,12.0,28.0,42.86,136.0,0.0,2.0,28.3,2.0,18.0,4.86,1.64
1982,1982-12-05,25.256,18.0,30.0,60.0,289.0,1.0,0.0,103.3,0.0,0.0,9.63,10.3
1982,1982-12-11,25.261999999999997,17.0,26.0,65.38,272.0,2.0,0.0,125.8,4.0,22.0,10.46,12.0
1982,1982-12-19,25.27,10.0,26.0,38.46,128.0,1.0,0.0,67.5,5.0,44.0,4.92,5.69
1982,1982-12-26,25.276999999999997,29.0,51.0,56.86,326.0,2.0,0.0,89.2,1.0,10.0,6.39,7.18
1982,1983-01-02,25.284000000000002,21.0,35.0,60.0,196.0,1.0,3.0,49.2,1.0,10.0,5.6,2.31
1983,1983-09-04,26.164,16.0,35.0,45.71,183.0,0.0,3.0,26.3,5.0,46.0,5.23,1.37
1983,1983-09-11,26.171,18.0,30.0,60.0,194.0,1.0,1.0,76.3,1.0,7.0,6.47,5.63
1983,1983-09-18,26.178,10.0,19.0,52.63,172.0,0.0,2.0,44.1,2.0,13.0,9.05,4.32
1983,1983-09-26,26.186,8.0,19.0,42.11,108.0,1.0,0.0,78.4,2.0,4.0,5.68,6.74
1983,1983-10-02,26.191999999999997,31.0,51.0,60.78,395.0,3.0,1.0,96.4,1.0,8.0,7.75,8.04
1983,1983-10-09,26.199,13.0,26.0,50.0,208.0,0.0,1.0,61.1,1.0,8.0,8.0,6.27
1983,1983-10-16,26.206,18.0,37.0,48.65,263.0,1.0,3.0,47.5,3.0,17.0,7.11,4.0
1983,1983-10-24,26.214000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
