Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1984,1984-10-28,22.195999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1984,1984-11-04,22.203000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
1984,1984-11-19,22.218000000000004,6.0,9.0,66.67,83.0,1.0,0.0,133.1,0.0,0.0,9.22,11.44
1984,1984-11-25,22.224,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-12-09,22.238000000000003,2.0,4.0,50.0,26.0,0.0,0.0,70.8,0.0,0.0,6.5,6.5
1985,1985-09-08,23.146,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-16,23.154,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-22,23.16,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-30,23.168000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-06,23.174,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-13,23.180999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-20,23.188000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-27,23.195,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-03,23.201999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-10,23.209,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-17,23.215999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-24,23.223000000000003,15.0,35.0,42.86,224.0,2.0,3.0,47.8,3.0,18.0,6.4,3.69
1985,1985-12-01,23.23,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-12-08,23.237,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-12-15,23.244,18.0,38.0,47.37,275.0,1.0,2.0,58.6,4.0,32.0,7.24,5.39
1985,1985-12-21,23.25,10.0,23.0,43.48,113.0,1.0,1.0,55.2,3.0,10.0,4.91,3.83
1986,1986-09-07,24.145,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1986,1986-09-15,24.153000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-09-21,24.159000000000002,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,5.0,0.0,0.0
1986,1986-11-23,24.221999999999998,1.0,3.0,33.33,7.0,0.0,0.0,42.4,1.0,9.0,2.33,2.33
1987,1987-09-13,25.151,6.0,11.0,54.55,77.0,1.0,0.0,107.0,1.0,13.0,7.0,8.82
1987,1987-09-20,25.158,17.0,34.0,50.0,271.0,2.0,1.0,84.3,1.0,2.0,7.97,7.82
1987,1987-10-25,25.193,14.0,26.0,53.85,187.0,3.0,1.0,99.4,1.0,4.0,7.19,7.77
1987,1987-11-01,25.2,14.0,29.0,48.28,156.0,0.0,5.0,25.1,4.0,28.0,5.38,-2.38
1987,1987-11-08,25.206999999999997,15.0,22.0,68.18,169.0,0.0,1.0,72.0,7.0,43.0,7.68,5.64
1987,1987-11-15,25.214000000000002,12.0,21.0,57.14,167.0,1.0,1.0,78.9,3.0,21.0,7.95,6.76
1987,1987-11-22,25.221,19.0,35.0,54.29,212.0,1.0,1.0,70.2,3.0,18.0,6.06,5.34
1987,1987-11-29,25.228,15.0,39.0,38.46,181.0,2.0,1.0,59.9,3.0,34.0,4.64,4.51
1987,1987-12-06,25.235,17.0,30.0,56.67,253.0,1.0,2.0,67.8,0.0,0.0,8.43,6.1
1987,1987-12-13,25.241999999999997,7.0,13.0,53.85,55.0,0.0,1.0,32.5,2.0,15.0,4.23,0.77
1987,1987-12-20,25.249000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-12-27,25.256,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-01,27.169,,,,,,,,,,,
1990,1990-10-14,28.182,9.0,16.0,56.25,98.0,1.0,0.0,95.3,1.0,3.0,6.13,7.38
1990,1990-10-21,28.189,4.0,9.0,44.44,97.0,1.0,1.0,81.5,2.0,22.0,10.78,8.0
1990,1990-10-28,28.195999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-11-18,28.217,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1990,1990-12-02,28.230999999999998,7.0,9.0,77.78,93.0,0.0,0.0,109.7,0.0,0.0,10.33,10.33
1990,1990-12-09,28.238000000000003,13.0,30.0,43.33,198.0,1.0,3.0,37.2,3.0,13.0,6.6,2.77
1990,1990-12-16,28.245,3.0,9.0,33.33,41.0,0.0,0.0,48.8,3.0,17.0,4.56,4.56
