Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1991,1991-09-01,23.241999999999997,,,,,,,,,,,
1991,1991-09-08,23.249000000000002,,,,,,,,,,,
1992,1992-09-14,24.256,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-20,24.261999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-27,24.269000000000002,1.0,1.0,100.0,18.0,0.0,0.0,118.7,0.0,0.0,18.0,18.0
1992,1992-10-04,24.276,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-11,24.283,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-18,24.29,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
1992,1992-10-25,24.296999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-01,24.304000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-08,24.311,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-16,24.319000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-22,24.325,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-29,24.331999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-06,24.339000000000002,1.0,5.0,20.0,14.0,0.0,0.0,39.6,0.0,0.0,2.8,2.8
1992,1992-12-14,24.346999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-20,24.353,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-27,24.36,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-09-05,25.246,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-09-12,25.253,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-09-26,25.267,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-10-04,25.275,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-10-10,25.281,10.0,16.0,62.5,118.0,2.0,1.0,98.4,0.0,0.0,7.38,7.06
1993,1993-10-24,25.295,12.0,19.0,63.16,190.0,1.0,0.0,113.9,1.0,6.0,10.0,11.05
1993,1993-10-31,25.302,22.0,33.0,66.67,344.0,3.0,0.0,131.4,0.0,0.0,10.42,12.24
1993,1993-11-07,25.309,23.0,44.0,52.27,297.0,1.0,1.0,71.9,1.0,8.0,6.75,6.18
1993,1993-11-14,25.316,8.0,17.0,47.06,150.0,1.0,1.0,73.2,1.0,6.0,8.82,7.35
1993,1993-12-13,25.345,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-12-19,25.351,12.0,24.0,50.0,155.0,2.0,2.0,63.7,0.0,0.0,6.46,4.38
1993,1993-12-27,25.359,24.0,40.0,60.0,260.0,1.0,3.0,56.2,0.0,0.0,6.5,3.63
1993,1994-01-02,26.0,22.0,40.0,55.0,259.0,1.0,0.0,83.2,4.0,29.0,6.48,6.98
1994,1994-09-04,26.245,16.0,31.0,51.61,203.0,3.0,1.0,91.2,0.0,0.0,6.55,7.03
1994,1994-09-11,26.252,18.0,40.0,45.0,212.0,0.0,1.0,51.2,6.0,37.0,5.3,4.18
1994,1994-09-19,26.26,13.0,27.0,48.15,174.0,2.0,0.0,93.7,1.0,1.0,6.44,7.93
1994,1994-09-25,26.266,14.0,29.0,48.28,189.0,0.0,2.0,40.7,1.0,6.0,6.52,3.41
1994,1994-10-02,26.273000000000003,13.0,30.0,43.33,130.0,0.0,0.0,56.2,1.0,5.0,4.33,4.33
1994,1994-10-09,26.28,18.0,27.0,66.67,246.0,2.0,1.0,104.9,2.0,4.0,9.11,8.93
1994,1994-10-23,26.294,6.0,17.0,35.29,59.0,1.0,1.0,41.1,1.0,10.0,3.47,2.0
1994,1994-10-30,26.301,16.0,30.0,53.33,180.0,2.0,3.0,54.2,0.0,0.0,6.0,2.83
1994,1994-11-06,26.308000000000003,5.0,15.0,33.33,63.0,0.0,2.0,7.8,0.0,0.0,4.2,-1.8
1995,1995-09-03,27.244,18.0,32.0,56.25,195.0,2.0,1.0,82.2,2.0,15.0,6.09,5.94
1995,1995-09-10,27.250999999999998,27.0,47.0,57.45,279.0,1.0,1.0,72.9,4.0,7.0,5.94,5.4
1995,1995-09-17,27.258000000000003,17.0,26.0,65.38,217.0,1.0,0.0,104.2,2.0,19.0,8.35,9.12
1995,1995-09-25,27.266,28.0,42.0,66.67,291.0,1.0,0.0,94.4,3.0,5.0,6.93,7.4
1995,1995-10-08,27.279,24.0,38.0,63.16,273.0,2.0,1.0,91.2,3.0,5.0,7.18,7.05
1995,1995-10-15,27.285999999999998,17.0,41.0,41.46,205.0,3.0,1.0,71.7,0.0,0.0,5.0,5.37
1995,1995-10-22,27.293000000000003,30.0,50.0,60.0,327.0,3.0,1.0,91.0,2.0,5.0,6.54,6.84
1995,1995-10-29,27.3,15.0,23.0,65.22,249.0,3.0,0.0,141.1,2.0,11.0,10.83,13.43
1995,1995-11-05,27.307,23.0,50.0,46.0,321.0,2.0,2.0,63.8,1.0,7.0,6.42,5.42
1995,1995-11-12,27.314,21.0,34.0,61.76,260.0,1.0,0.0,95.2,1.0,6.0,7.65,8.24
1995,1995-11-19,27.320999999999998,9.0,12.0,75.0,123.0,0.0,1.0,72.6,0.0,0.0,10.25,6.5
1995,1995-11-23,27.325,30.0,45.0,66.67,410.0,4.0,1.0,116.0,3.0,15.0,9.11,9.89
1995,1995-12-04,27.336,26.0,38.0,68.42,320.0,3.0,0.0,120.5,1.0,10.0,8.42,10.0
1995,1995-12-10,27.342,16.0,36.0,44.44,283.0,2.0,2.0,67.2,3.0,20.0,7.86,6.47
1995,1995-12-17,27.349,19.0,28.0,67.86,233.0,2.0,0.0,117.1,2.0,3.0,8.32,9.75
1995,1995-12-23,27.355,26.0,41.0,63.41,352.0,2.0,1.0,96.8,2.0,17.0,8.59,8.46
1996,1996-09-01,28.243000000000002,20.0,41.0,48.78,260.0,1.0,4.0,37.7,3.0,8.0,6.34,2.44
1996,1996-09-08,28.25,14.0,27.0,51.85,131.0,1.0,0.0,77.9,3.0,17.0,4.85,5.59
1996,1996-09-15,28.256999999999998,14.0,26.0,53.85,177.0,0.0,1.0,59.3,1.0,4.0,6.81,5.08
1996,1996-09-22,28.264,24.0,34.0,70.59,336.0,4.0,1.0,129.0,4.0,27.0,9.88,10.91
1996,1996-09-29,28.271,21.0,32.0,65.63,230.0,2.0,0.0,107.6,3.0,17.0,7.19,8.44
1996,1996-10-06,28.278000000000002,20.0,37.0,54.05,276.0,3.0,0.0,105.2,2.0,14.0,7.46,9.08
1996,1996-10-13,28.285,31.0,50.0,62.0,343.0,3.0,2.0,85.7,2.0,10.0,6.86,6.26
1996,1996-10-27,28.299,9.0,19.0,47.37,71.0,0.0,3.0,17.5,1.0,5.0,3.74,-3.37
1996,1996-11-11,28.314,5.0,9.0,55.56,49.0,0.0,0.0,71.1,2.0,7.0,5.44,5.44
1996,1996-11-24,28.326999999999998,18.0,35.0,51.43,230.0,0.0,3.0,36.6,3.0,22.0,6.57,2.71
1996,1996-11-28,28.331,18.0,29.0,62.07,247.0,1.0,2.0,72.1,2.0,10.0,8.52,6.1
1996,1996-12-08,28.340999999999998,21.0,31.0,67.74,250.0,1.0,0.0,102.9,3.0,15.0,8.06,8.71
1996,1996-12-15,28.348000000000003,23.0,40.0,57.5,207.0,0.0,1.0,61.1,4.0,21.0,5.18,4.05
1996,1996-12-23,28.355999999999998,15.0,27.0,55.56,110.0,1.0,0.0,77.7,3.0,22.0,4.07,4.81
1997,1997-08-31,29.241,12.0,30.0,40.0,205.0,2.0,1.0,72.2,4.0,30.0,6.83,6.67
1997,1997-09-07,29.248,29.0,50.0,58.0,331.0,2.0,1.0,83.0,2.0,9.0,6.62,6.52
1997,1997-09-14,29.255,16.0,25.0,64.0,215.0,2.0,0.0,117.9,1.0,13.0,8.6,10.2
1997,1997-09-21,29.261999999999997,24.0,43.0,55.81,253.0,2.0,3.0,59.5,5.0,16.0,5.88,3.67
1997,1997-09-28,29.269000000000002,17.0,27.0,62.96,215.0,1.0,0.0,100.1,2.0,12.0,7.96,8.7
1997,1997-10-05,29.276,20.0,38.0,52.63,221.0,0.0,1.0,59.2,4.0,32.0,5.82,4.63
1997,1997-10-12,29.283,16.0,20.0,80.0,222.0,1.0,0.0,129.6,4.0,34.0,11.1,12.1
1997,1997-10-19,29.29,19.0,32.0,59.38,243.0,1.0,0.0,93.6,3.0,17.0,7.59,8.22
