Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2005-09-25,25.05,1.0,1.0,100.0,42.0,0.0,0.0,118.7,0.0,0.0,42.0,42.0
2005,2005-10-16,25.070999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-11-27,25.113000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-12-05,25.121,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2005,2005-12-11,25.127,3.0,5.0,60.0,33.0,0.0,0.0,79.6,0.0,0.0,6.6,6.6
2005,2005-12-24,25.14,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2006-01-01,25.148000000000003,9.0,17.0,52.94,98.0,1.0,1.0,65.3,3.0,20.0,5.76,4.29
2006,2006-09-10,26.035,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2006,2006-10-01,26.055999999999997,1.0,2.0,50.0,6.0,0.0,0.0,56.2,0.0,0.0,3.0,3.0
2006,2006-10-22,26.076999999999998,14.0,25.0,56.0,134.0,0.0,2.0,37.7,2.0,9.0,5.36,1.76
2006,2006-10-29,26.084,15.0,30.0,50.0,198.0,3.0,2.0,76.8,2.0,8.0,6.6,5.6
2006,2006-11-06,26.092,18.0,30.0,60.0,176.0,1.0,0.0,87.6,3.0,12.0,5.87,6.53
2006,2006-11-12,26.098000000000003,15.0,23.0,65.22,161.0,2.0,0.0,114.6,5.0,35.0,7.0,8.74
2006,2006-11-19,26.105,19.0,31.0,61.29,252.0,2.0,3.0,69.0,2.0,19.0,8.13,5.06
2006,2006-12-14,26.13,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-24,26.14,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-30,27.055,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2007,2007-10-07,27.061999999999998,1.0,3.0,33.33,6.0,0.0,0.0,42.4,1.0,5.0,2.0,2.0
2007,2007-10-14,27.069000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-10-21,27.076,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-12,27.098000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-18,27.104,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-09,27.125,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-16,27.131999999999998,,,,,,,,0.0,,,
2007,2007-12-23,27.139,1.0,2.0,50.0,3.0,0.0,0.0,56.2,0.0,0.0,1.5,1.5
2007,2007-12-30,27.146,17.0,22.0,77.27,206.0,2.0,1.0,116.9,2.0,8.0,9.36,9.14
2008,2008-09-07,28.031999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2008,2008-10-05,28.06,3.0,6.0,50.0,20.0,0.0,0.0,57.6,1.0,9.0,3.33,3.33
2008,2008-10-19,28.074,12.0,23.0,52.17,73.0,1.0,1.0,55.2,0.0,0.0,3.17,2.09
2008,2008-10-26,28.081,15.0,25.0,60.0,222.0,2.0,0.0,115.7,1.0,0.0,8.88,10.48
2008,2008-11-02,28.088,13.0,29.0,44.83,169.0,1.0,0.0,75.2,4.0,22.0,5.83,6.52
2008,2008-11-09,28.095,21.0,38.0,55.26,185.0,1.0,0.0,77.2,3.0,13.0,4.87,5.39
2008,2008-12-07,28.123,20.0,28.0,71.43,212.0,3.0,0.0,128.9,1.0,7.0,7.57,9.71
2008,2008-12-14,28.13,15.0,25.0,60.0,226.0,0.0,0.0,89.7,3.0,18.0,9.04,9.04
2008,2008-12-21,28.136999999999997,18.0,25.0,72.0,175.0,1.0,0.0,104.6,0.0,0.0,7.0,7.8
2008,2008-12-28,28.144000000000002,24.0,43.0,55.81,250.0,2.0,2.0,68.9,1.0,7.0,5.81,4.65
2009,2009-09-13,29.038,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-09-20,29.045,15.0,23.0,65.22,127.0,1.0,1.0,75.8,0.0,0.0,5.52,4.43
2009,2009-09-27,29.052,26.0,44.0,59.09,261.0,1.0,1.0,74.1,3.0,18.0,5.93,5.36
2009,2009-10-04,29.059,33.0,45.0,73.33,257.0,1.0,0.0,94.4,5.0,27.0,5.71,6.16
2009,2009-10-11,29.066,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-11-01,29.087,,,,,,,,0.0,,,
2009,2009-11-08,29.094,1.0,1.0,100.0,15.0,0.0,0.0,118.7,0.0,0.0,15.0,15.0
2009,2009-11-15,29.101,1.0,1.0,100.0,16.0,0.0,0.0,118.7,0.0,0.0,16.0,16.0
2009,2009-11-22,29.108,0.0,3.0,0.0,0.0,0.0,0.0,39.6,1.0,14.0,0.0,0.0
2009,2009-11-29,29.115,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-12-06,29.122,1.0,1.0,100.0,7.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
2009,2009-12-13,29.129,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2009,2010-01-03,29.15,1.0,1.0,100.0,17.0,0.0,0.0,118.7,0.0,0.0,17.0,17.0
2010,2010-09-12,30.037,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-09-19,30.044,16.0,31.0,51.61,229.0,1.0,1.0,73.2,1.0,3.0,7.39,6.58
2010,2010-09-26,30.051,18.0,24.0,75.0,141.0,1.0,0.0,103.0,2.0,10.0,5.88,6.71
2010,2010-10-03,30.058000000000003,18.0,30.0,60.0,184.0,1.0,1.0,74.9,1.0,5.0,6.13,5.3
2010,2010-10-10,30.065,11.0,15.0,73.33,139.0,1.0,0.0,124.0,2.0,15.0,9.27,10.6
2010,2010-12-12,30.128,,,,,,,,0.0,,,
2010,2010-12-26,30.142,,,,,,,,0.0,,,
2010,2011-01-02,30.149,1.0,1.0,100.0,1.0,0.0,0.0,79.2,0.0,0.0,1.0,1.0
