Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1996,1996-12-08,26.19,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-12-22,26.204,13.0,17.0,76.47,158.0,1.0,0.0,124.1,1.0,3.0,9.29,10.47
1999,1999-09-12,29.103,25.0,38.0,65.79,245.0,2.0,0.0,101.3,1.0,15.0,6.45,7.5
1999,1999-09-19,29.11,22.0,42.0,52.38,212.0,0.0,0.0,66.8,3.0,20.0,5.05,5.05
1999,1999-09-26,29.116999999999997,20.0,30.0,66.67,178.0,2.0,1.0,90.7,2.0,11.0,5.93,5.77
1999,1999-10-03,29.124000000000002,25.0,39.0,64.1,224.0,2.0,2.0,75.2,3.0,12.0,5.74,4.46
1999,1999-10-10,29.131,19.0,28.0,67.86,184.0,2.0,0.0,109.8,0.0,0.0,6.57,8.0
1999,1999-10-31,29.151999999999997,13.0,23.0,56.52,113.0,0.0,1.0,51.5,1.0,1.0,4.91,2.96
1999,1999-12-05,29.186999999999998,20.0,36.0,55.56,223.0,0.0,1.0,62.6,3.0,20.0,6.19,4.94
1999,1999-12-26,29.208000000000002,23.0,39.0,58.97,266.0,2.0,1.0,86.1,0.0,0.0,6.82,6.69
2000,2000-11-12,30.164,11.0,24.0,45.83,106.0,0.0,3.0,19.1,1.0,8.0,4.42,-1.21
2000,2000-11-19,30.171,20.0,34.0,58.82,165.0,0.0,1.0,59.1,1.0,5.0,4.85,3.53
2000,2000-11-26,30.178,13.0,32.0,40.63,98.0,1.0,0.0,59.1,0.0,0.0,3.06,3.69
2000,2000-12-03,30.185,22.0,43.0,51.16,233.0,0.0,2.0,47.9,1.0,7.0,5.42,3.33
2000,2000-12-10,30.191999999999997,22.0,27.0,81.48,239.0,2.0,0.0,128.2,1.0,2.0,8.85,10.33
2000,2000-12-24,30.206,14.0,18.0,77.78,123.0,0.0,0.0,95.1,1.0,2.0,6.83,6.83
2001,2001-09-09,31.1,24.0,39.0,61.54,138.0,0.0,2.0,46.7,1.0,5.0,3.54,1.23
2001,2001-09-23,31.114,5.0,9.0,55.56,33.0,0.0,0.0,63.7,0.0,0.0,3.67,3.67
2001,2001-10-14,31.135,,,,,,,,,,,
2001,2001-10-28,31.149,25.0,31.0,80.65,166.0,3.0,1.0,107.8,0.0,0.0,5.35,5.84
2001,2001-11-04,31.156,30.0,50.0,60.0,357.0,2.0,3.0,70.2,5.0,43.0,7.14,5.24
2002,2002-09-08,32.099000000000004,28.0,40.0,70.0,327.0,3.0,1.0,109.1,1.0,7.0,8.18,8.55
2002,2002-09-16,32.107,10.0,22.0,45.45,62.0,0.0,1.0,33.5,0.0,0.0,2.82,0.77
2002,2002-09-22,32.113,17.0,28.0,60.71,169.0,1.0,0.0,89.7,2.0,17.0,6.04,6.75
2002,2002-10-27,32.148,17.0,35.0,48.57,210.0,2.0,0.0,86.6,1.0,5.0,6.0,7.14
2002,2002-11-03,32.155,10.0,27.0,37.04,114.0,2.0,1.0,59.8,1.0,1.0,4.22,4.04
2002,2002-11-10,32.162,27.0,50.0,54.0,256.0,1.0,2.0,58.4,2.0,17.0,5.12,3.72
2002,2002-11-17,32.169000000000004,15.0,35.0,42.86,113.0,2.0,1.0,58.4,2.0,7.0,3.23,3.09
2002,2002-11-28,32.18,,,,,,,,0.0,,,
2004,2004-10-17,34.138000000000005,,,,,,,,0.0,,,
2004,2004-10-31,34.152,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2004,2004-12-26,34.208,2.0,3.0,66.67,44.0,1.0,0.0,149.3,0.0,0.0,14.67,21.33
