Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2006-01-01,25.357,0.0,0.0,,0.0,0.0,0.0,,,,,
2007,2007-12-09,27.334,22.0,27.0,81.48,181.0,1.0,0.0,106.9,2.0,8.0,6.7,7.44
2007,2007-12-15,27.34,21.0,28.0,75.0,197.0,1.0,0.0,105.8,2.0,16.0,7.04,7.75
2007,2007-12-23,27.348000000000003,11.0,24.0,45.83,123.0,3.0,1.0,83.9,2.0,7.0,5.13,5.75
2008,2008-10-26,28.291,15.0,23.0,65.22,173.0,1.0,0.0,102.3,2.0,11.0,7.52,8.39
2008,2008-11-10,28.305999999999997,19.0,40.0,47.5,217.0,2.0,2.0,60.1,0.0,0.0,5.43,4.18
2008,2008-11-16,28.311999999999998,15.0,20.0,75.0,213.0,2.0,0.0,142.3,2.0,14.0,10.65,12.65
2008,2008-11-23,28.319000000000003,21.0,33.0,63.64,303.0,2.0,1.0,100.9,4.0,25.0,9.18,9.03
2008,2008-11-30,28.326,14.0,23.0,60.87,161.0,1.0,0.0,96.5,3.0,28.0,7.0,7.87
2008,2008-12-07,28.333000000000002,28.0,39.0,71.79,285.0,2.0,1.0,98.8,2.0,10.0,7.31,7.18
2008,2008-12-14,28.34,30.0,46.0,65.22,233.0,0.0,0.0,77.5,5.0,27.0,5.07,5.07
2008,2008-12-21,28.346999999999998,18.0,34.0,52.94,216.0,2.0,3.0,55.5,4.0,26.0,6.35,3.56
2008,2008-12-28,28.354,21.0,30.0,70.0,245.0,1.0,1.0,91.7,1.0,7.0,8.17,7.33
2009,2009-09-13,29.247,18.0,31.0,58.06,209.0,1.0,0.0,89.3,4.0,27.0,6.74,7.39
2009,2009-09-20,29.254,19.0,26.0,73.08,144.0,0.0,0.0,86.1,4.0,21.0,5.54,5.54
2009,2009-09-27,29.261,15.0,25.0,60.0,195.0,2.0,1.0,94.6,1.0,7.0,7.8,7.6
2009,2009-10-04,29.268,14.0,24.0,58.33,152.0,2.0,0.0,104.9,4.0,20.0,6.33,8.0
2009,2009-10-11,29.275,15.0,38.0,39.47,198.0,0.0,1.0,45.7,3.0,19.0,5.21,4.03
2009,2009-10-25,29.289,6.0,11.0,54.55,45.0,0.0,0.0,64.6,2.0,13.0,4.09,4.09
2010,2010-09-12,30.246,9.0,19.0,47.37,88.0,0.0,1.0,38.9,1.0,9.0,4.63,2.26
2010,2010-09-19,30.253,25.0,45.0,55.56,335.0,2.0,2.0,75.7,2.0,6.0,7.44,6.33
2010,2010-09-26,30.26,29.0,43.0,67.44,237.0,1.0,2.0,69.6,1.0,5.0,5.51,3.88
2010,2010-10-03,30.267,34.0,54.0,62.96,331.0,2.0,2.0,77.0,3.0,23.0,6.13,5.2
2010,2010-10-10,30.274,21.0,32.0,65.63,227.0,3.0,0.0,117.6,1.0,5.0,7.09,8.97
2010,2010-10-17,30.281,9.0,15.0,60.0,91.0,1.0,0.0,99.6,0.0,0.0,6.07,7.4
2010,2010-10-31,30.295,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2010,2010-11-14,30.309,29.0,50.0,58.0,323.0,1.0,1.0,75.7,1.0,9.0,6.46,5.96
2010,2010-11-21,30.316,32.0,47.0,68.09,289.0,2.0,1.0,89.8,3.0,26.0,6.15,6.04
2010,2010-11-25,30.32,27.0,46.0,58.7,285.0,1.0,2.0,65.9,2.0,8.0,6.2,4.67
2010,2010-12-12,30.337,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2010,2010-12-26,30.351,14.0,26.0,53.85,222.0,2.0,0.0,108.2,2.0,14.0,8.54,10.08
2010,2011-01-02,30.358,28.0,39.0,71.79,258.0,1.0,1.0,87.3,1.0,8.0,6.62,5.97
2011,2011-09-18,31.252,1.0,1.0,100.0,28.0,0.0,0.0,118.7,0.0,0.0,28.0,28.0
2011,2011-10-30,31.294,1.0,2.0,50.0,5.0,0.0,0.0,56.2,0.0,0.0,2.5,2.5
2012,2012-09-23,32.258,10.0,13.0,76.92,172.0,2.0,0.0,157.9,0.0,0.0,13.23,16.31
2013,2013-10-06,33.27,,,,,,,,,,,
2013,2013-11-28,33.323,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-09-07,34.241,8.0,13.0,61.54,81.0,0.0,1.0,47.3,1.0,6.0,6.23,2.77
2014,2014-11-02,34.297,,,,,,,,,,,
2014,2014-11-16,34.311,20.0,29.0,68.97,220.0,1.0,0.0,102.7,3.0,14.0,7.59,8.28
2014,2014-11-23,34.318000000000005,18.0,35.0,51.43,198.0,1.0,2.0,54.2,1.0,7.0,5.66,3.66
2014,2014-11-30,34.325,13.0,22.0,59.09,183.0,2.0,0.0,116.3,1.0,7.0,8.32,10.14
2014,2014-12-07,34.332,16.0,22.0,72.73,213.0,2.0,0.0,133.3,4.0,15.0,9.68,11.5
2014,2014-12-11,34.336,20.0,39.0,51.28,229.0,0.0,1.0,58.6,2.0,18.0,5.87,4.72
2014,2014-12-21,34.346,24.0,32.0,75.0,290.0,2.0,1.0,110.2,2.0,9.0,9.06,8.91
2014,2014-12-28,34.353,26.0,37.0,70.27,243.0,0.0,2.0,65.5,4.0,40.0,6.57,4.14
2015,2015-11-08,35.303000000000004,2.0,6.0,33.33,15.0,0.0,0.0,42.4,1.0,11.0,2.5,2.5
2015,2015-11-22,35.317,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2015,2015-12-27,35.352,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2016,2016-09-11,36.246,18.0,33.0,54.55,236.0,0.0,0.0,77.3,0.0,0.0,7.15,7.15
2016,2016-12-01,36.327,1.0,1.0,100.0,6.0,0.0,0.0,91.7,1.0,7.0,6.0,6.0
2016,2017-01-01,36.358000000000004,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
