Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-11-28,22.183000000000003,3.0,7.0,42.86,32.0,1.0,0.0,96.4,1.0,4.0,4.57,7.43
1999,1999-12-06,22.191,11.0,19.0,57.89,93.0,2.0,1.0,83.9,2.0,6.0,4.89,4.63
1999,1999-12-12,22.197,23.0,37.0,62.16,297.0,2.0,1.0,94.1,3.0,26.0,8.03,7.89
1999,1999-12-19,22.204,17.0,29.0,58.62,142.0,0.0,1.0,57.0,4.0,39.0,4.9,3.34
1999,1999-12-26,22.211,17.0,30.0,56.67,133.0,1.0,1.0,65.0,0.0,0.0,4.43,3.6
1999,2000-01-02,22.218000000000004,18.0,24.0,75.0,178.0,1.0,0.0,109.4,1.0,3.0,7.42,8.25
2000,2000-09-03,23.096999999999998,12.0,24.0,50.0,167.0,1.0,0.0,86.6,1.0,11.0,6.96,7.79
2000,2000-09-10,23.104,10.0,21.0,47.62,167.0,2.0,0.0,106.6,2.0,15.0,7.95,9.86
2000,2000-09-17,23.111,18.0,30.0,60.0,211.0,1.0,0.0,92.5,0.0,0.0,7.03,7.7
2000,2000-09-24,23.118000000000002,7.0,19.0,36.84,135.0,1.0,2.0,40.4,2.0,15.0,7.11,3.42
2000,2000-10-01,23.125,19.0,38.0,50.0,202.0,1.0,1.0,63.7,4.0,19.0,5.32,4.66
2000,2000-10-09,23.133000000000003,26.0,40.0,65.0,295.0,0.0,0.0,87.0,2.0,12.0,7.38,7.38
2000,2000-10-19,23.143,17.0,34.0,50.0,149.0,0.0,3.0,25.2,0.0,0.0,4.38,0.41
2000,2000-10-29,23.153000000000002,16.0,23.0,69.57,267.0,4.0,0.0,148.0,1.0,6.0,11.61,15.09
2000,2000-11-05,23.16,11.0,25.0,44.0,110.0,3.0,1.0,80.0,1.0,4.0,4.4,5.0
2000,2000-11-12,23.166999999999998,16.0,27.0,59.26,164.0,2.0,1.0,86.0,0.0,0.0,6.07,5.89
2000,2000-11-19,23.174,12.0,19.0,63.16,91.0,0.0,2.0,35.1,4.0,31.0,4.79,0.05
2000,2000-11-26,23.180999999999997,10.0,18.0,55.56,106.0,0.0,0.0,72.9,7.0,40.0,5.89,5.89
2000,2000-12-03,23.188000000000002,9.0,15.0,60.0,65.0,0.0,0.0,70.1,2.0,14.0,4.33,4.33
2000,2000-12-10,23.195,11.0,15.0,73.33,147.0,0.0,1.0,76.3,4.0,26.0,9.8,6.8
2000,2000-12-18,23.203000000000003,18.0,38.0,47.37,256.0,2.0,2.0,65.2,2.0,15.0,6.74,5.42
2000,2000-12-24,23.209,21.0,42.0,50.0,237.0,1.0,0.0,75.2,5.0,32.0,5.64,6.12
2001,2001-10-28,24.151999999999997,2.0,3.0,66.67,62.0,0.0,0.0,109.7,0.0,0.0,20.67,20.67
2001,2001-12-23,24.208000000000002,,,,,,,,0.0,,,
2001,2002-01-06,24.221999999999998,19.0,28.0,67.86,148.0,0.0,1.0,65.8,3.0,29.0,5.29,3.68
2002,2002-10-27,25.151,1.0,1.0,100.0,7.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
2002,2002-12-08,25.193,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2002,2002-12-23,25.208000000000002,9.0,26.0,34.62,73.0,0.0,1.0,27.4,1.0,5.0,2.81,1.08
2003,2003-09-21,26.115,0.0,0.0,,0.0,0.0,,,1.0,8.0,,
2003,2003-10-19,26.143,4.0,7.0,57.14,24.0,0.0,0.0,64.0,0.0,0.0,3.43,3.43
2003,2003-12-28,26.213,11.0,15.0,73.33,106.0,1.0,1.0,87.1,2.0,17.0,7.07,5.4
2004,2004-09-26,27.12,5.0,6.0,83.33,40.0,0.0,0.0,94.4,1.0,6.0,6.67,6.67
2004,2004-11-21,27.176,28.0,52.0,53.85,343.0,1.0,3.0,56.8,4.0,29.0,6.6,4.38
2004,2004-11-28,27.183000000000003,14.0,26.0,53.85,119.0,0.0,1.0,50.0,1.0,7.0,4.58,2.85
