Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1989,1989-10-22,26.322,0.0,0.0,,0.0,0.0,0.0,,,,,
1991,1991-10-27,28.326999999999998,3.0,5.0,60.0,29.0,0.0,0.0,76.2,2.0,14.0,5.8,5.8
1991,1991-11-10,28.340999999999998,2.0,3.0,66.67,57.0,1.0,1.0,109.7,0.0,0.0,19.0,10.67
1991,1991-11-17,28.348000000000003,14.0,26.0,53.85,156.0,1.0,0.0,84.8,4.0,44.0,6.0,6.77
1991,1991-11-24,28.355,19.0,39.0,48.72,193.0,1.0,4.0,32.3,3.0,25.0,4.95,0.85
1991,1991-12-08,29.004,11.0,21.0,52.38,111.0,0.0,2.0,28.2,1.0,11.0,5.29,1.0
1991,1991-12-22,29.018,12.0,24.0,50.0,128.0,0.0,3.0,26.4,0.0,0.0,5.33,-0.29
1992,1992-10-11,29.311999999999998,3.0,10.0,30.0,33.0,0.0,1.0,1.2,3.0,21.0,3.3,-1.2
1992,1992-10-18,29.319000000000003,17.0,41.0,41.46,238.0,0.0,1.0,50.7,6.0,42.0,5.8,4.71
1992,1992-10-25,29.326,22.0,32.0,68.75,130.0,1.0,1.0,73.7,2.0,22.0,4.06,3.28
1992,1992-11-08,29.34,9.0,24.0,37.5,75.0,0.0,2.0,11.6,2.0,16.0,3.13,-0.63
1992,1992-11-15,29.346999999999998,6.0,12.0,50.0,65.0,0.0,1.0,31.6,2.0,14.0,5.42,1.67
1992,1992-11-30,29.362,12.0,21.0,57.14,164.0,1.0,0.0,98.1,1.0,5.0,7.81,8.76
1992,1992-12-06,30.002,13.0,28.0,46.43,179.0,2.0,1.0,76.3,3.0,26.0,6.39,6.21
1992,1992-12-13,30.009,9.0,31.0,29.03,66.0,1.0,2.0,23.5,5.0,42.0,2.13,-0.13
1992,1992-12-20,30.016,13.0,24.0,54.17,135.0,0.0,0.0,70.7,8.0,57.0,5.63,5.63
1992,1992-12-27,30.023000000000003,17.0,32.0,53.13,222.0,1.0,2.0,59.6,2.0,20.0,6.94,4.75
1993,1993-09-19,30.289,3.0,5.0,60.0,39.0,0.0,1.0,45.0,1.0,7.0,7.8,-1.2
1994,1994-12-24,32.02,7.0,11.0,63.64,80.0,1.0,0.0,115.7,0.0,0.0,7.27,9.09
1996,1996-12-22,34.018,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,11.0,0.0,0.0
