Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1989,1989-10-29,24.198,5.0,10.0,50.0,91.0,1.0,1.0,75.4,2.0,6.0,9.1,6.6
1989,1989-12-23,24.253,0.0,0.0,,0.0,0.0,0.0,,1.0,3.0,,
1990,1990-09-23,25.162,5.0,13.0,38.46,58.0,0.0,0.0,52.7,3.0,20.0,4.46,4.46
1990,1990-09-30,25.169,20.0,25.0,80.0,257.0,2.0,0.0,136.2,0.0,0.0,10.28,11.88
1990,1990-10-14,25.183000000000003,14.0,27.0,51.85,135.0,0.0,3.0,26.5,0.0,0.0,5.0,0.0
1990,1990-10-21,25.19,14.0,31.0,45.16,200.0,0.0,0.0,66.6,0.0,0.0,6.45,6.45
1990,1990-10-28,25.197,19.0,28.0,67.86,141.0,0.0,3.0,40.0,2.0,18.0,5.04,0.21
1990,1990-11-04,25.204,13.0,21.0,61.9,159.0,1.0,3.0,61.5,3.0,24.0,7.57,2.1
1990,1990-11-12,25.212,6.0,11.0,54.55,65.0,0.0,1.0,34.3,1.0,0.0,5.91,1.82
1992,1992-09-06,27.145,7.0,10.0,70.0,62.0,0.0,1.0,46.7,0.0,0.0,6.2,1.7
1992,1992-09-13,27.151999999999997,23.0,45.0,51.11,231.0,1.0,2.0,55.0,5.0,44.0,5.13,3.58
1992,1992-09-20,27.159000000000002,13.0,29.0,44.83,151.0,0.0,2.0,32.4,1.0,8.0,5.21,2.1
1992,1992-09-27,27.166,22.0,38.0,57.89,219.0,0.0,3.0,41.4,1.0,9.0,5.76,2.21
1992,1992-10-04,27.173000000000002,15.0,28.0,53.57,200.0,2.0,0.0,100.3,2.0,5.0,7.14,8.57
1992,1992-10-18,27.186999999999998,12.0,17.0,70.59,205.0,0.0,1.0,86.6,1.0,25.0,12.06,9.41
1992,1992-10-25,27.194000000000003,20.0,27.0,74.07,355.0,2.0,1.0,125.2,3.0,15.0,13.15,12.96
1992,1992-11-01,27.201,22.0,33.0,66.67,256.0,2.0,2.0,84.9,1.0,9.0,7.76,6.24
1992,1992-11-08,27.208000000000002,20.0,35.0,57.14,294.0,1.0,1.0,82.3,6.0,56.0,8.4,7.69
1992,1992-11-15,27.215,19.0,32.0,59.38,234.0,2.0,1.0,89.8,1.0,10.0,7.31,7.16
1992,1992-11-22,27.221999999999998,13.0,28.0,46.43,126.0,1.0,0.0,71.4,0.0,0.0,4.5,5.21
1992,1992-11-29,27.229,13.0,26.0,50.0,164.0,1.0,1.0,66.8,0.0,0.0,6.31,5.35
1992,1992-12-06,27.236,20.0,32.0,62.5,275.0,1.0,1.0,87.4,1.0,8.0,8.59,7.81
1992,1992-12-13,27.243000000000002,19.0,28.0,67.86,209.0,1.0,2.0,71.9,1.0,0.0,7.46,4.96
1992,1992-12-20,27.25,17.0,32.0,53.13,237.0,2.0,0.0,98.0,2.0,9.0,7.41,8.66
1992,1992-12-27,27.256999999999998,8.0,14.0,57.14,138.0,0.0,0.0,90.8,3.0,20.0,9.86,9.86
1993,1993-09-05,28.144000000000002,13.0,30.0,43.33,123.0,0.0,2.0,27.5,2.0,14.0,4.1,1.1
1993,1993-09-12,28.151,28.0,49.0,57.14,298.0,2.0,1.0,80.1,4.0,16.0,6.08,5.98
1993,1993-09-19,28.158,7.0,26.0,26.92,73.0,0.0,1.0,23.6,1.0,10.0,2.81,1.08
1993,1993-10-03,28.171999999999997,12.0,27.0,44.44,141.0,0.0,2.0,30.0,2.0,16.0,5.22,1.89
1993,1993-10-10,28.179000000000002,2.0,5.0,40.0,20.0,0.0,0.0,52.1,1.0,8.0,4.0,4.0
1993,1993-11-21,28.221,8.0,12.0,66.67,84.0,1.0,1.0,79.9,2.0,19.0,7.0,4.92
1993,1993-11-29,28.229,16.0,25.0,64.0,216.0,2.0,0.0,118.1,0.0,0.0,8.64,10.24
1993,1993-12-05,28.235,22.0,39.0,56.41,221.0,0.0,0.0,72.7,2.0,18.0,5.67,5.67
1993,1993-12-12,28.241999999999997,27.0,51.0,52.94,257.0,1.0,3.0,49.2,3.0,32.0,5.04,2.78
1993,1993-12-19,28.249000000000002,1.0,1.0,100.0,28.0,1.0,0.0,158.3,0.0,0.0,28.0,48.0
1993,1993-12-27,28.256999999999998,19.0,29.0,65.52,248.0,3.0,0.0,126.8,1.0,9.0,8.55,10.62
1993,1994-01-02,28.263,18.0,30.0,60.0,272.0,2.0,0.0,112.1,0.0,0.0,9.07,10.4
1994,1994-09-04,29.143,12.0,22.0,54.55,232.0,3.0,0.0,131.1,0.0,0.0,10.55,13.27
1994,1994-09-11,29.15,18.0,29.0,62.07,299.0,2.0,0.0,119.8,0.0,0.0,10.31,11.69
1994,1994-09-18,29.156999999999996,19.0,29.0,65.52,262.0,1.0,0.0,105.8,2.0,11.0,9.03,9.72
1994,1994-09-25,29.164,18.0,26.0,69.23,191.0,0.0,2.0,58.3,2.0,12.0,7.35,3.88
1994,1994-10-09,29.178,16.0,25.0,64.0,171.0,1.0,0.0,97.2,0.0,0.0,6.84,7.64
1994,1994-10-16,29.185,17.0,29.0,58.62,186.0,0.0,0.0,77.7,1.0,6.0,6.41,6.41
1994,1994-10-23,29.191999999999997,17.0,33.0,51.52,142.0,0.0,3.0,25.1,1.0,7.0,4.3,0.21
1994,1994-10-30,29.199,7.0,17.0,41.18,86.0,0.0,0.0,57.5,2.0,24.0,5.06,5.06
1994,1994-11-13,29.213,21.0,36.0,58.33,206.0,2.0,1.0,81.5,2.0,19.0,5.72,5.58
1994,1994-11-20,29.22,20.0,37.0,54.05,219.0,1.0,3.0,47.0,5.0,50.0,5.92,2.81
1994,1994-11-27,29.226999999999997,17.0,33.0,51.52,147.0,1.0,1.0,61.0,2.0,18.0,4.45,3.7
1994,1994-12-05,29.235,17.0,33.0,51.52,202.0,1.0,0.0,80.6,2.0,22.0,6.12,6.73
1994,1994-12-11,29.241,25.0,43.0,58.14,337.0,1.0,2.0,71.6,2.0,15.0,7.84,6.21
1994,1994-12-18,29.248,19.0,26.0,73.08,280.0,3.0,0.0,146.3,3.0,29.0,10.77,13.08
1994,1994-12-24,29.254,21.0,35.0,60.0,249.0,1.0,0.0,91.2,1.0,10.0,7.11,7.69
1995,1995-09-03,30.142,23.0,47.0,48.94,305.0,1.0,1.0,68.1,1.0,11.0,6.49,5.96
1995,1995-09-10,30.149,23.0,35.0,65.71,260.0,2.0,1.0,94.9,1.0,9.0,7.43,7.29
1995,1995-09-17,30.156,10.0,23.0,43.48,143.0,1.0,0.0,78.7,1.0,4.0,6.22,7.09
1995,1995-09-24,30.163,18.0,32.0,56.25,189.0,0.0,1.0,60.5,2.0,13.0,5.91,4.5
1995,1995-10-01,30.17,22.0,40.0,55.0,257.0,1.0,4.0,43.4,3.0,25.0,6.43,2.43
1995,1995-10-09,30.178,24.0,34.0,70.59,315.0,1.0,0.0,109.3,1.0,9.0,9.26,9.85
1995,1995-10-22,30.191,14.0,26.0,53.85,166.0,3.0,1.0,96.0,2.0,20.0,6.38,6.96
1995,1995-11-05,30.205,19.0,28.0,67.86,258.0,1.0,1.0,94.0,3.0,29.0,9.21,8.32
1995,1995-11-12,30.212,21.0,42.0,50.0,244.0,0.0,0.0,68.0,4.0,31.0,5.81,5.81
1995,1995-11-19,30.219,17.0,28.0,60.71,206.0,1.0,0.0,95.2,1.0,7.0,7.36,8.07
1995,1995-11-27,30.226999999999997,24.0,34.0,70.59,236.0,0.0,0.0,89.8,3.0,32.0,6.94,6.94
1995,1995-12-03,30.233,18.0,25.0,72.0,230.0,1.0,0.0,113.7,0.0,0.0,9.2,10.0
1995,1995-12-09,30.239,26.0,41.0,63.41,288.0,3.0,4.0,69.0,0.0,0.0,7.02,4.1
1995,1995-12-17,30.247,21.0,40.0,52.5,272.0,2.0,1.0,80.4,1.0,7.0,6.8,6.68
1995,1995-12-23,30.253,2.0,3.0,66.67,12.0,0.0,0.0,74.3,0.0,0.0,4.0,4.0
1996,1996-09-01,31.14,20.0,38.0,52.63,195.0,1.0,0.0,76.1,1.0,11.0,5.13,5.66
1996,1996-09-08,31.147,27.0,41.0,65.85,275.0,1.0,1.0,82.9,1.0,6.0,6.71,6.1
1996,1996-09-15,31.154,16.0,31.0,51.61,130.0,1.0,2.0,46.4,4.0,31.0,4.19,1.94
1996,1996-09-22,31.160999999999998,18.0,25.0,72.0,226.0,4.0,0.0,139.3,1.0,8.0,9.04,12.24
1996,1996-09-29,31.168000000000003,19.0,41.0,46.34,238.0,0.0,0.0,64.9,0.0,0.0,5.8,5.8
1996,1996-10-06,31.175,23.0,35.0,65.71,237.0,2.0,0.0,104.1,3.0,27.0,6.77,7.91
1996,1996-10-21,31.19,1.0,5.0,20.0,12.0,0.0,0.0,39.6,0.0,0.0,2.4,2.4
1996,1996-11-11,31.211,24.0,32.0,75.0,311.0,3.0,0.0,136.3,3.0,32.0,9.72,11.59
1996,1996-11-17,31.217,15.0,33.0,45.45,203.0,1.0,3.0,37.8,2.0,20.0,6.15,2.67
1996,1996-11-24,31.224,13.0,26.0,50.0,252.0,2.0,0.0,109.8,0.0,0.0,9.69,11.23
1996,1996-12-01,31.230999999999998,16.0,35.0,45.71,204.0,1.0,3.0,38.3,4.0,45.0,5.83,2.54
1996,1996-12-14,31.244,23.0,38.0,60.53,217.0,1.0,1.0,74.1,0.0,0.0,5.71,5.05
1996,1996-12-22,31.252,17.0,36.0,47.22,170.0,1.0,3.0,35.6,1.0,7.0,4.72,1.53
1997,1997-08-31,32.139,12.0,26.0,46.15,131.0,1.0,0.0,74.4,4.0,52.0,5.04,5.81
1997,1997-09-14,32.153,13.0,25.0,52.0,145.0,0.0,0.0,69.6,7.0,52.0,5.8,5.8
1997,1997-09-21,32.16,25.0,46.0,54.35,239.0,0.0,3.0,41.8,2.0,9.0,5.2,2.26
1997,1997-09-28,32.167,17.0,26.0,65.38,358.0,3.0,2.0,115.1,1.0,6.0,13.77,12.62
1997,1997-10-05,32.174,18.0,33.0,54.55,226.0,0.0,0.0,76.1,1.0,8.0,6.85,6.85
1997,1997-10-16,32.185,3.0,10.0,30.0,45.0,0.0,0.0,45.8,0.0,0.0,4.5,4.5
1997,1997-10-26,32.195,21.0,34.0,61.76,229.0,1.0,0.0,91.4,1.0,7.0,6.74,7.32
1997,1997-11-02,32.202,12.0,25.0,48.0,115.0,0.0,1.0,44.6,2.0,10.0,4.6,2.8
