Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1975,1975-09-21,22.313000000000002,8.0,16.0,50.0,81.0,0.0,1.0,38.8,3.0,23.0,5.06,2.25
1975,1975-09-28,22.32,7.0,22.0,31.82,104.0,1.0,1.0,44.5,1.0,10.0,4.73,3.59
1975,1975-10-05,22.326999999999998,11.0,23.0,47.83,119.0,1.0,1.0,59.9,2.0,25.0,5.17,4.09
1975,1975-10-12,22.334,9.0,20.0,45.0,96.0,1.0,0.0,76.2,,,4.8,5.8
1975,1975-10-19,22.340999999999998,9.0,25.0,36.0,84.0,0.0,3.0,6.5,1.0,12.0,3.36,-2.04
1975,1975-10-26,22.348000000000003,1.0,1.0,100.0,17.0,1.0,0.0,158.3,,,17.0,37.0
1975,1975-11-23,23.011,12.0,25.0,48.0,158.0,2.0,3.0,55.5,3.0,29.0,6.32,2.52
1975,1975-11-30,23.018,12.0,26.0,46.15,198.0,1.0,1.0,69.1,3.0,28.0,7.62,6.65
1975,1975-12-07,23.025,14.0,26.0,53.85,281.0,3.0,3.0,90.9,2.0,20.0,10.81,7.92
1975,1975-12-14,23.031999999999996,19.0,37.0,51.35,305.0,2.0,0.0,97.2,1.0,9.0,8.24,9.32
1975,1975-12-21,23.039,13.0,34.0,38.24,219.0,1.0,2.0,46.1,3.0,41.0,6.44,4.38
1976,1976-09-12,23.305,16.0,33.0,48.48,193.0,1.0,3.0,39.1,5.0,45.0,5.85,2.36
1976,1976-09-19,23.311999999999998,5.0,16.0,31.25,59.0,0.0,3.0,3.9,,,3.69,-4.75
1976,1976-09-26,23.319000000000003,14.0,32.0,43.75,164.0,0.0,0.0,59.9,5.0,31.0,5.13,5.13
1976,1976-10-03,23.326,18.0,32.0,56.25,212.0,1.0,2.0,60.9,6.0,50.0,6.63,4.44
1976,1976-10-10,23.333000000000002,4.0,7.0,57.14,49.0,0.0,1.0,39.3,2.0,24.0,7.0,0.57
1977,1977-10-30,24.351999999999997,1.0,3.0,33.33,13.0,0.0,1.0,8.3,,,4.33,-10.67
1977,1977-11-06,24.359,12.0,26.0,46.15,105.0,0.0,2.0,25.3,7.0,76.0,4.04,0.58
1977,1977-11-13,25.000999999999998,6.0,16.0,37.5,81.0,0.0,3.0,14.8,2.0,20.0,5.06,-3.38
1977,1977-11-20,25.008000000000003,6.0,15.0,40.0,52.0,1.0,2.0,32.5,2.0,17.0,3.47,-1.2
1977,1977-11-27,25.015,9.0,14.0,64.29,82.0,0.0,0.0,80.1,3.0,35.0,5.86,5.86
1977,1977-12-04,25.022,7.0,18.0,38.89,124.0,1.0,4.0,42.1,8.0,67.0,6.89,-2.0
1977,1977-12-11,25.029,15.0,28.0,53.57,230.0,1.0,1.0,78.0,7.0,81.0,8.21,7.32
1977,1977-12-18,25.035999999999998,8.0,16.0,50.0,109.0,2.0,0.0,111.7,,,6.81,9.31
1978,1978-09-17,25.309,7.0,15.0,46.67,126.0,0.0,2.0,36.4,1.0,9.0,8.4,2.4
1978,1978-09-24,25.316,12.0,24.0,50.0,81.0,1.0,3.0,32.1,1.0,12.0,3.38,-1.42
1978,1978-10-01,25.323,14.0,26.0,53.85,226.0,1.0,0.0,96.0,3.0,28.0,8.69,9.46
1978,1978-10-08,25.33,17.0,33.0,51.52,188.0,1.0,2.0,53.6,5.0,44.0,5.7,3.58
1978,1978-10-15,25.337,11.0,17.0,64.71,162.0,1.0,0.0,115.3,5.0,40.0,9.53,10.71
1978,1978-10-22,25.344,15.0,20.0,75.0,256.0,1.0,0.0,133.3,5.0,40.0,12.8,13.8
1978,1978-10-30,25.351999999999997,1.0,6.0,16.67,16.0,0.0,1.0,0.0,2.0,16.0,2.67,-4.83
1978,1978-11-05,25.358,14.0,26.0,53.85,164.0,1.0,1.0,70.0,2.0,17.0,6.31,5.35
1978,1978-11-12,26.0,16.0,33.0,48.48,218.0,1.0,1.0,67.5,1.0,8.0,6.61,5.85
