Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1988,1988-09-04,23.180999999999997,13.0,29.0,44.83,171.0,0.0,0.0,64.0,1.0,9.0,5.9,5.9
1988,1988-09-11,23.188000000000002,10.0,24.0,41.67,129.0,3.0,1.0,81.4,4.0,44.0,5.38,6.0
1988,1988-09-18,23.195,19.0,38.0,50.0,375.0,2.0,1.0,91.4,9.0,70.0,9.87,9.74
1988,1988-10-16,23.223000000000003,4.0,7.0,57.14,70.0,1.0,0.0,131.0,0.0,0.0,10.0,12.86
1988,1988-10-23,23.23,5.0,11.0,45.45,85.0,0.0,1.0,34.3,1.0,5.0,7.73,3.64
1988,1988-10-30,23.237,18.0,29.0,62.07,248.0,0.0,1.0,75.1,1.0,0.0,8.55,7.0
1988,1988-11-06,23.244,13.0,28.0,46.43,182.0,1.0,1.0,64.9,3.0,12.0,6.5,5.61
1988,1988-11-13,23.250999999999998,8.0,22.0,36.36,112.0,0.0,0.0,53.6,2.0,20.0,5.09,5.09
1988,1988-11-20,23.258000000000003,11.0,31.0,35.48,182.0,0.0,1.0,42.7,3.0,35.0,5.87,4.42
1988,1988-11-28,23.266,4.0,19.0,21.05,89.0,1.0,1.0,42.2,2.0,20.0,4.68,3.37
1989,1989-09-10,24.186999999999998,15.0,22.0,68.18,206.0,2.0,0.0,128.2,3.0,27.0,9.36,11.18
1989,1989-10-15,24.221999999999998,1.0,5.0,20.0,15.0,0.0,1.0,0.0,0.0,0.0,3.0,-6.0
1989,1989-10-22,24.229,5.0,8.0,62.5,75.0,1.0,1.0,93.2,1.0,8.0,9.38,6.25
1989,1989-10-29,24.236,11.0,22.0,50.0,154.0,2.0,1.0,84.3,0.0,0.0,7.0,6.77
1989,1989-11-19,24.256999999999998,10.0,25.0,40.0,149.0,1.0,3.0,34.0,2.0,11.0,5.96,1.36
1989,1989-11-26,24.264,15.0,25.0,60.0,169.0,2.0,0.0,106.9,4.0,33.0,6.76,8.36
1989,1989-12-03,24.271,9.0,23.0,39.13,200.0,1.0,0.0,85.4,2.0,22.0,8.7,9.57
1989,1989-12-10,24.278000000000002,13.0,30.0,43.33,255.0,0.0,0.0,73.6,4.0,25.0,8.5,8.5
1989,1989-12-17,24.285,13.0,23.0,56.52,188.0,2.0,1.0,94.1,2.0,13.0,8.17,7.96
1989,1989-12-24,24.291999999999998,16.0,34.0,47.06,266.0,2.0,2.0,69.0,4.0,36.0,7.82,6.35
1991,1991-09-22,26.199,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-10-27,26.234,3.0,5.0,60.0,26.0,0.0,0.0,73.7,0.0,0.0,5.2,5.2
1991,1991-11-03,26.241,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-11-24,26.261999999999997,7.0,12.0,58.33,109.0,1.0,0.0,116.3,1.0,6.0,9.08,10.75
1991,1991-11-28,26.266,14.0,25.0,56.0,217.0,1.0,0.0,98.2,4.0,36.0,8.68,9.48
1991,1991-12-08,26.276,17.0,29.0,58.62,184.0,1.0,0.0,88.9,0.0,0.0,6.34,7.03
1991,1991-12-15,26.283,9.0,31.0,29.03,145.0,1.0,0.0,57.3,1.0,7.0,4.68,5.32
1991,1991-12-22,26.29,18.0,35.0,51.43,228.0,1.0,2.0,57.8,0.0,0.0,6.51,4.51
1992,1992-09-07,27.184,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-13,27.19,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-20,27.197,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-05,27.212,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-11,27.218000000000004,2.0,5.0,40.0,27.0,0.0,0.0,57.9,0.0,0.0,5.4,5.4
1992,1992-10-18,27.225,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-25,27.232,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-01,27.239,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-08,27.246,2.0,2.0,100.0,26.0,0.0,0.0,118.7,0.0,0.0,13.0,13.0
1992,1992-11-15,27.253,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-22,27.26,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-26,27.264,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-06,27.274,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
