Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-12-01,23.204,1.0,10.0,10.0,5.0,0.0,0.0,39.6,2.0,13.0,0.5,0.5
1986,1986-11-30,24.203000000000003,1.0,1.0,100.0,3.0,0.0,0.0,79.2,0.0,0.0,3.0,3.0
1987,1987-10-04,25.146,12.0,23.0,52.17,164.0,1.0,1.0,71.6,1.0,5.0,7.13,6.04
1987,1987-10-11,25.153000000000002,11.0,28.0,39.29,136.0,2.0,0.0,78.9,3.0,13.0,4.86,6.29
1987,1987-10-18,25.16,11.0,23.0,47.83,138.0,2.0,1.0,77.8,2.0,12.0,6.0,5.78
1988,1988-10-02,26.144000000000002,7.0,24.0,29.17,83.0,0.0,2.0,6.8,1.0,8.0,3.46,-0.29
1988,1988-10-09,26.151,3.0,11.0,27.27,27.0,1.0,0.0,69.9,0.0,0.0,2.45,4.27
1989,1989-10-29,27.171,4.0,5.0,80.0,62.0,1.0,0.0,157.9,0.0,0.0,12.4,16.4
1991,1991-09-22,29.134,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-10-20,29.162,3.0,3.0,100.0,35.0,0.0,0.0,115.3,0.0,0.0,11.67,11.67
1991,1991-11-03,29.176,9.0,16.0,56.25,111.0,1.0,1.0,72.7,1.0,11.0,6.94,5.38
1991,1991-11-10,29.183000000000003,15.0,32.0,46.88,131.0,0.0,0.0,58.2,3.0,29.0,4.09,4.09
1991,1991-11-17,29.19,20.0,35.0,57.14,187.0,0.0,0.0,72.0,3.0,18.0,5.34,5.34
1991,1991-11-25,29.198,18.0,33.0,54.55,306.0,1.0,1.0,83.6,0.0,0.0,9.27,8.52
1991,1991-12-01,29.204,27.0,41.0,65.85,347.0,3.0,0.0,116.6,1.0,4.0,8.46,9.93
1991,1991-12-08,29.211,25.0,44.0,56.82,280.0,3.0,2.0,79.7,2.0,19.0,6.36,5.68
1991,1991-12-14,29.217,24.0,33.0,72.73,220.0,3.0,0.0,120.8,1.0,10.0,6.67,8.48
1992,1992-09-06,30.118000000000002,15.0,22.0,68.18,187.0,2.0,0.0,124.6,0.0,0.0,8.5,10.32
1992,1992-09-13,30.125,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-20,30.131999999999998,3.0,5.0,60.0,41.0,0.0,1.0,46.7,0.0,0.0,8.2,-0.8
1992,1992-09-27,30.139,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-04,30.146,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-11,30.153000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-18,30.16,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1992,1992-11-01,30.174,17.0,24.0,70.83,222.0,0.0,1.0,82.3,2.0,14.0,9.25,7.38
1992,1992-11-09,30.182,1.0,1.0,100.0,13.0,0.0,0.0,118.7,0.0,0.0,13.0,13.0
1992,1992-11-15,30.188000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-22,30.195,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-11-29,30.201999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-06,30.209,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1992,1992-12-13,30.215999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-19,30.221999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-28,30.230999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-11-14,31.186999999999998,2.0,5.0,40.0,14.0,0.0,0.0,47.9,1.0,1.0,2.8,2.8
1993,1993-11-22,31.195,3.0,4.0,75.0,39.0,0.0,0.0,105.2,0.0,0.0,9.75,9.75
1993,1993-11-28,31.201,2.0,5.0,40.0,26.0,0.0,0.0,57.1,1.0,3.0,5.2,5.2
1993,1993-12-05,31.208000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-12-11,31.214000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-12-19,31.221999999999998,3.0,5.0,60.0,39.0,0.0,0.0,84.6,0.0,0.0,7.8,7.8
1993,1993-12-25,31.228,11.0,13.0,84.62,79.0,0.0,0.0,92.0,0.0,0.0,6.08,6.08
1993,1994-01-03,31.237,18.0,29.0,62.07,219.0,0.0,1.0,70.9,2.0,14.0,7.55,6.0
1994,1994-10-23,32.165,2.0,2.0,100.0,41.0,1.0,0.0,158.3,0.0,0.0,20.5,30.5
1994,1994-10-30,32.172,5.0,10.0,50.0,65.0,0.0,1.0,31.2,0.0,0.0,6.5,2.0
1994,1994-11-27,32.2,7.0,12.0,58.33,39.0,0.0,0.0,64.2,0.0,0.0,3.25,3.25
1994,1994-12-04,32.207,18.0,37.0,48.65,323.0,1.0,0.0,88.0,0.0,0.0,8.73,9.27
1994,1994-12-12,32.215,33.0,55.0,60.0,314.0,2.0,3.0,65.3,0.0,0.0,5.71,3.98
1994,1994-12-18,32.221,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-24,32.227,1.0,1.0,100.0,14.0,0.0,0.0,118.7,0.0,0.0,14.0,14.0
1995,1995-09-03,33.115,18.0,23.0,78.26,278.0,3.0,0.0,156.6,0.0,0.0,12.09,14.7
1995,1995-09-10,33.122,29.0,47.0,61.7,183.0,1.0,1.0,68.0,1.0,5.0,3.89,3.36
1995,1995-09-17,33.129,19.0,28.0,67.86,164.0,2.0,0.0,106.8,3.0,23.0,5.86,7.29
1995,1995-09-24,33.135999999999996,29.0,49.0,59.18,272.0,2.0,2.0,71.1,1.0,9.0,5.55,4.53
