Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1978,1978-09-03,24.226999999999997,16.0,32.0,50.0,174.0,1.0,3.0,37.8,1.0,10.0,5.44,1.84
1978,1978-09-10,24.234,12.0,32.0,37.5,112.0,1.0,3.0,19.3,,,3.5,-0.09
1978,1978-09-17,24.241,20.0,32.0,62.5,321.0,2.0,1.0,103.8,,,10.03,9.88
1978,1978-09-24,24.248,11.0,33.0,33.33,112.0,0.0,4.0,4.4,3.0,25.0,3.39,-2.06
1978,1978-10-01,24.255,8.0,17.0,47.06,66.0,2.0,2.0,57.1,,,3.88,0.94
1978,1978-10-08,24.261999999999997,7.0,26.0,26.92,83.0,0.0,1.0,24.4,,,3.19,1.46
1978,1978-10-15,24.269000000000002,16.0,37.0,43.24,147.0,1.0,2.0,41.2,4.0,46.0,3.97,2.08
1978,1978-10-22,24.276,8.0,22.0,36.36,79.0,0.0,0.0,47.3,3.0,26.0,3.59,3.59
1978,1978-10-29,24.283,19.0,33.0,57.58,215.0,0.0,3.0,39.3,2.0,14.0,6.52,2.42
1978,1978-11-05,24.29,6.0,20.0,30.0,75.0,0.0,1.0,21.9,3.0,25.0,3.75,1.5
1978,1978-12-10,24.325,11.0,15.0,73.33,89.0,0.0,2.0,48.3,1.0,10.0,5.93,-0.07
1978,1978-12-17,24.331999999999997,3.0,3.0,100.0,97.0,1.0,0.0,158.3,,,32.33,39.0
1979,1979-09-02,25.226,29.0,42.0,69.05,262.0,1.0,2.0,73.7,2.0,8.0,6.24,4.57
1979,1979-09-09,25.233,19.0,33.0,57.58,239.0,0.0,1.0,67.6,1.0,8.0,7.24,5.88
1979,1979-09-16,25.24,15.0,29.0,51.72,138.0,2.0,0.0,88.0,3.0,26.0,4.76,6.14
1979,1979-09-23,25.247,18.0,33.0,54.55,263.0,2.0,3.0,63.1,,,7.97,5.09
1979,1979-09-30,25.254,13.0,23.0,56.52,147.0,0.0,2.0,39.6,3.0,25.0,6.39,2.48
1979,1979-10-07,25.261,31.0,40.0,77.5,306.0,1.0,1.0,96.5,2.0,14.0,7.65,7.03
1979,1979-10-14,25.268,27.0,48.0,56.25,242.0,2.0,2.0,66.5,1.0,5.0,5.04,4.0
1979,1979-10-21,25.275,24.0,37.0,64.86,245.0,0.0,1.0,72.5,,,6.62,5.41
1979,1979-10-28,25.281999999999996,26.0,41.0,63.41,348.0,3.0,2.0,94.4,,,8.49,7.76
1979,1979-11-04,25.289,20.0,42.0,47.62,195.0,0.0,2.0,41.3,,,4.64,2.5
1979,1979-11-11,25.296,22.0,39.0,56.41,208.0,1.0,1.0,69.2,1.0,10.0,5.33,4.69
1979,1979-11-18,25.303,20.0,36.0,55.56,136.0,0.0,0.0,64.1,,,3.78,3.78
1979,1979-11-25,25.31,21.0,34.0,61.76,257.0,1.0,2.0,70.3,2.0,19.0,7.56,5.5
1979,1979-12-02,25.316999999999997,11.0,17.0,64.71,135.0,1.0,1.0,84.2,,,7.94,6.47
1979,1979-12-09,25.324,22.0,30.0,73.33,186.0,1.0,0.0,100.1,1.0,2.0,6.2,6.87
1979,1979-12-16,25.331,29.0,54.0,53.7,345.0,2.0,1.0,78.1,1.0,2.0,6.39,6.3
1980,1980-09-07,26.232,21.0,29.0,72.41,223.0,1.0,1.0,91.6,3.0,27.0,7.69,6.83
1980,1980-09-14,26.239,25.0,42.0,59.52,266.0,2.0,3.0,64.2,1.0,6.0,6.33,4.07
1980,1980-09-21,26.246,17.0,23.0,73.91,181.0,2.0,0.0,125.5,1.0,9.0,7.87,9.61
1980,1980-09-28,26.253,32.0,51.0,62.75,345.0,2.0,2.0,79.3,3.0,27.0,6.76,5.78
1980,1980-10-05,26.26,7.0,16.0,43.75,101.0,1.0,2.0,46.1,,,6.31,1.94
1980,1980-10-12,26.267,12.0,35.0,34.29,173.0,2.0,5.0,30.7,3.0,26.0,4.94,-0.34
1980,1980-11-02,26.288,15.0,31.0,48.39,146.0,0.0,1.0,48.6,2.0,16.0,4.71,3.26
1980,1980-11-09,26.295,18.0,35.0,51.43,265.0,1.0,1.0,74.1,1.0,3.0,7.57,6.86
1980,1980-11-16,26.302,29.0,41.0,70.73,225.0,1.0,1.0,81.9,,,5.49,4.88
1980,1980-11-23,26.309,7.0,12.0,58.33,65.0,0.0,0.0,73.3,,,5.42,5.42
1980,1980-11-30,26.316,3.0,6.0,50.0,8.0,0.0,1.0,16.7,,,1.33,-6.17
1981,1981-09-20,27.244,4.0,5.0,80.0,50.0,0.0,0.0,108.3,1.0,9.0,10.0,10.0
1981,1981-09-27,27.250999999999998,4.0,6.0,66.67,59.0,0.0,0.0,98.6,0.0,0.0,9.83,9.83
1981,1981-10-04,27.258000000000003,1.0,1.0,100.0,24.0,0.0,0.0,118.7,0.0,0.0,24.0,24.0
1981,1981-10-11,27.265,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-18,27.272,3.0,5.0,60.0,16.0,0.0,2.0,25.8,0.0,0.0,3.2,-14.8
1981,1981-10-25,27.279,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-02,27.287,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-11-08,27.293000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-15,27.3,10.0,15.0,66.67,70.0,1.0,1.0,71.5,0.0,0.0,4.67,3.0
1981,1981-11-22,27.307,21.0,34.0,61.76,305.0,2.0,2.0,86.0,4.0,36.0,8.97,7.5
1981,1981-11-29,27.314,7.0,15.0,46.67,83.0,1.0,1.0,58.5,1.0,7.0,5.53,3.87
1981,1981-12-06,27.320999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-13,27.328000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-20,27.335,14.0,26.0,53.85,190.0,2.0,0.0,103.0,1.0,15.0,7.31,8.85
1982,1982-09-12,28.236,8.0,16.0,50.0,71.0,0.0,0.0,62.2,1.0,2.0,4.44,4.44
1982,1982-09-19,28.243000000000002,14.0,22.0,63.64,157.0,2.0,0.0,115.2,0.0,0.0,7.14,8.95
1982,1982-11-21,28.305999999999997,12.0,25.0,48.0,129.0,0.0,2.0,30.2,1.0,7.0,5.16,1.56
1982,1982-11-28,28.313000000000002,19.0,28.0,67.86,184.0,1.0,2.0,68.2,1.0,9.0,6.57,4.07
1982,1982-12-05,28.32,24.0,43.0,55.81,271.0,2.0,2.0,71.0,2.0,22.0,6.3,5.14
1982,1982-12-12,28.326999999999998,23.0,31.0,74.19,307.0,2.0,1.0,113.2,5.0,49.0,9.9,9.74
1982,1982-12-19,28.334,19.0,30.0,63.33,163.0,0.0,2.0,49.7,3.0,17.0,5.43,2.43
1982,1982-12-26,28.340999999999998,12.0,28.0,42.86,123.0,0.0,2.0,26.3,3.0,24.0,4.39,1.18
1982,1983-01-02,28.348000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-04,29.228,4.0,8.0,50.0,35.0,1.0,0.0,101.6,3.0,22.0,4.38,6.88
1983,1983-09-11,29.235,9.0,11.0,81.82,158.0,1.0,1.0,111.2,2.0,22.0,14.36,12.09
1983,1983-09-18,29.241999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-25,29.249000000000002,8.0,21.0,38.1,117.0,0.0,1.0,37.2,3.0,30.0,5.57,3.43
1983,1983-10-02,29.256,17.0,30.0,56.67,235.0,1.0,1.0,79.2,6.0,46.0,7.83,7.0
1983,1983-10-09,29.263,11.0,21.0,52.38,149.0,2.0,0.0,107.0,1.0,1.0,7.1,9.0
1983,1983-10-16,29.27,25.0,37.0,67.57,284.0,2.0,1.0,97.1,1.0,8.0,7.68,7.54
1983,1983-10-23,29.276999999999997,14.0,26.0,53.85,175.0,1.0,1.0,71.8,4.0,42.0,6.73,5.77
1983,1983-10-30,29.284000000000002,21.0,41.0,51.22,350.0,1.0,0.0,88.5,4.0,21.0,8.54,9.02
1983,1983-11-06,29.291,10.0,20.0,50.0,114.0,0.0,2.0,27.9,1.0,9.0,5.7,1.2
1984,1984-09-02,30.226999999999997,5.0,10.0,50.0,96.0,1.0,2.0,77.5,2.0,26.0,9.6,2.6
1984,1984-09-09,30.234,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-16,30.241,18.0,27.0,66.67,195.0,2.0,0.0,112.4,1.0,13.0,7.22,8.7
1984,1984-09-23,30.248,18.0,31.0,58.06,229.0,0.0,1.0,67.8,5.0,40.0,7.39,5.94
1984,1984-09-30,30.255,21.0,40.0,52.5,246.0,0.0,3.0,40.2,3.0,20.0,6.15,2.78
1984,1984-10-07,30.261999999999997,16.0,29.0,55.17,212.0,2.0,0.0,101.5,0.0,0.0,7.31,8.69
1984,1984-10-14,30.269000000000002,25.0,29.0,86.21,272.0,1.0,0.0,117.2,1.0,13.0,9.38,10.07
1984,1984-10-21,30.276,24.0,39.0,61.54,288.0,1.0,1.0,82.0,6.0,41.0,7.38,6.74
1984,1984-10-28,30.283,29.0,54.0,53.7,280.0,2.0,3.0,57.6,4.0,36.0,5.19,3.43
1984,1984-11-04,30.29,17.0,36.0,47.22,198.0,1.0,1.0,62.0,2.0,15.0,5.5,4.81
1984,1984-11-11,30.296999999999997,16.0,28.0,57.14,238.0,1.0,2.0,67.3,2.0,15.0,8.5,6.0
1984,1984-11-18,30.304000000000002,26.0,41.0,63.41,316.0,2.0,2.0,83.0,1.0,8.0,7.71,6.49
1984,1984-11-25,30.311,27.0,44.0,61.36,322.0,2.0,1.0,89.4,0.0,0.0,7.32,7.2
1984,1984-12-02,30.318,22.0,38.0,57.89,190.0,1.0,2.0,58.0,3.0,31.0,5.0,3.16
1984,1984-12-09,30.325,18.0,29.0,62.07,192.0,0.0,0.0,81.4,0.0,0.0,6.62,6.62
1984,1984-12-16,30.331999999999997,26.0,34.0,76.47,280.0,3.0,0.0,129.5,5.0,50.0,8.24,10.0
1985,1985-09-08,31.232,13.0,21.0,61.9,160.0,3.0,2.0,85.4,2.0,19.0,7.62,6.19
1985,1985-09-15,31.239,26.0,38.0,68.42,237.0,1.0,2.0,71.9,1.0,3.0,6.24,4.39
1985,1985-09-22,31.246,22.0,44.0,50.0,252.0,1.0,2.0,56.2,4.0,32.0,5.73,4.14
1985,1985-09-29,31.253,19.0,31.0,61.29,193.0,0.0,1.0,65.7,4.0,35.0,6.23,4.77
1985,1985-10-06,31.26,23.0,43.0,53.49,346.0,2.0,2.0,76.3,0.0,0.0,8.05,6.88
1985,1985-10-13,31.267,14.0,34.0,41.18,161.0,2.0,4.0,36.2,1.0,10.0,4.74,0.62
1985,1985-10-20,31.274,19.0,32.0,59.38,365.0,4.0,1.0,125.7,0.0,0.0,11.41,12.5
1985,1985-10-27,31.281,13.0,26.0,50.0,141.0,1.0,2.0,47.1,3.0,11.0,5.42,2.73
1985,1985-11-03,31.288,21.0,42.0,50.0,239.0,2.0,1.0,73.4,2.0,11.0,5.69,5.57
1985,1985-11-10,31.295,11.0,27.0,40.74,196.0,1.0,1.0,63.2,1.0,14.0,7.26,6.33
1985,1985-11-17,31.302,16.0,32.0,50.0,198.0,2.0,0.0,90.4,1.0,8.0,6.19,7.44
1986,1986-09-07,32.231,18.0,40.0,45.0,214.0,1.0,7.0,30.6,3.0,19.0,5.35,-2.03
1986,1986-09-14,32.238,18.0,28.0,64.29,181.0,1.0,2.0,64.7,3.0,25.0,6.46,3.96
1986,1986-09-21,32.245,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-09-28,32.251999999999995,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-10-05,32.259,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-10-12,32.266,1.0,1.0,100.0,15.0,1.0,0.0,158.3,0.0,0.0,15.0,35.0
1986,1986-10-19,32.273,4.0,11.0,36.36,54.0,0.0,2.0,13.3,2.0,14.0,4.91,-3.27
1986,1986-10-26,32.28,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
