Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1979,1979-12-16,24.008000000000003,,,,,,,,,,,
1980,1980-09-07,24.274,,,,,,,,,,,
1980,1980-09-14,24.281,4.0,5.0,80.0,19.0,0.0,0.0,82.5,1.0,9.0,3.8,3.8
1980,1980-09-21,24.288,,,,,,,,,,,
1980,1980-09-28,24.295,2.0,3.0,66.67,17.0,0.0,0.0,81.2,1.0,9.0,5.67,5.67
1980,1980-10-05,24.302,,,,,,,,,,,
1980,1980-10-12,24.309,,,,,,,,,,,
1980,1980-10-19,24.316,,,,,,,,,,,
1980,1980-10-26,24.323,,,,,,,,,,,
1980,1980-11-02,24.33,18.0,29.0,62.07,200.0,2.0,0.0,105.5,,,6.9,8.28
1980,1980-11-09,24.337,5.0,8.0,62.5,82.0,1.0,0.0,136.5,,,10.25,12.75
1980,1980-11-16,24.344,1.0,3.0,33.33,7.0,0.0,0.0,42.4,,,2.33,2.33
1980,1980-11-23,24.351,2.0,3.0,66.67,27.0,0.0,0.0,95.1,1.0,3.0,9.0,9.0
1980,1980-11-30,24.358,,,,,,,,,,,
1980,1980-12-07,24.365,,,,,,,,,,,
1980,1980-12-14,25.006,,,,,,,,,,,
1980,1980-12-21,25.013,0.0,0.0,,0.0,0.0,,,1.0,11.0,,
1981,1981-09-05,25.271,37.0,62.0,59.68,361.0,1.0,1.0,74.7,2.0,18.0,5.82,5.42
1981,1981-09-14,25.28,17.0,40.0,42.5,246.0,0.0,1.0,52.7,6.0,48.0,6.15,5.03
1982,1982-09-12,26.278000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-09-16,26.281999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-11-21,26.348000000000003,10.0,24.0,41.67,62.0,0.0,0.0,49.3,1.0,8.0,2.58,2.58
1982,1982-11-28,26.355,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-05,26.362,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-12,27.004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-19,27.011,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1982,1982-12-26,27.018,1.0,2.0,50.0,6.0,0.0,0.0,56.2,0.0,0.0,3.0,3.0
1982,1983-01-03,27.026,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-04,27.27,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-08,27.274,3.0,7.0,42.86,31.0,0.0,2.0,16.7,1.0,6.0,4.43,-8.43
1983,1983-09-18,27.284000000000002,16.0,33.0,48.48,205.0,0.0,0.0,68.4,3.0,19.0,6.21,6.21
1983,1983-09-25,27.291,18.0,31.0,58.06,147.0,1.0,1.0,67.5,1.0,6.0,4.74,3.94
1983,1983-10-02,27.298000000000002,17.0,39.0,43.59,272.0,2.0,3.0,52.5,1.0,0.0,6.97,4.54
