Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1979,1979-09-02,22.24,,,,,,,,,,,
1979,1979-09-09,22.247,14.0,25.0,56.0,148.0,1.0,0.0,86.7,2.0,17.0,5.92,6.72
1979,1979-09-16,22.254,11.0,27.0,40.74,138.0,0.0,4.0,17.7,6.0,41.0,5.11,-1.56
1979,1979-09-23,22.261,9.0,17.0,52.94,92.0,1.0,2.0,48.8,3.0,22.0,5.41,1.29
1979,1979-09-30,22.268,8.0,12.0,66.67,42.0,1.0,1.0,65.3,4.0,27.0,3.5,1.42
1979,1979-10-07,22.275,7.0,12.0,58.33,118.0,0.0,0.0,91.7,3.0,17.0,9.83,9.83
1979,1979-10-14,22.281999999999996,8.0,17.0,47.06,56.0,0.0,1.0,30.5,4.0,26.0,3.29,0.65
1979,1979-10-21,22.289,,,,,,,,,,,
1979,1979-10-28,22.296,12.0,20.0,60.0,92.0,0.0,1.0,50.4,1.0,11.0,4.6,2.35
1979,1979-11-04,22.303,15.0,26.0,57.69,170.0,1.0,2.0,58.2,1.0,6.0,6.54,3.85
1979,1979-11-11,22.31,9.0,20.0,45.0,89.0,0.0,1.0,37.3,5.0,27.0,4.45,2.2
1979,1979-11-18,22.316999999999997,11.0,15.0,73.33,122.0,0.0,0.0,97.1,,,8.13,8.13
1979,1979-11-25,22.324,14.0,22.0,63.64,144.0,1.0,1.0,78.6,4.0,19.0,6.55,5.41
1979,1979-12-02,22.331,10.0,23.0,43.48,137.0,1.0,0.0,77.6,,,5.96,6.83
1979,1979-12-09,22.338,11.0,21.0,52.38,90.0,0.0,0.0,63.6,1.0,7.0,4.29,4.29
1979,1979-12-16,22.345,7.0,13.0,53.85,46.0,0.0,1.0,29.6,3.0,24.0,3.54,0.08
1980,1980-09-07,23.246,16.0,28.0,57.14,196.0,1.0,3.0,51.2,5.0,33.0,7.0,2.89
1980,1980-09-14,23.253,20.0,31.0,64.52,184.0,1.0,0.0,91.3,4.0,29.0,5.94,6.58
1980,1980-09-21,23.26,15.0,26.0,57.69,193.0,1.0,0.0,93.9,4.0,36.0,7.42,8.19
1980,1980-09-28,23.267,11.0,22.0,50.0,73.0,0.0,1.0,38.6,2.0,19.0,3.32,1.27
1980,1980-10-05,23.274,6.0,11.0,54.55,65.0,0.0,1.0,34.3,1.0,20.0,5.91,1.82
1980,1980-10-12,23.281,11.0,18.0,61.11,148.0,1.0,1.0,82.6,3.0,16.0,8.22,6.83
1980,1980-10-19,23.288,14.0,20.0,70.0,189.0,2.0,0.0,133.1,1.0,6.0,9.45,11.45
1980,1980-10-26,23.295,12.0,18.0,66.67,186.0,1.0,0.0,119.2,2.0,12.0,10.33,11.44
1980,1980-11-02,23.302,15.0,29.0,51.72,216.0,0.0,1.0,61.9,10.0,66.0,7.45,5.9
1980,1980-11-09,23.309,19.0,26.0,73.08,233.0,2.0,2.0,93.9,3.0,17.0,8.96,7.04
1980,1980-11-16,23.316,15.0,22.0,68.18,135.0,0.0,0.0,84.5,5.0,27.0,6.14,6.14
1980,1980-11-23,23.323,18.0,32.0,56.25,222.0,1.0,2.0,62.2,4.0,30.0,6.94,4.75
1980,1980-11-30,23.33,21.0,37.0,56.76,210.0,0.0,1.0,61.8,5.0,37.0,5.68,4.46
1980,1980-12-07,23.337,,,,,,,,,,,
1981,1981-09-27,24.265,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-04,24.272,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-11,24.279,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-18,24.285999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-10-25,24.293000000000003,9.0,10.0,90.0,103.0,0.0,0.0,109.6,3.0,14.0,10.3,10.3
1981,1981-11-01,24.3,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
