Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1975,1975-09-21,22.059,2.0,6.0,33.33,21.0,0.0,1.0,4.9,,,3.5,-4.0
1975,1975-09-28,22.066,1.0,2.0,50.0,1.0,0.0,0.0,56.2,,,0.5,0.5
1975,1975-10-05,22.073,5.0,11.0,45.45,109.0,1.0,0.0,111.6,1.0,1.0,9.91,11.73
1975,1975-10-12,22.08,,,,,,,,,,,
1975,1975-10-19,22.087,,,,,,,,,,,
1975,1975-10-26,22.094,12.0,20.0,60.0,128.0,2.0,0.0,112.1,1.0,11.0,6.4,8.4
1975,1975-11-02,22.101,14.0,34.0,41.18,173.0,1.0,2.0,42.9,2.0,21.0,5.09,3.03
1975,1975-11-09,22.108,17.0,28.0,60.71,245.0,1.0,1.0,86.2,2.0,21.0,8.75,7.86
1975,1975-11-23,22.122,25.0,46.0,54.35,365.0,2.0,3.0,67.8,1.0,5.0,7.93,5.87
1975,1975-12-01,22.13,15.0,32.0,46.88,188.0,0.0,0.0,65.6,2.0,16.0,5.88,5.88
1975,1975-12-07,22.136,15.0,30.0,50.0,273.0,2.0,4.0,64.3,2.0,12.0,9.1,4.43
1975,1975-12-14,22.143,17.0,30.0,56.67,272.0,1.0,2.0,70.4,8.0,87.0,9.07,6.73
1975,1975-12-21,22.15,16.0,35.0,45.71,201.0,1.0,5.0,34.0,3.0,33.0,5.74,-0.11
1976,1976-09-12,23.05,12.0,22.0,54.55,179.0,0.0,4.0,41.9,2.0,11.0,8.14,-0.05
1976,1976-09-19,23.057,16.0,27.0,59.26,166.0,3.0,0.0,114.1,2.0,14.0,6.15,8.37
1976,1976-09-26,23.064,13.0,32.0,40.63,257.0,2.0,2.0,64.2,,,8.03,6.47
1976,1976-10-03,23.070999999999998,10.0,14.0,71.43,165.0,3.0,1.0,120.5,,,11.79,12.86
1976,1976-10-10,23.078000000000003,11.0,25.0,44.0,131.0,1.0,5.0,34.3,4.0,28.0,5.24,-2.96
1976,1976-10-18,23.086,14.0,23.0,60.87,182.0,1.0,1.0,82.2,2.0,28.0,7.91,6.83
1976,1976-10-24,23.092,8.0,21.0,38.1,122.0,1.0,1.0,54.1,2.0,24.0,5.81,4.62
1976,1976-10-31,23.099,10.0,31.0,32.26,112.0,0.0,1.0,30.6,1.0,16.0,3.61,2.16
1976,1976-11-07,23.105999999999998,8.0,18.0,44.44,137.0,0.0,2.0,31.2,3.0,16.0,7.61,2.61
1976,1976-11-14,23.113000000000003,12.0,17.0,70.59,137.0,1.0,0.0,114.1,1.0,16.0,8.06,9.24
1976,1976-11-21,23.12,10.0,21.0,47.62,83.0,3.0,1.0,78.0,,,3.95,4.67
1976,1976-11-28,23.127,8.0,14.0,57.14,84.0,1.0,1.0,68.8,1.0,2.0,6.0,4.21
1976,1976-12-05,23.134,9.0,23.0,39.13,108.0,2.0,0.0,83.2,,,4.7,6.43
1976,1976-12-12,23.141,4.0,14.0,28.57,40.0,0.0,1.0,9.8,,,2.86,-0.36
1977,1977-09-18,24.055999999999997,10.0,16.0,62.5,155.0,1.0,2.0,75.8,2.0,15.0,9.69,5.31
1977,1977-09-26,24.064,15.0,23.0,65.22,172.0,2.0,1.0,98.5,3.0,50.0,7.48,7.26
1977,1977-10-02,24.07,16.0,34.0,47.06,231.0,1.0,3.0,42.6,,,6.79,3.41
1977,1977-10-09,24.076999999999998,9.0,15.0,60.0,137.0,3.0,1.0,101.9,,,9.13,10.13
1977,1977-10-16,24.084,12.0,22.0,54.55,83.0,2.0,1.0,74.6,1.0,14.0,3.77,3.55
1977,1977-10-23,24.090999999999998,11.0,16.0,68.75,214.0,1.0,0.0,132.3,1.0,13.0,13.38,14.63
1977,1977-10-30,24.098000000000003,16.0,23.0,69.57,228.0,3.0,1.0,122.8,,,9.91,10.57
