Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1984,1984-10-21,22.084,,,,,,,,,,,
1985,1985-12-15,23.139,4.0,7.0,57.14,39.0,0.0,0.0,72.9,0.0,0.0,5.57,5.57
1985,1985-12-22,23.146,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
1986,1986-09-08,24.041,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1986,1986-09-14,24.046999999999997,1.0,1.0,100.0,18.0,0.0,0.0,118.7,0.0,0.0,18.0,18.0
1986,1986-09-21,24.054000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-09-29,24.061999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-10-05,24.068,24.0,44.0,54.55,271.0,1.0,3.0,52.4,5.0,46.0,6.16,3.55
1986,1986-10-12,24.075,19.0,30.0,63.33,323.0,1.0,1.0,96.9,1.0,5.0,10.77,9.93
1986,1986-10-19,24.081999999999997,18.0,31.0,58.06,244.0,1.0,2.0,67.1,1.0,6.0,7.87,5.61
1986,1986-10-26,24.089000000000002,12.0,16.0,75.0,119.0,0.0,0.0,95.6,1.0,12.0,7.44,7.44
1986,1986-11-02,24.096,28.0,38.0,73.68,339.0,1.0,0.0,109.4,5.0,35.0,8.92,9.45
1986,1986-11-09,24.103,14.0,30.0,46.67,168.0,0.0,5.0,24.7,4.0,21.0,5.6,-1.9
1986,1986-11-16,24.11,18.0,33.0,54.55,246.0,1.0,0.0,88.7,11.0,93.0,7.45,8.06
1986,1986-11-23,24.116999999999997,12.0,28.0,42.86,172.0,0.0,1.0,48.5,5.0,50.0,6.14,4.54
1986,1986-11-27,24.121,22.0,36.0,61.11,210.0,0.0,0.0,77.3,1.0,9.0,5.83,5.83
1986,1986-12-07,24.131,18.0,29.0,62.07,173.0,0.0,2.0,49.9,5.0,33.0,5.97,2.86
1986,1986-12-14,24.138,15.0,33.0,45.45,271.0,2.0,2.0,69.1,4.0,23.0,8.21,6.7
1986,1986-12-21,24.145,14.0,28.0,50.0,173.0,1.0,1.0,66.5,4.0,29.0,6.18,5.29
1987,1987-09-13,25.046,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-09-20,25.053,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-10-25,25.088,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-02,25.096,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-08,25.101999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-15,25.109,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-22,25.116,12.0,18.0,66.67,134.0,2.0,2.0,86.1,0.0,0.0,7.44,4.67
1987,1987-11-26,25.12,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-12-06,25.13,18.0,31.0,58.06,203.0,0.0,0.0,77.8,3.0,23.0,6.55,6.55
1987,1987-12-13,25.136999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-12-21,25.145,15.0,30.0,50.0,183.0,1.0,0.0,80.3,2.0,12.0,6.1,6.77
1987,1987-12-27,25.151,10.0,22.0,45.45,122.0,0.0,0.0,63.1,0.0,0.0,5.55,5.55
1988,1988-09-04,26.037,24.0,37.0,64.86,289.0,2.0,2.0,84.2,2.0,9.0,7.81,6.46
1988,1988-09-12,26.045,12.0,24.0,50.0,162.0,0.0,1.0,54.5,0.0,0.0,6.75,4.88
1988,1988-09-18,26.051,20.0,36.0,55.56,275.0,1.0,2.0,66.3,0.0,0.0,7.64,5.69
