Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1989,1989-09-24,22.296999999999997,9.0,18.0,50.0,100.0,0.0,2.0,27.3,0.0,0.0,5.56,0.56
1989,1989-10-01,22.304000000000002,13.0,24.0,54.17,190.0,1.0,2.0,59.4,0.0,0.0,7.92,5.0
1989,1989-10-08,22.311,18.0,29.0,62.07,193.0,1.0,1.0,78.7,3.0,25.0,6.66,5.79
1989,1989-10-15,22.318,23.0,36.0,63.89,294.0,1.0,2.0,75.5,4.0,24.0,8.17,6.22
1989,1989-10-22,22.325,14.0,29.0,48.28,166.0,1.0,0.0,77.7,0.0,0.0,5.72,6.41
1989,1989-10-29,22.331999999999997,21.0,49.0,42.86,264.0,1.0,2.0,50.0,0.0,0.0,5.39,3.96
1989,1989-11-05,22.339000000000002,10.0,30.0,33.33,142.0,0.0,0.0,49.6,3.0,28.0,4.73,4.73
1989,1989-11-23,22.357,2.0,4.0,50.0,22.0,0.0,0.0,66.7,1.0,7.0,5.5,5.5
1990,1990-09-16,23.289,4.0,9.0,44.44,40.0,0.0,0.0,57.6,0.0,0.0,4.44,4.44
1990,1990-10-14,23.316999999999997,15.0,26.0,57.69,243.0,3.0,1.0,111.5,0.0,0.0,9.35,9.92
1990,1990-10-21,23.324,22.0,39.0,56.41,292.0,1.0,1.0,78.2,4.0,33.0,7.49,6.85
1990,1990-10-28,23.331,19.0,27.0,70.37,120.0,1.0,3.0,52.0,2.0,11.0,4.44,0.19
1990,1990-11-04,23.338,8.0,17.0,47.06,101.0,0.0,0.0,66.1,0.0,0.0,5.94,5.94
1990,1990-11-11,23.345,7.0,13.0,53.85,84.0,1.0,1.0,67.5,0.0,0.0,6.46,4.54
1990,1990-11-18,23.351999999999997,23.0,38.0,60.53,274.0,2.0,2.0,78.2,0.0,0.0,7.21,5.89
1990,1990-11-25,23.359,22.0,37.0,59.46,181.0,1.0,1.0,69.8,1.0,8.0,4.89,4.22
1990,1990-12-02,24.000999999999998,18.0,27.0,66.67,177.0,0.0,0.0,85.0,1.0,7.0,6.56,6.56
1990,1990-12-09,24.008000000000003,13.0,26.0,50.0,117.0,1.0,2.0,43.3,1.0,7.0,4.5,1.81
1990,1990-12-16,24.015,8.0,26.0,30.77,95.0,0.0,0.0,42.9,0.0,0.0,3.65,3.65
1990,1990-12-23,24.022,9.0,25.0,36.0,112.0,1.0,2.0,30.7,1.0,10.0,4.48,1.68
1990,1990-12-31,24.03,11.0,26.0,42.31,174.0,1.0,0.0,78.0,0.0,0.0,6.69,7.46
1991,1991-10-13,24.316,8.0,17.0,47.06,96.0,1.0,0.0,84.4,0.0,0.0,5.65,6.82
1991,1991-10-20,24.323,19.0,31.0,61.29,205.0,1.0,2.0,64.6,0.0,0.0,6.61,4.35
1991,1991-11-03,24.337,17.0,33.0,51.52,269.0,2.0,1.0,86.6,0.0,0.0,8.15,8.0
1991,1991-11-10,24.344,10.0,25.0,40.0,116.0,1.0,1.0,51.4,1.0,7.0,4.64,3.64
1991,1991-11-17,24.351,21.0,34.0,61.76,203.0,2.0,1.0,85.8,1.0,10.0,5.97,5.82
1991,1991-11-24,24.358,15.0,34.0,44.12,194.0,0.0,1.0,50.4,0.0,0.0,5.71,4.38
1991,1991-12-01,25.0,25.0,42.0,59.52,317.0,2.0,0.0,99.0,0.0,0.0,7.55,8.5
1991,1991-12-08,25.006999999999998,26.0,39.0,66.67,238.0,2.0,0.0,100.2,1.0,9.0,6.1,7.13
1993,1993-12-26,27.025,5.0,11.0,45.45,78.0,0.0,2.0,29.9,0.0,0.0,7.09,-1.09
1993,1994-01-02,27.031999999999996,15.0,27.0,55.56,193.0,2.0,1.0,87.4,0.0,0.0,7.15,6.96
1994,1994-09-25,27.298000000000002,14.0,24.0,58.33,143.0,0.0,0.0,75.5,4.0,21.0,5.96,5.96
1994,1994-10-02,27.305,19.0,28.0,67.86,160.0,1.0,1.0,79.5,2.0,10.0,5.71,4.82
1994,1994-10-09,27.311999999999998,16.0,26.0,61.54,174.0,1.0,0.0,94.1,0.0,0.0,6.69,7.46
1994,1994-10-31,27.334,16.0,25.0,64.0,140.0,1.0,1.0,75.4,0.0,0.0,5.6,4.6
1994,1994-11-06,27.34,19.0,32.0,59.38,205.0,2.0,1.0,86.1,0.0,0.0,6.41,6.25
1994,1994-11-13,27.346999999999998,18.0,27.0,66.67,188.0,0.0,0.0,86.7,0.0,0.0,6.96,6.96
1994,1994-11-20,27.354,25.0,31.0,80.65,185.0,1.0,1.0,88.8,2.0,8.0,5.97,5.16
1994,1994-11-27,27.361,15.0,28.0,53.57,186.0,1.0,2.0,56.5,0.0,0.0,6.64,4.14
1994,1994-12-01,28.0,24.0,33.0,72.73,233.0,2.0,1.0,99.7,1.0,1.0,7.06,6.91
1994,1994-12-11,28.01,13.0,26.0,50.0,143.0,0.0,1.0,50.6,1.0,9.0,5.5,3.77
1994,1994-12-18,28.017,12.0,25.0,48.0,135.0,1.0,0.0,77.9,0.0,0.0,5.4,6.2
