Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-11-24,24.044,16.0,27.0,59.26,167.0,0.0,0.0,77.2,6.0,48.0,6.19,6.19
1985,1985-12-01,24.051,8.0,17.0,47.06,53.0,0.0,1.0,29.8,5.0,42.0,3.12,0.47
1985,1985-12-08,24.058000000000003,13.0,32.0,40.63,187.0,1.0,3.0,31.6,3.0,11.0,5.84,2.25
1985,1985-12-15,24.065,14.0,25.0,56.0,251.0,1.0,2.0,70.6,2.0,21.0,10.04,7.24
1985,1985-12-22,24.072,21.0,37.0,56.76,277.0,1.0,2.0,67.1,5.0,36.0,7.49,5.59
1986,1986-09-21,24.345,6.0,15.0,40.0,39.0,0.0,0.0,47.9,1.0,15.0,2.6,2.6
1986,1986-09-28,24.351999999999997,12.0,21.0,57.14,160.0,1.0,1.0,77.5,1.0,13.0,7.62,6.43
1986,1986-10-05,24.359,8.0,20.0,40.0,83.0,0.0,0.0,52.7,4.0,23.0,4.15,4.15
1986,1986-10-12,25.000999999999998,15.0,29.0,51.72,260.0,1.0,0.0,94.0,3.0,18.0,8.97,9.66
1986,1986-10-19,25.008000000000003,11.0,15.0,73.33,143.0,0.0,0.0,102.9,3.0,23.0,9.53,9.53
1986,1986-10-26,25.015,11.0,20.0,55.0,124.0,1.0,1.0,69.6,5.0,38.0,6.2,4.95
1986,1986-11-02,25.022,14.0,24.0,58.33,193.0,0.0,0.0,84.2,3.0,22.0,8.04,8.04
1986,1986-11-09,25.029,22.0,43.0,51.16,220.0,0.0,1.0,56.3,5.0,32.0,5.12,4.07
1986,1986-11-16,25.035999999999998,20.0,35.0,57.14,234.0,1.0,2.0,63.3,6.0,34.0,6.69,4.69
1986,1986-11-23,25.043000000000003,23.0,32.0,71.88,218.0,2.0,2.0,85.2,4.0,25.0,6.81,5.25
1986,1986-11-30,25.05,14.0,23.0,60.87,113.0,0.0,1.0,55.2,2.0,12.0,4.91,2.96
