Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-12-03,23.226,3.0,4.0,75.0,35.0,0.0,0.0,101.0,1.0,0.0,8.75,8.75
2006,2006-12-17,23.24,14.0,23.0,60.87,177.0,1.0,1.0,81.2,0.0,0.0,7.7,6.61
2006,2006-12-21,23.244,10.0,20.0,50.0,50.0,0.0,1.0,35.4,3.0,23.0,2.5,0.25
2006,2006-12-31,23.254,20.0,34.0,58.82,213.0,1.0,2.0,62.5,4.0,14.0,6.26,4.21
2007,2007-09-09,24.141,13.0,23.0,56.52,163.0,1.0,1.0,75.1,0.0,0.0,7.09,6.0
2007,2007-09-16,24.148000000000003,17.0,33.0,51.52,166.0,0.0,4.0,26.4,1.0,0.0,5.03,-0.42
2007,2007-10-14,24.176,9.0,23.0,39.13,136.0,1.0,0.0,73.8,1.0,3.0,5.91,6.78
2007,2007-10-21,24.183000000000003,6.0,19.0,31.58,72.0,0.0,0.0,44.2,3.0,7.0,3.79,3.79
2007,2007-11-04,24.197,6.0,12.0,50.0,63.0,0.0,0.0,65.6,0.0,0.0,5.25,5.25
2007,2007-11-18,24.211,17.0,22.0,77.27,171.0,0.0,1.0,79.9,3.0,15.0,7.77,5.73
2007,2007-11-25,24.218000000000004,10.0,12.0,83.33,129.0,1.0,0.0,139.2,4.0,5.0,10.75,12.42
2007,2007-12-02,24.225,18.0,24.0,75.0,204.0,2.0,1.0,110.4,1.0,4.0,8.5,8.29
2007,2007-12-09,24.232,16.0,25.0,64.0,163.0,1.0,0.0,95.9,0.0,0.0,6.52,7.32
2007,2007-12-17,24.24,18.0,29.0,62.07,249.0,0.0,3.0,50.0,2.0,13.0,8.59,3.93
2007,2007-12-23,24.246,25.0,41.0,60.98,220.0,1.0,2.0,63.1,1.0,8.0,5.37,3.66
2007,2007-12-30,24.253,16.0,31.0,51.61,175.0,2.0,0.0,90.1,3.0,15.0,5.65,6.94
2008,2008-09-08,25.14,16.0,35.0,45.71,178.0,1.0,1.0,59.0,1.0,10.0,5.09,4.37
2008,2008-09-14,25.146,14.0,24.0,58.33,130.0,0.0,0.0,73.3,2.0,10.0,5.42,5.42
2008,2008-09-28,25.16,1.0,1.0,100.0,8.0,0.0,0.0,100.0,2.0,12.0,8.0,8.0
2008,2008-10-06,25.168000000000003,,,,,,,,0.0,,,
2008,2008-11-23,25.215999999999998,,,,,,,,0.0,,,
2008,2008-12-07,25.23,8.0,10.0,80.0,105.0,1.0,0.0,143.7,1.0,0.0,10.5,12.5
2008,2008-12-14,25.237,11.0,17.0,64.71,163.0,4.0,0.0,135.5,3.0,6.0,9.59,14.29
2008,2008-12-21,25.244,22.0,36.0,61.11,233.0,2.0,0.0,98.5,3.0,38.0,6.47,7.58
2008,2008-12-28,25.250999999999998,16.0,26.0,61.54,239.0,1.0,1.0,88.5,2.0,21.0,9.19,8.23
2009,2009-09-13,26.145,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
