Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2014,2014-09-21,21.315,12.0,20.0,60.0,150.0,0.0,0.0,83.3,2.0,15.0,7.5,7.5
2014,2014-09-28,21.322,19.0,30.0,63.33,317.0,0.0,0.0,98.9,0.0,0.0,10.57,10.57
2014,2014-10-12,21.336,23.0,37.0,62.16,188.0,0.0,3.0,41.3,8.0,45.0,5.08,1.43
2014,2014-10-19,21.343000000000004,15.0,26.0,57.69,157.0,1.0,2.0,56.1,5.0,39.0,6.04,3.35
2014,2014-10-26,21.35,24.0,42.0,57.14,241.0,1.0,0.0,81.5,1.0,6.0,5.74,6.21
2014,2014-11-02,21.357,26.0,42.0,61.9,268.0,1.0,0.0,88.2,2.0,16.0,6.38,6.86
2014,2014-11-16,22.006,18.0,28.0,64.29,158.0,1.0,1.0,76.2,2.0,11.0,5.64,4.75
2014,2014-11-23,22.013,21.0,37.0,56.76,210.0,2.0,1.0,79.8,2.0,14.0,5.68,5.54
2014,2014-11-30,22.02,15.0,21.0,71.43,138.0,2.0,0.0,120.7,3.0,20.0,6.57,8.48
2014,2014-12-07,22.026999999999997,19.0,27.0,70.37,309.0,2.0,1.0,117.7,3.0,12.0,11.44,11.26
2014,2014-12-14,22.034000000000002,31.0,41.0,75.61,315.0,1.0,2.0,84.9,4.0,31.0,7.68,5.98
2014,2014-12-21,22.041,19.0,26.0,73.08,259.0,2.0,1.0,114.1,4.0,21.0,9.96,9.77
2014,2014-12-28,22.048000000000002,17.0,25.0,68.0,209.0,1.0,1.0,90.2,3.0,19.0,8.36,7.36
2015,2015-09-14,22.308000000000003,23.0,32.0,71.88,231.0,0.0,1.0,79.0,5.0,54.0,7.22,5.81
2015,2015-09-20,22.314,14.0,18.0,77.78,153.0,1.0,0.0,120.6,1.0,2.0,8.5,9.61
2015,2015-09-27,22.320999999999998,13.0,24.0,54.17,121.0,0.0,1.0,50.9,0.0,0.0,5.04,3.17
2015,2015-10-04,22.328000000000003,27.0,41.0,65.85,269.0,1.0,0.0,92.4,7.0,57.0,6.56,7.05
2015,2015-10-18,22.342,17.0,31.0,54.84,249.0,1.0,2.0,65.1,2.0,12.0,8.03,5.77
2015,2015-10-25,22.349,25.0,35.0,71.43,316.0,2.0,0.0,118.3,4.0,31.0,9.03,10.17
2015,2015-11-01,22.355999999999998,17.0,30.0,56.67,187.0,1.0,1.0,72.5,1.0,7.0,6.23,5.4
2015,2015-11-08,22.363000000000003,13.0,21.0,61.9,144.0,0.0,1.0,62.4,0.0,0.0,6.86,4.71
2015,2015-11-15,23.005,14.0,22.0,63.64,140.0,1.0,0.0,96.8,4.0,18.0,6.36,7.27
2015,2015-11-22,23.011999999999997,25.0,37.0,67.57,296.0,1.0,0.0,100.7,6.0,48.0,8.0,8.54
2015,2015-11-29,23.019000000000002,20.0,28.0,71.43,174.0,0.0,1.0,72.6,0.0,0.0,6.21,4.61
2015,2015-12-06,23.026,17.0,28.0,60.71,118.0,0.0,1.0,55.4,4.0,24.0,4.21,2.61
2015,2015-12-10,23.03,25.0,36.0,69.44,335.0,1.0,0.0,108.0,3.0,18.0,9.31,9.86
2015,2015-12-20,23.04,17.0,20.0,85.0,231.0,4.0,0.0,154.4,1.0,10.0,11.55,15.55
2015,2015-12-27,23.046999999999997,15.0,25.0,60.0,168.0,1.0,0.0,93.4,3.0,18.0,6.72,7.52
2015,2016-01-03,23.054000000000002,10.0,19.0,52.63,99.0,0.0,1.0,45.7,3.0,8.0,5.21,2.84
2017,2017-12-17,25.037,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
2018,2018-10-08,25.331999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-10-28,25.351999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-11-11,26.000999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2018,2018-11-18,26.008000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-12-30,26.05,14.0,22.0,63.64,118.0,1.0,1.0,73.7,2.0,8.0,5.36,4.23
2019,2019-09-15,26.309,17.0,30.0,56.67,165.0,0.0,0.0,72.2,2.0,16.0,5.5,5.5
2019,2019-09-22,26.316,19.0,27.0,70.37,177.0,2.0,0.0,112.7,0.0,0.0,6.56,8.04
2019,2019-09-29,26.323,23.0,30.0,76.67,193.0,0.0,1.0,78.9,5.0,44.0,6.43,4.93
2019,2019-10-06,26.33,26.0,34.0,76.47,314.0,4.0,1.0,131.2,0.0,0.0,9.24,10.26
2019,2019-10-13,26.337,24.0,36.0,66.67,240.0,1.0,0.0,94.7,3.0,18.0,6.67,7.22
2019,2019-10-20,26.344,23.0,38.0,60.53,281.0,2.0,0.0,100.9,1.0,8.0,7.39,8.45
2019,2019-10-27,26.351,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2019,2019-12-16,27.035999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2019,2019-12-29,27.049,1.0,1.0,100.0,14.0,0.0,0.0,118.7,1.0,3.0,14.0,14.0
2020,2020-09-13,27.308000000000003,22.0,34.0,64.71,269.0,1.0,0.0,98.8,1.0,10.0,7.91,8.5
2020,2020-09-20,27.315,33.0,42.0,78.57,367.0,0.0,2.0,83.2,5.0,27.0,8.74,6.6
2020,2020-09-27,27.322,22.0,28.0,78.57,235.0,1.0,0.0,113.5,2.0,14.0,8.39,9.11
2020,2020-10-04,27.329,26.0,37.0,70.27,276.0,2.0,1.0,98.5,0.0,0.0,7.46,7.32
2020,2020-10-11,27.336,27.0,36.0,75.0,313.0,2.0,0.0,119.3,0.0,0.0,8.69,9.81
2020,2020-10-18,27.343000000000004,16.0,29.0,55.17,216.0,0.0,2.0,50.4,4.0,25.0,7.45,4.34
2020,2020-10-25,27.35,23.0,28.0,82.14,254.0,2.0,0.0,128.3,1.0,8.0,9.07,10.5
2020,2020-10-29,27.354,15.0,23.0,65.22,176.0,1.0,1.0,84.7,3.0,22.0,7.65,6.57
2020,2020-11-08,27.364,36.0,49.0,73.47,310.0,2.0,0.0,103.3,2.0,7.0,6.33,7.14
2020,2020-11-15,28.005,18.0,24.0,75.0,136.0,2.0,1.0,98.6,1.0,5.0,5.67,5.46
2020,2020-11-29,28.019000000000002,19.0,36.0,52.78,267.0,1.0,1.0,74.7,0.0,0.0,7.42,6.72
2020,2020-12-13,28.033,30.0,40.0,75.0,283.0,0.0,0.0,94.1,4.0,38.0,7.08,7.08
2020,2020-12-19,28.039,21.0,35.0,60.0,258.0,0.0,0.0,82.8,3.0,9.0,7.37,7.37
2020,2020-12-27,28.046999999999997,19.0,28.0,67.86,197.0,1.0,1.0,85.0,4.0,30.0,7.04,6.14
