Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1970,1970-09-20,22.018,4.0,16.0,25.0,70.0,0.0,1.0,19.3,2.0,10.0,4.38,1.56
1970,1970-09-27,22.025,13.0,26.0,50.0,211.0,0.0,1.0,61.5,3.0,33.0,8.12,6.38
1970,1970-10-03,22.031,13.0,29.0,44.83,207.0,0.0,3.0,29.6,7.0,78.0,7.14,2.48
1970,1970-10-11,22.039,3.0,12.0,25.0,24.0,0.0,0.0,39.6,1.0,12.0,2.0,2.0
1970,1970-10-18,22.046,8.0,17.0,47.06,208.0,1.0,3.0,72.3,3.0,30.0,12.24,5.47
1970,1970-10-25,22.053,12.0,27.0,44.44,138.0,1.0,4.0,33.2,5.0,44.0,5.11,-0.81
1970,1970-11-02,22.061,4.0,12.0,33.33,40.0,0.0,0.0,43.7,,,3.33,3.33
1970,1970-11-15,22.074,8.0,19.0,42.11,74.0,1.0,3.0,31.4,1.0,10.0,3.89,-2.16
1970,1970-11-22,22.081,8.0,19.0,42.11,101.0,0.0,3.0,19.7,,,5.32,-1.79
1970,1970-11-29,22.088,4.0,9.0,44.44,197.0,2.0,0.0,130.8,1.0,9.0,21.89,26.33
1970,1970-12-06,22.095,3.0,20.0,15.0,110.0,1.0,4.0,27.1,,,5.5,-2.5
1970,1970-12-13,22.101999999999997,3.0,12.0,25.0,30.0,0.0,2.0,0.0,2.0,16.0,2.5,-5.0
1970,1970-12-20,22.109,0.0,0.0,,0.0,0.0,0.0,,,,,
1971,1971-09-19,23.017,10.0,24.0,41.67,129.0,0.0,4.0,19.6,,,5.38,-2.13
1971,1971-09-26,23.024,18.0,30.0,60.0,249.0,2.0,1.0,95.0,5.0,41.0,8.3,8.13
1971,1971-10-03,23.031,15.0,24.0,62.5,175.0,0.0,0.0,84.5,3.0,18.0,7.29,7.29
1971,1971-10-10,23.038,12.0,27.0,44.44,126.0,2.0,1.0,67.8,3.0,24.0,4.67,4.48
1971,1971-10-18,23.046,20.0,39.0,51.28,269.0,0.0,2.0,52.2,2.0,18.0,6.9,4.59
1971,1971-10-24,23.052,21.0,32.0,65.63,279.0,0.0,3.0,54.0,1.0,9.0,8.72,4.5
1971,1971-10-31,23.059,20.0,35.0,57.14,187.0,1.0,1.0,69.6,3.0,32.0,5.34,4.63
1971,1971-11-07,23.066,4.0,11.0,36.36,70.0,0.0,1.0,21.0,,,6.36,2.27
1971,1971-11-14,23.073,25.0,36.0,69.44,253.0,3.0,2.0,93.9,4.0,34.0,7.03,6.19
1971,1971-11-21,23.08,12.0,20.0,60.0,75.0,1.0,0.0,84.4,1.0,15.0,3.75,4.75
1971,1971-11-28,23.087,6.0,17.0,35.29,68.0,0.0,0.0,48.2,3.0,25.0,4.0,4.0
1971,1971-12-05,23.094,14.0,31.0,45.16,111.0,0.0,3.0,15.1,5.0,52.0,3.58,-0.77
1971,1971-12-12,23.101,6.0,13.0,46.15,105.0,2.0,0.0,113.8,,,8.08,11.15
1971,1971-12-19,23.108,20.0,34.0,58.82,163.0,2.0,4.0,51.1,3.0,19.0,4.79,0.68
1972,1972-09-17,24.015,7.0,17.0,41.18,124.0,1.0,3.0,46.8,3.0,18.0,7.29,0.53
1972,1972-09-24,24.022,18.0,34.0,52.94,170.0,0.0,0.0,67.0,4.0,39.0,5.0,5.0
1972,1972-10-01,24.029,25.0,40.0,62.5,229.0,1.0,1.0,75.9,2.0,20.0,5.73,5.1
1972,1972-10-08,24.035999999999998,12.0,39.0,30.77,166.0,0.0,1.0,34.8,3.0,24.0,4.26,3.1
1972,1972-10-15,24.043000000000003,9.0,19.0,47.37,70.0,1.0,0.0,74.5,3.0,24.0,3.68,4.74
1972,1972-10-22,24.05,7.0,11.0,63.64,173.0,1.0,0.0,137.5,1.0,11.0,15.73,17.55
1972,1972-10-29,24.057,9.0,17.0,52.94,93.0,1.0,1.0,64.1,,,5.47,4.0
1972,1972-11-05,24.064,10.0,20.0,50.0,190.0,3.0,0.0,122.9,2.0,10.0,9.5,12.5
1972,1972-11-12,24.070999999999998,8.0,20.0,40.0,92.0,0.0,3.0,15.0,2.0,12.0,4.6,-2.15
1972,1972-11-19,24.078000000000003,10.0,21.0,47.62,136.0,1.0,1.0,64.8,4.0,33.0,6.48,5.29
1972,1972-11-26,24.085,7.0,19.0,36.84,93.0,1.0,1.0,48.8,1.0,7.0,4.89,3.58
1972,1972-12-03,24.092,9.0,17.0,52.94,162.0,1.0,0.0,105.5,1.0,9.0,9.53,10.71
1972,1972-12-10,24.099,4.0,11.0,36.36,37.0,0.0,0.0,46.4,1.0,9.0,3.36,3.36
1972,1972-12-17,24.105999999999998,12.0,23.0,52.17,152.0,1.0,1.0,69.5,2.0,21.0,6.61,5.52
1973,1973-09-16,25.014,15.0,23.0,65.22,154.0,2.0,1.0,95.2,,,6.7,6.48
1973,1973-09-23,25.021,5.0,14.0,35.71,140.0,1.0,1.0,67.6,3.0,20.0,10.0,8.21
1973,1973-09-30,25.028000000000002,9.0,17.0,52.94,159.0,1.0,2.0,65.2,3.0,29.0,9.35,5.24
1973,1973-10-07,25.035,7.0,16.0,43.75,99.0,1.0,1.0,59.1,1.0,13.0,6.19,4.63
1973,1973-10-14,25.041999999999998,9.0,14.0,64.29,106.0,0.0,1.0,57.4,4.0,39.0,7.57,4.36
1973,1973-10-21,25.049,8.0,18.0,44.44,119.0,0.0,1.0,43.5,1.0,6.0,6.61,4.11
1973,1973-10-28,25.055999999999997,3.0,7.0,42.86,37.0,0.0,1.0,20.2,2.0,8.0,5.29,-1.14
1973,1973-12-03,25.092,14.0,35.0,40.0,117.0,2.0,3.0,32.7,4.0,27.0,3.34,0.63
1973,1973-12-09,25.098000000000003,11.0,20.0,55.0,117.0,2.0,4.0,66.0,2.0,15.0,5.85,-1.15
1973,1973-12-15,25.104,8.0,16.0,50.0,135.0,1.0,0.0,99.7,4.0,29.0,8.44,9.69
1974,1974-09-29,26.026999999999997,1.0,2.0,50.0,11.0,0.0,1.0,27.1,,,5.5,-17.0
1974,1974-10-28,26.055999999999997,9.0,21.0,42.86,130.0,0.0,2.0,24.0,1.0,10.0,6.19,1.9
1974,1974-11-03,26.061999999999998,12.0,22.0,54.55,146.0,1.0,0.0,90.3,1.0,9.0,6.64,7.55
1974,1974-11-10,26.069000000000003,13.0,35.0,37.14,140.0,0.0,1.0,37.8,1.0,12.0,4.0,2.71
1974,1974-11-25,26.084,8.0,19.0,42.11,80.0,2.0,2.0,50.2,2.0,18.0,4.21,1.58
1974,1974-12-01,26.09,6.0,20.0,30.0,60.0,1.0,1.0,35.4,3.0,38.0,3.0,1.75
1974,1974-12-08,26.096999999999998,10.0,16.0,62.5,86.0,1.0,1.0,71.4,2.0,17.0,5.38,3.81
1974,1974-12-14,26.103,8.0,13.0,61.54,132.0,2.0,0.0,135.3,,,10.15,13.23
1975,1975-09-21,27.019000000000002,21.0,28.0,75.0,227.0,2.0,0.0,122.2,1.0,8.0,8.11,9.54
1975,1975-09-28,27.026,3.0,8.0,37.5,69.0,0.0,1.0,29.7,4.0,38.0,8.63,3.0
1975,1975-10-05,27.033,7.0,8.0,87.5,151.0,1.0,0.0,158.3,1.0,5.0,18.88,21.38
1975,1975-10-12,27.04,16.0,26.0,61.54,191.0,2.0,0.0,109.6,1.0,1.0,7.35,8.88
1975,1975-10-19,27.046999999999997,11.0,22.0,50.0,146.0,0.0,0.0,71.4,2.0,20.0,6.64,6.64
1975,1975-10-26,27.054000000000002,12.0,22.0,54.55,84.0,0.0,0.0,63.4,,,3.82,3.82
1975,1975-11-02,27.061,13.0,24.0,54.17,164.0,2.0,2.0,68.7,3.0,34.0,6.83,4.75
1975,1975-11-09,27.068,17.0,28.0,60.71,219.0,3.0,1.0,106.1,5.0,50.0,7.82,8.36
1975,1975-11-16,27.075,16.0,24.0,66.67,204.0,2.0,1.0,103.5,2.0,23.0,8.5,8.29
1975,1975-11-24,27.083000000000002,13.0,16.0,81.25,168.0,1.0,2.0,91.7,3.0,29.0,10.5,6.13
1975,1975-11-30,27.089000000000002,9.0,22.0,40.91,120.0,2.0,0.0,89.2,2.0,7.0,5.45,7.27
1975,1975-12-07,27.096,11.0,25.0,44.0,135.0,2.0,0.0,87.9,4.0,37.0,5.4,7.0
1975,1975-12-13,27.101999999999997,13.0,23.0,56.52,149.0,1.0,1.0,72.6,1.0,21.0,6.48,5.39
1975,1975-12-20,27.109,3.0,10.0,30.0,28.0,0.0,1.0,0.0,2.0,17.0,2.8,-1.7
1976,1976-09-12,28.01,15.0,27.0,55.56,253.0,1.0,1.0,84.3,2.0,11.0,9.37,8.44
