Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-09-12,22.043000000000003,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,-15.0
1999,1999-09-19,22.05,12.0,24.0,50.0,134.0,1.0,0.0,80.9,7.0,44.0,5.58,6.42
1999,1999-09-26,22.057,13.0,32.0,40.63,123.0,1.0,1.0,49.3,4.0,34.0,3.84,3.06
1999,1999-10-03,22.064,13.0,28.0,46.43,201.0,1.0,0.0,82.6,4.0,21.0,7.18,7.89
1999,1999-10-10,22.070999999999998,15.0,27.0,55.56,164.0,0.0,1.0,58.3,3.0,20.0,6.07,4.41
1999,1999-10-17,22.078000000000003,18.0,23.0,78.26,161.0,1.0,0.0,110.3,4.0,31.0,7.0,7.87
1999,1999-10-24,22.085,22.0,40.0,55.0,185.0,0.0,2.0,46.4,1.0,7.0,4.63,2.38
1999,1999-10-31,22.092,11.0,19.0,57.89,193.0,3.0,0.0,132.2,2.0,12.0,10.16,13.32
1999,1999-11-07,22.099,9.0,21.0,42.86,57.0,0.0,1.0,30.5,3.0,24.0,2.71,0.57
1999,1999-11-14,22.105999999999998,18.0,28.0,64.29,199.0,2.0,1.0,94.2,6.0,38.0,7.11,6.93
1999,1999-11-21,22.113000000000003,29.0,46.0,63.04,259.0,1.0,2.0,67.2,1.0,2.0,5.63,4.11
1999,1999-11-28,22.12,19.0,35.0,54.29,262.0,2.0,0.0,97.6,7.0,34.0,7.49,8.63
1999,1999-12-05,22.127,18.0,29.0,62.07,184.0,1.0,2.0,63.0,6.0,37.0,6.34,3.93
1999,1999-12-12,22.134,16.0,28.0,57.14,239.0,2.0,2.0,79.3,3.0,16.0,8.54,6.75
1999,1999-12-19,22.141,10.0,16.0,62.5,86.0,0.0,0.0,76.6,4.0,32.0,5.38,5.38
2000,2000-09-03,23.034000000000002,19.0,27.0,70.37,160.0,1.0,0.0,97.8,1.0,7.0,5.93,6.67
