Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2000,2000-12-03,23.263,1.0,1.0,100.0,-4.0,0.0,0.0,79.2,0.0,0.0,-4.0,-4.0
2001,2001-12-02,24.261999999999997,,,,,,,,0.0,,,
2001,2001-12-16,24.276,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2001,2002-01-06,24.296999999999997,2.0,2.0,100.0,21.0,0.0,0.0,110.4,0.0,0.0,10.5,10.5
2002,2002-09-22,25.191,5.0,9.0,55.56,41.0,0.0,0.0,67.4,1.0,2.0,4.56,4.56
2002,2002-10-06,25.205,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2002,2002-11-25,25.255,7.0,12.0,58.33,53.0,0.0,0.0,69.1,1.0,6.0,4.42,4.42
2002,2002-12-30,25.29,14.0,21.0,66.67,138.0,2.0,0.0,116.8,3.0,18.0,6.57,8.48
2003,2003-09-07,26.176,,,,,,,,0.0,,,
2003,2003-09-14,26.183000000000003,1.0,2.0,50.0,15.0,0.0,0.0,75.0,0.0,0.0,7.5,7.5
2003,2003-09-28,26.197,12.0,18.0,66.67,146.0,1.0,0.0,110.0,2.0,19.0,8.11,9.22
2003,2003-10-26,26.225,2.0,4.0,50.0,2.0,0.0,0.0,56.2,0.0,0.0,0.5,0.5
2003,2003-11-02,26.232,19.0,29.0,65.52,236.0,3.0,1.0,110.7,1.0,12.0,8.14,8.66
2003,2003-11-17,26.247,21.0,27.0,77.78,254.0,2.0,0.0,130.6,0.0,0.0,9.41,10.89
2003,2003-11-23,26.253,14.0,30.0,46.67,142.0,1.0,1.0,57.9,4.0,23.0,4.73,3.9
2003,2003-11-30,26.26,3.0,7.0,42.86,46.0,0.0,0.0,65.2,0.0,0.0,6.57,6.57
2003,2003-12-07,26.267,1.0,1.0,100.0,15.0,0.0,0.0,118.7,0.0,0.0,15.0,15.0
2003,2003-12-21,26.281,,,,,,,,0.0,,,
2003,2003-12-27,26.287,,,,,,,,0.0,,,
2004,2004-09-12,27.180999999999997,18.0,31.0,58.06,175.0,2.0,1.0,82.1,2.0,13.0,5.65,5.48
2004,2004-10-03,27.201999999999998,31.0,47.0,65.96,299.0,2.0,1.0,88.9,3.0,25.0,6.36,6.26
2004,2004-10-10,27.209,38.0,57.0,66.67,417.0,2.0,0.0,99.8,5.0,26.0,7.32,8.02
2004,2004-10-17,27.215999999999998,18.0,28.0,64.29,286.0,1.0,1.0,95.2,3.0,14.0,10.21,9.32
2004,2004-11-07,27.237,23.0,35.0,65.71,259.0,2.0,1.0,94.8,3.0,16.0,7.4,7.26
2004,2004-11-14,27.244,22.0,37.0,59.46,284.0,1.0,4.0,53.0,4.0,37.0,7.68,3.35
2004,2004-11-21,27.250999999999998,15.0,31.0,48.39,147.0,0.0,1.0,48.7,5.0,22.0,4.74,3.29
2004,2004-11-28,27.258000000000003,23.0,38.0,60.53,181.0,0.0,0.0,72.4,8.0,34.0,4.76,4.76
2004,2004-12-05,27.265,10.0,21.0,47.62,121.0,0.0,1.0,45.9,4.0,24.0,5.76,3.62
2005,2005-09-11,28.18,11.0,16.0,68.75,165.0,2.0,0.0,141.9,2.0,9.0,10.31,12.81
2005,2005-09-18,28.186999999999998,13.0,26.0,50.0,107.0,0.0,3.0,21.3,3.0,23.0,4.12,-1.08
2005,2005-09-25,28.194000000000003,21.0,34.0,61.76,269.0,3.0,2.0,91.4,2.0,3.0,7.91,7.03
2005,2005-10-02,28.201,11.0,21.0,52.38,126.0,0.0,1.0,50.9,3.0,28.0,6.0,3.86
2006,2006-12-10,29.27,9.0,13.0,69.23,83.0,0.0,0.0,86.4,0.0,0.0,6.38,6.38
2006,2006-12-17,29.276999999999997,20.0,35.0,57.14,268.0,3.0,1.0,98.3,0.0,0.0,7.66,8.09
2006,2006-12-24,29.284000000000002,16.0,26.0,61.54,212.0,0.0,1.0,71.3,3.0,10.0,8.15,6.42
2006,2006-12-31,29.291,16.0,27.0,59.26,185.0,1.0,0.0,92.4,1.0,8.0,6.85,7.59
2007,2007-10-14,30.213,12.0,24.0,50.0,159.0,0.0,3.0,31.8,0.0,0.0,6.63,1.0
2007,2007-10-21,30.22,1.0,1.0,100.0,1.0,1.0,0.0,118.7,0.0,0.0,1.0,21.0
2007,2007-11-11,30.241,1.0,1.0,100.0,2.0,1.0,0.0,118.7,0.0,0.0,2.0,22.0
2007,2007-11-25,30.255,1.0,1.0,100.0,2.0,1.0,0.0,118.7,0.0,0.0,2.0,22.0
