Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2010,2010-09-12,23.029,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-10-17,23.064,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-10-24,23.070999999999998,,,,,,,,0.0,,,
2010,2010-10-31,23.078000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-11-14,23.092,1.0,1.0,100.0,3.0,1.0,0.0,118.7,0.0,0.0,3.0,23.0
2010,2010-11-22,23.1,,,,,,,,0.0,,,
2010,2010-12-19,23.127,8.0,16.0,50.0,138.0,1.0,0.0,100.5,2.0,9.0,8.63,9.88
2010,2010-12-26,23.134,16.0,29.0,55.17,308.0,1.0,1.0,89.4,1.0,3.0,10.62,9.76
2010,2011-01-02,23.141,16.0,36.0,44.44,205.0,2.0,2.0,58.2,3.0,14.0,5.69,4.31
2011,2011-09-18,24.035,,,,,,,,,,,
2011,2011-10-02,24.049,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2011,2011-10-09,24.055999999999997,4.0,10.0,40.0,79.0,1.0,0.0,101.7,0.0,0.0,7.9,9.9
2011,2011-10-23,24.07,13.0,27.0,48.15,161.0,2.0,0.0,91.7,6.0,30.0,5.96,7.44
2011,2011-10-30,24.076999999999998,18.0,39.0,46.15,172.0,1.0,1.0,56.8,7.0,55.0,4.41,3.77
2011,2011-11-06,24.084,10.0,21.0,47.62,124.0,2.0,0.0,98.1,1.0,11.0,5.9,7.81
2011,2011-11-13,24.090999999999998,2.0,8.0,25.0,69.0,1.0,0.0,102.6,0.0,0.0,8.63,11.13
2011,2011-11-17,24.095,9.0,20.0,45.0,104.0,0.0,0.0,61.2,1.0,0.0,5.2,5.2
2011,2011-11-27,24.105,9.0,18.0,50.0,143.0,1.0,0.0,95.4,1.0,2.0,7.94,9.06
2011,2011-12-04,24.112,10.0,15.0,66.67,202.0,2.0,0.0,149.3,2.0,16.0,13.47,16.13
2011,2011-12-11,24.119,21.0,40.0,52.5,236.0,1.0,1.0,68.3,5.0,15.0,5.9,5.28
2011,2011-12-18,24.125999999999998,11.0,22.0,50.0,194.0,0.0,0.0,80.5,4.0,53.0,8.82,8.82
2011,2011-12-24,24.131999999999998,13.0,29.0,44.83,185.0,1.0,3.0,37.9,4.0,33.0,6.38,2.41
2011,2012-01-01,24.14,6.0,22.0,27.27,60.0,0.0,1.0,20.6,2.0,10.0,2.73,0.68
2012,2012-09-09,25.026,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-09-16,25.033,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-09-23,25.04,0.0,0.0,,0.0,0.0,0.0,,1.0,5.0,,
2012,2012-09-30,25.046999999999997,1.0,1.0,100.0,9.0,0.0,0.0,104.2,0.0,0.0,9.0,9.0
2012,2012-10-08,25.055,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2012,2012-10-14,25.061,1.0,1.0,100.0,23.0,0.0,0.0,118.7,0.0,0.0,23.0,23.0
2012,2012-10-21,25.068,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-10-28,25.075,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-11-11,25.089000000000002,3.0,3.0,100.0,8.0,0.0,0.0,79.2,0.0,0.0,2.67,2.67
2012,2012-11-18,25.096,1.0,1.0,100.0,-1.0,0.0,0.0,79.2,0.0,0.0,-1.0,-1.0
2012,2012-12-17,25.125,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,2.0,0.0,0.0
2012,2012-12-30,25.138,,,,,,,,,,,
