Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1989,1989-11-19,23.023000000000003,7.0,14.0,50.0,81.0,0.0,1.0,38.1,1.0,11.0,5.79,2.57
1989,1989-12-16,23.05,2.0,8.0,25.0,14.0,0.0,0.0,39.6,1.0,8.0,1.75,1.75
1990,1990-09-09,23.316999999999997,20.0,39.0,51.28,228.0,0.0,4.0,29.6,3.0,22.0,5.85,1.23
1990,1990-09-16,23.324,11.0,19.0,57.89,116.0,0.0,1.0,53.8,6.0,27.0,6.11,3.74
1990,1990-09-23,23.331,14.0,26.0,53.85,191.0,1.0,1.0,74.4,1.0,5.0,7.35,6.38
1990,1990-09-30,23.338,11.0,23.0,47.83,91.0,1.0,1.0,54.8,2.0,11.0,3.96,2.87
1990,1990-10-14,23.351999999999997,19.0,27.0,70.37,171.0,0.0,0.0,87.1,0.0,0.0,6.33,6.33
1990,1990-10-21,23.359,11.0,20.0,55.0,102.0,1.0,0.0,85.8,2.0,6.0,5.1,6.1
1990,1990-10-28,24.000999999999998,18.0,30.0,60.0,256.0,2.0,0.0,109.9,4.0,33.0,8.53,9.87
1990,1990-11-04,24.008000000000003,13.0,25.0,52.0,172.0,0.0,1.0,57.4,5.0,41.0,6.88,5.08
1990,1990-11-11,24.015,5.0,10.0,50.0,74.0,1.0,1.0,68.3,4.0,28.0,7.4,4.9
1990,1990-11-18,24.022,17.0,30.0,56.67,285.0,3.0,1.0,108.3,1.0,5.0,9.5,10.0
1990,1990-11-25,24.029,15.0,26.0,57.69,188.0,0.0,0.0,80.3,4.0,26.0,7.23,7.23
1990,1990-12-02,24.035999999999998,12.0,26.0,46.15,164.0,0.0,0.0,66.8,2.0,20.0,6.31,6.31
1990,1990-12-09,24.043000000000003,15.0,29.0,51.72,227.0,1.0,1.0,74.9,1.0,11.0,7.83,6.97
1990,1990-12-16,24.05,14.0,35.0,40.0,151.0,0.0,3.0,17.7,0.0,0.0,4.31,0.46
1990,1990-12-23,24.057,23.0,41.0,56.1,381.0,3.0,2.0,91.6,3.0,13.0,9.29,8.56
1990,1990-12-29,24.063000000000002,19.0,31.0,61.29,301.0,3.0,1.0,112.4,5.0,37.0,9.71,10.19
1992,1992-09-06,25.315,12.0,22.0,54.55,77.0,0.0,1.0,43.2,2.0,17.0,3.5,1.45
1992,1992-09-13,25.322,2.0,5.0,40.0,19.0,0.0,0.0,51.2,1.0,1.0,3.8,3.8
1992,1992-10-25,25.364,6.0,13.0,46.15,45.0,0.0,0.0,55.0,1.0,5.0,3.46,3.46
1992,1992-11-22,26.026,10.0,17.0,58.82,80.0,0.0,0.0,70.7,1.0,2.0,4.71,4.71
1992,1992-11-29,26.033,19.0,34.0,55.88,262.0,0.0,4.0,41.2,2.0,7.0,7.71,2.41
1992,1992-12-06,26.04,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-12,26.046,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-27,26.061,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
