Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1983,1983-10-02,22.219,4.0,5.0,80.0,48.0,1.0,0.0,146.2,2.0,25.0,9.6,13.6
1983,1983-10-16,22.233,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-11-20,22.268,10.0,19.0,52.63,95.0,1.0,0.0,84.3,1.0,16.0,5.0,6.05
1983,1983-12-18,22.296,6.0,10.0,60.0,116.0,1.0,0.0,133.7,1.0,9.0,11.6,13.6
1984,1984-09-02,23.19,19.0,36.0,52.78,170.0,1.0,0.0,75.0,0.0,0.0,4.72,5.28
1984,1984-09-09,23.197,18.0,35.0,51.43,280.0,2.0,1.0,85.4,3.0,31.0,8.0,7.86
1984,1984-09-16,23.204,17.0,37.0,45.95,187.0,0.0,2.0,38.9,0.0,0.0,5.05,2.62
1984,1984-09-23,23.211,23.0,48.0,47.92,295.0,0.0,2.0,50.3,1.0,8.0,6.15,4.27
1984,1984-09-30,23.218000000000004,15.0,33.0,45.45,155.0,1.0,2.0,44.4,2.0,16.0,4.7,2.58
1984,1984-10-07,23.225,15.0,25.0,60.0,150.0,1.0,0.0,90.4,2.0,25.0,6.0,6.8
1984,1984-10-14,23.232,10.0,19.0,52.63,133.0,0.0,1.0,53.2,1.0,11.0,7.0,4.63
1984,1984-11-04,23.253,8.0,17.0,47.06,54.0,0.0,3.0,15.0,0.0,0.0,3.18,-4.76
1984,1984-11-11,23.26,20.0,41.0,48.78,236.0,1.0,0.0,74.8,5.0,45.0,5.76,6.24
1984,1984-12-09,23.288,1.0,1.0,100.0,13.0,0.0,0.0,118.7,0.0,0.0,13.0,13.0
1984,1984-12-16,23.295,1.0,2.0,50.0,34.0,0.0,0.0,95.8,0.0,0.0,17.0,17.0
1985,1985-09-08,24.195,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-12,24.199,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-09-29,24.215999999999998,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-30.0
1985,1985-10-13,24.23,1.0,4.0,25.0,6.0,0.0,0.0,39.6,0.0,0.0,1.5,1.5
1985,1985-10-20,24.237,14.0,32.0,43.75,161.0,0.0,6.0,19.9,1.0,18.0,5.03,-3.41
1985,1985-10-27,24.244,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-17,24.265,10.0,20.0,50.0,77.0,0.0,0.0,59.8,1.0,7.0,3.85,3.85
1985,1985-11-24,24.272,16.0,31.0,51.61,246.0,1.0,1.0,75.5,2.0,15.0,7.94,7.13
1985,1985-12-01,24.279,16.0,30.0,53.33,180.0,0.0,3.0,31.9,5.0,31.0,6.0,1.5
1985,1985-12-08,24.285999999999998,11.0,19.0,57.89,219.0,3.0,1.0,116.0,3.0,14.0,11.53,12.32
1985,1985-12-14,24.291999999999998,14.0,26.0,53.85,158.0,1.0,1.0,69.1,3.0,27.0,6.08,5.12
1985,1985-12-22,24.3,4.0,7.0,57.14,143.0,1.0,0.0,141.4,0.0,0.0,20.43,23.29
1986,1986-09-07,25.194000000000003,13.0,28.0,46.43,190.0,1.0,1.0,66.1,5.0,45.0,6.79,5.89
1986,1986-09-14,25.201,15.0,29.0,51.72,183.0,1.0,2.0,54.2,2.0,16.0,6.31,3.9
1986,1986-09-21,25.208000000000002,6.0,23.0,26.09,160.0,1.0,0.0,70.6,6.0,43.0,6.96,7.83
1986,1986-09-28,25.215,17.0,27.0,62.96,210.0,2.0,0.0,111.7,1.0,9.0,7.78,9.26
1986,1986-10-05,25.221999999999998,9.0,21.0,42.86,77.0,1.0,1.0,49.1,3.0,26.0,3.67,2.48
1986,1986-10-12,25.229,11.0,26.0,42.31,109.0,1.0,1.0,51.6,4.0,26.0,4.19,3.23
1986,1986-10-19,25.236,6.0,15.0,40.0,69.0,1.0,1.0,49.0,2.0,8.0,4.6,2.93
1986,1986-11-16,25.264,5.0,12.0,41.67,96.0,0.0,0.0,70.1,1.0,6.0,8.0,8.0
1986,1986-12-07,25.285,14.0,29.0,48.28,106.0,2.0,0.0,80.5,1.0,13.0,3.66,5.03
1986,1986-12-21,25.299,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1987,1987-09-13,26.2,6.0,15.0,40.0,79.0,0.0,1.0,29.6,4.0,21.0,5.27,2.27
1987,1987-09-20,26.206999999999997,8.0,15.0,53.33,59.0,1.0,0.0,85.1,3.0,22.0,3.93,5.27
1987,1987-10-25,26.241999999999997,1.0,1.0,100.0,16.0,0.0,0.0,118.7,0.0,0.0,16.0,16.0
1988,1988-10-09,27.226999999999997,8.0,20.0,40.0,114.0,0.0,0.0,59.2,2.0,16.0,5.7,5.7
1988,1988-10-16,27.234,21.0,42.0,50.0,251.0,1.0,2.0,56.7,0.0,0.0,5.98,4.31
1988,1988-10-23,27.241,9.0,17.0,52.94,129.0,1.0,1.0,72.9,2.0,9.0,7.59,6.12
1989,1989-10-08,28.225,2.0,5.0,40.0,34.0,0.0,0.0,63.7,0.0,0.0,6.8,6.8
1989,1989-10-15,28.232,9.0,28.0,32.14,143.0,1.0,1.0,47.2,3.0,20.0,5.11,4.21
1989,1989-10-22,28.239,11.0,27.0,40.74,105.0,0.0,2.0,21.4,1.0,5.0,3.89,0.56
