Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1995,1995-09-03,23.302,3.0,4.0,75.0,36.0,0.0,0.0,102.1,0.0,0.0,9.0,9.0
1995,1995-09-10,23.309,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-10-08,23.337,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-10-29,23.358,1.0,5.0,20.0,3.0,0.0,0.0,39.6,0.0,0.0,0.6,0.6
1995,1995-11-26,24.021,3.0,4.0,75.0,36.0,0.0,0.0,102.1,0.0,0.0,9.0,9.0
1995,1995-12-03,24.028000000000002,1.0,1.0,100.0,7.0,0.0,0.0,95.8,1.0,3.0,7.0,7.0
1995,1995-12-24,24.049,6.0,15.0,40.0,30.0,0.0,1.0,20.1,5.0,40.0,2.0,-1.0
1996,1996-09-22,24.322,11.0,17.0,64.71,87.0,0.0,1.0,52.8,2.0,7.0,5.12,2.47
1996,1996-10-06,24.336,23.0,44.0,52.27,309.0,1.0,0.0,82.5,3.0,10.0,7.02,7.48
1996,1996-11-03,24.364,1.0,1.0,100.0,6.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
1996,1996-11-17,25.011999999999997,1.0,3.0,33.33,-4.0,0.0,1.0,2.8,0.0,0.0,-1.33,-16.33
1996,1996-11-24,25.019000000000002,6.0,10.0,60.0,91.0,1.0,0.0,123.3,0.0,0.0,9.1,11.1
1996,1996-12-01,25.026,9.0,17.0,52.94,204.0,1.0,2.0,76.2,3.0,21.0,12.0,7.88
1996,1996-12-08,25.033,4.0,7.0,57.14,46.0,1.0,1.0,77.1,3.0,15.0,6.57,3.0
1997,1997-08-31,25.299,25.0,39.0,64.1,299.0,1.0,2.0,74.6,3.0,20.0,7.67,5.87
1997,1997-09-07,25.305999999999997,15.0,22.0,68.18,210.0,3.0,2.0,100.4,2.0,17.0,9.55,8.18
1997,1997-09-14,25.313000000000002,22.0,43.0,51.16,297.0,1.0,2.0,61.9,4.0,22.0,6.91,5.28
