Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1977,1977-11-06,22.244,1.0,3.0,33.33,6.0,0.0,0.0,42.4,,,2.0,2.0
1977,1977-11-13,22.250999999999998,4.0,6.0,66.67,54.0,1.0,0.0,134.7,1.0,8.0,9.0,12.33
1977,1977-11-20,22.258000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-45.0
1977,1977-11-27,22.265,,,,,,,,,,,
1977,1977-12-04,22.272,9.0,13.0,69.23,188.0,3.0,0.0,151.4,1.0,7.0,14.46,19.08
1977,1977-12-11,22.279,16.0,34.0,47.06,177.0,1.0,3.0,36.0,4.0,30.0,5.21,1.82
1978,1978-09-11,23.188000000000002,2.0,7.0,28.57,22.0,0.0,0.0,40.2,,,3.14,3.14
1978,1978-09-17,23.194000000000003,2.0,6.0,33.33,9.0,0.0,1.0,2.8,,,1.5,-6.0
1978,1978-10-15,23.221999999999998,1.0,3.0,33.33,19.0,0.0,0.0,56.2,1.0,11.0,6.33,6.33
1978,1978-12-09,23.276999999999997,,,,,,,,,,,
1979,1979-09-02,24.179000000000002,21.0,34.0,61.76,297.0,4.0,0.0,129.2,1.0,10.0,8.74,11.09
1979,1979-09-09,24.186,10.0,19.0,52.63,117.0,0.0,1.0,49.7,5.0,46.0,6.16,3.79
1979,1979-09-16,24.193,14.0,25.0,56.0,117.0,0.0,3.0,28.7,1.0,11.0,4.68,-0.72
1979,1979-09-23,24.2,19.0,26.0,73.08,245.0,2.0,2.0,95.8,5.0,30.0,9.42,7.5
1979,1979-09-30,24.206999999999997,13.0,23.0,56.52,167.0,0.0,2.0,43.2,3.0,17.0,7.26,3.35
1979,1979-10-07,24.214000000000002,18.0,34.0,52.94,206.0,2.0,0.0,91.1,3.0,27.0,6.06,7.24
1979,1979-10-15,24.221999999999998,28.0,48.0,58.33,270.0,0.0,4.0,39.4,1.0,14.0,5.63,1.88
1979,1979-10-21,24.228,19.0,43.0,44.19,218.0,4.0,1.0,81.3,1.0,5.0,5.07,5.88
1979,1979-10-28,24.235,22.0,36.0,61.11,223.0,1.0,1.0,76.5,4.0,4.0,6.19,5.5
1979,1979-11-04,24.241999999999997,27.0,49.0,55.1,273.0,1.0,3.0,52.5,1.0,10.0,5.57,3.22
1979,1979-11-11,24.249000000000002,27.0,38.0,71.05,262.0,1.0,2.0,76.9,5.0,32.0,6.89,5.05
1979,1979-11-18,24.256,14.0,30.0,46.67,135.0,0.0,0.0,59.7,1.0,14.0,4.5,4.5
1979,1979-11-25,24.263,15.0,26.0,57.69,158.0,3.0,0.0,113.9,,,6.08,8.38
1979,1979-12-02,24.27,21.0,42.0,50.0,297.0,3.0,3.0,67.3,5.0,29.0,7.07,5.29
1979,1979-12-09,24.276999999999997,12.0,32.0,37.5,104.0,1.0,1.0,44.3,,,3.25,2.47
1979,1979-12-16,24.284000000000002,35.0,61.0,57.38,308.0,1.0,1.0,69.6,,,5.05,4.64
1980,1980-09-07,25.184,30.0,42.0,71.43,395.0,3.0,1.0,114.7,3.0,24.0,9.4,9.76
1980,1980-09-14,25.191,16.0,39.0,41.03,178.0,1.0,1.0,53.2,2.0,13.0,4.56,3.92
1980,1980-09-21,25.198,8.0,17.0,47.06,151.0,1.0,1.0,73.4,5.0,30.0,8.88,7.41
1980,1980-09-28,25.205,19.0,31.0,61.29,221.0,1.0,5.0,54.0,2.0,12.0,7.13,0.52
1980,1980-10-05,25.212,18.0,36.0,50.0,214.0,1.0,5.0,38.2,1.0,3.0,5.94,0.25
1980,1980-10-12,25.219,15.0,32.0,46.88,155.0,0.0,1.0,48.3,2.0,11.0,4.84,3.44
1980,1980-10-19,25.226,13.0,25.0,52.0,130.0,0.0,2.0,33.7,3.0,17.0,5.2,1.6
1980,1980-10-26,25.233,19.0,38.0,50.0,222.0,0.0,1.0,57.1,2.0,10.0,5.84,4.66
1980,1980-11-09,25.247,22.0,32.0,68.75,295.0,2.0,0.0,118.6,4.0,31.0,9.22,10.47
1980,1980-11-16,25.254,24.0,37.0,64.86,324.0,2.0,0.0,110.6,2.0,5.0,8.76,9.84
1980,1980-11-23,25.261,16.0,31.0,51.61,174.0,0.0,0.0,68.5,3.0,11.0,5.61,5.61
1980,1980-11-30,25.268,13.0,29.0,44.83,137.0,1.0,2.0,41.9,3.0,22.0,4.72,2.31
1980,1980-12-07,25.275,22.0,31.0,70.97,264.0,1.0,0.0,107.5,3.0,17.0,8.52,9.16
1980,1980-12-14,25.281999999999996,38.0,49.0,77.55,456.0,4.0,0.0,132.7,1.0,1.0,9.31,10.94
1980,1980-12-21,25.289,26.0,53.0,49.06,266.0,2.0,4.0,45.0,1.0,7.0,5.02,2.38
1981,1981-09-20,26.197,25.0,42.0,59.52,333.0,2.0,2.0,80.8,2.0,21.0,7.93,6.74
1981,1981-09-27,26.204,19.0,34.0,55.88,253.0,2.0,0.0,99.3,0.0,0.0,7.44,8.62
1981,1981-10-04,26.211,20.0,38.0,52.63,223.0,2.0,1.0,77.0,1.0,12.0,5.87,5.74
1981,1981-10-11,26.218000000000004,27.0,43.0,62.79,444.0,4.0,2.0,109.1,1.0,11.0,10.33,10.09
1981,1981-10-18,26.225,24.0,46.0,52.17,257.0,4.0,0.0,97.8,2.0,17.0,5.59,7.33
1981,1981-10-25,26.232,25.0,55.0,45.45,343.0,2.0,2.0,62.9,3.0,25.0,6.24,5.33
1981,1981-11-02,26.24,22.0,36.0,61.11,230.0,0.0,1.0,68.1,1.0,7.0,6.39,5.14
1981,1981-11-08,26.246,24.0,41.0,58.54,228.0,1.0,2.0,61.8,1.0,7.0,5.56,3.85
1981,1981-11-15,26.253,19.0,40.0,47.5,287.0,1.0,0.0,79.9,0.0,0.0,7.18,7.68
1981,1981-11-23,26.261,24.0,47.0,51.06,330.0,4.0,4.0,66.8,0.0,0.0,7.02,4.89
1981,1981-11-29,26.267,38.0,55.0,69.09,384.0,2.0,5.0,63.0,1.0,8.0,6.98,3.62
1981,1981-12-06,26.274,21.0,36.0,58.33,268.0,1.0,2.0,67.8,2.0,14.0,7.44,5.5
1981,1981-12-12,26.28,17.0,42.0,40.48,155.0,1.0,2.0,39.3,3.0,11.0,3.69,2.02
1981,1981-12-20,26.288,17.0,38.0,44.74,177.0,0.0,1.0,47.8,2.0,16.0,4.66,3.47
1982,1982-09-12,27.189,16.0,28.0,57.14,131.0,1.0,0.0,81.1,3.0,16.0,4.68,5.39
1982,1982-09-16,27.193,20.0,46.0,43.48,265.0,2.0,1.0,67.8,1.0,7.0,5.76,5.65
1982,1982-11-21,27.259,9.0,17.0,52.94,111.0,0.0,0.0,73.4,1.0,6.0,6.53,6.53
1982,1982-11-28,27.266,26.0,35.0,74.29,342.0,5.0,2.0,120.5,3.0,21.0,9.77,10.06
1982,1982-12-05,27.273000000000003,16.0,28.0,57.14,127.0,0.0,3.0,29.0,5.0,38.0,4.54,-0.29
1982,1982-12-12,27.28,19.0,35.0,54.29,258.0,1.0,1.0,75.7,0.0,0.0,7.37,6.66
1982,1982-12-19,27.287,20.0,29.0,68.97,233.0,3.0,0.0,127.5,4.0,17.0,8.03,10.1
1982,1982-12-26,27.294,32.0,56.0,57.14,328.0,1.0,3.0,57.7,1.0,5.0,5.86,3.8
1982,1983-01-03,27.302,18.0,34.0,52.94,242.0,2.0,2.0,71.0,3.0,20.0,7.12,5.65
1983,1983-09-04,28.180999999999997,22.0,33.0,66.67,198.0,1.0,1.0,80.1,0.0,0.0,6.0,5.24
1983,1983-09-08,28.185,25.0,41.0,60.98,274.0,1.0,3.0,58.4,3.0,27.0,6.68,3.88
