Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1996,1996-09-08,23.156,6.0,17.0,35.29,69.0,0.0,0.0,48.4,4.0,19.0,4.06,4.06
1996,1996-09-29,23.177,10.0,17.0,58.82,186.0,3.0,1.0,111.8,3.0,24.0,10.94,11.82
1996,1996-10-06,23.184,18.0,33.0,54.55,174.0,1.0,2.0,54.4,5.0,37.0,5.27,3.15
1996,1996-10-13,23.191,15.0,29.0,51.72,163.0,1.0,1.0,65.7,4.0,40.0,5.62,4.76
1996,1996-10-20,23.198,9.0,17.0,52.94,129.0,1.0,1.0,72.9,2.0,8.0,7.59,6.12
1996,1996-10-27,23.205,26.0,40.0,65.0,353.0,1.0,2.0,80.5,5.0,29.0,8.83,7.08
1996,1996-11-03,23.212,16.0,35.0,45.71,184.0,0.0,2.0,38.3,6.0,47.0,5.26,2.69
1996,1996-11-10,23.219,15.0,24.0,62.5,188.0,2.0,0.0,114.6,1.0,3.0,7.83,9.5
1996,1996-11-17,23.226,14.0,33.0,42.42,160.0,1.0,1.0,55.1,6.0,39.0,4.85,4.09
1996,1996-11-24,23.233,17.0,37.0,45.95,170.0,1.0,1.0,57.3,3.0,5.0,4.59,3.92
1996,1996-12-01,23.24,11.0,23.0,47.83,231.0,1.0,1.0,80.2,1.0,11.0,10.04,8.96
1996,1996-12-08,23.247,20.0,38.0,52.63,194.0,0.0,1.0,56.3,2.0,12.0,5.11,3.92
1996,1996-12-15,23.254,11.0,16.0,68.75,304.0,3.0,1.0,125.0,2.0,13.0,19.0,19.94
1996,1996-12-21,23.26,4.0,9.0,44.44,39.0,0.0,1.0,17.6,4.0,19.0,4.33,-0.67
1997,1997-08-31,24.148000000000003,13.0,21.0,61.9,226.0,2.0,1.0,110.4,2.0,12.0,10.76,10.52
1997,1997-09-07,24.155,9.0,25.0,36.0,123.0,0.0,0.0,52.6,3.0,19.0,4.92,4.92
1997,1997-09-14,24.162,18.0,33.0,54.55,217.0,0.0,2.0,49.7,5.0,33.0,6.58,3.85
1997,1997-09-21,24.169,15.0,35.0,42.86,176.0,0.0,0.0,58.7,5.0,43.0,5.03,5.03
1997,1997-09-28,24.176,24.0,49.0,48.98,255.0,2.0,3.0,52.7,0.0,0.0,5.2,3.27
1997,1997-10-12,24.19,9.0,23.0,39.13,119.0,0.0,0.0,56.2,4.0,36.0,5.17,5.17
1997,1997-10-19,24.197,17.0,31.0,54.84,164.0,0.0,1.0,56.4,2.0,9.0,5.29,3.84
1997,1997-10-26,24.204,18.0,30.0,60.0,268.0,1.0,0.0,100.4,1.0,7.0,8.93,9.6
1997,1997-11-02,24.211,23.0,34.0,67.65,401.0,2.0,1.0,115.0,1.0,2.0,11.79,11.65
1997,1997-11-09,24.218000000000004,9.0,23.0,39.13,103.0,0.0,0.0,53.4,3.0,23.0,4.48,4.48
1997,1997-11-16,24.225,21.0,38.0,55.26,266.0,2.0,0.0,94.8,3.0,24.0,7.0,8.05
1997,1997-11-23,24.232,6.0,13.0,46.15,61.0,0.0,1.0,28.0,2.0,12.0,4.69,1.23
1997,1997-11-30,24.239,19.0,38.0,50.0,298.0,1.0,0.0,85.2,1.0,14.0,7.84,8.37
1997,1997-12-07,24.246,22.0,41.0,53.66,267.0,3.0,1.0,88.2,5.0,38.0,6.51,6.88
1997,1997-12-14,24.253,13.0,28.0,46.43,147.0,0.0,3.0,23.1,5.0,31.0,5.25,0.43
1997,1997-12-20,24.259,16.0,25.0,64.0,163.0,1.0,0.0,95.9,1.0,14.0,6.52,7.32
1998,1998-09-06,25.154,29.0,44.0,65.91,298.0,1.0,1.0,83.3,6.0,31.0,6.77,6.2
