Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1983,1983-09-04,23.331,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-11,23.338,4.0,4.0,100.0,58.0,0.0,0.0,118.7,1.0,3.0,14.5,14.5
1983,1983-09-18,23.345,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-09-25,23.351999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-02,23.359,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-09,24.000999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-16,24.008000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-23,24.015,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-10-30,24.022,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-11-06,24.029,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-11-13,24.035999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-11-20,24.043000000000003,4.0,11.0,36.36,34.0,0.0,2.0,5.7,2.0,19.0,3.09,-5.09
1983,1983-11-27,24.05,13.0,27.0,48.15,159.0,0.0,1.0,51.3,5.0,47.0,5.89,4.22
1983,1983-12-04,24.057,3.0,10.0,30.0,30.0,0.0,0.0,39.6,2.0,14.0,3.0,3.0
1983,1983-12-11,24.064,12.0,21.0,57.14,172.0,0.0,1.0,64.0,3.0,27.0,8.19,6.05
1983,1983-12-18,24.070999999999998,10.0,22.0,45.45,104.0,1.0,1.0,55.9,3.0,29.0,4.73,3.59
1984,1984-09-02,24.33,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-09,24.337,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-09-16,24.344,12.0,22.0,54.55,126.0,2.0,0.0,101.7,1.0,5.0,5.73,7.55
1984,1984-09-23,24.351,21.0,31.0,67.74,254.0,1.0,0.0,103.4,4.0,29.0,8.19,8.84
1984,1984-09-30,24.358,28.0,42.0,66.67,354.0,3.0,0.0,116.6,0.0,0.0,8.43,9.86
1984,1984-10-07,24.365,14.0,21.0,66.67,178.0,1.0,0.0,108.8,5.0,33.0,8.48,9.43
1984,1984-10-14,25.006,11.0,22.0,50.0,187.0,0.0,1.0,60.2,2.0,14.0,8.5,6.45
1984,1984-10-21,25.013,19.0,29.0,65.52,313.0,3.0,0.0,136.1,1.0,7.0,10.79,12.86
1984,1984-10-28,25.02,23.0,35.0,65.71,273.0,1.0,1.0,87.0,4.0,29.0,7.8,7.09
1984,1984-11-04,25.026999999999997,21.0,38.0,55.26,313.0,1.0,1.0,80.3,4.0,24.0,8.24,7.58
1984,1984-11-11,25.034000000000002,23.0,34.0,67.65,227.0,3.0,2.0,91.2,3.0,17.0,6.68,5.79
1984,1984-11-18,25.041,29.0,42.0,69.05,291.0,4.0,0.0,120.2,6.0,44.0,6.93,8.83
