Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-09-12,24.144000000000002,,,,,,,,,,,
2004,2004-09-19,24.151,,,,,,,,,,,
2004,2004-09-27,24.159000000000002,,,,,,,,,,,
2004,2004-10-10,24.171999999999997,,,,,,,,,,,
2004,2004-10-17,24.179000000000002,,,,,,,,,,,
2004,2004-10-24,24.186,,,,,,,,,,,
2005,2005-09-11,25.143,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-09-19,25.151,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-09-25,25.156999999999996,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-10-02,25.164,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-10-09,25.171,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-10-16,25.178,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-10-23,25.185,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-10-30,25.191999999999997,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-11-14,25.206999999999997,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-11-20,25.213,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-11-24,25.217,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-12-04,25.226999999999997,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-12-11,25.234,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-12-18,25.241,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2005-12-24,25.247,0.0,0.0,,0.0,0.0,0.0,,,,,
2005,2006-01-01,25.255,0.0,0.0,,0.0,0.0,0.0,,,,,
2006,2006-09-10,26.142,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-09-17,26.149,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-01,26.163,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-08,26.17,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-15,26.177,2.0,2.0,100.0,35.0,1.0,0.0,158.3,0.0,0.0,17.5,27.5
2006,2006-10-23,26.185,14.0,25.0,56.0,227.0,2.0,3.0,73.7,2.0,8.0,9.08,5.28
2006,2006-10-29,26.191,24.0,36.0,66.67,270.0,1.0,1.0,86.6,2.0,12.0,7.5,6.81
2006,2006-11-05,26.198,24.0,36.0,66.67,284.0,2.0,0.0,109.0,2.0,17.0,7.89,9.0
2006,2006-11-12,26.205,20.0,29.0,68.97,308.0,2.0,0.0,126.8,0.0,0.0,10.62,12.0
2006,2006-11-19,26.212,19.0,23.0,82.61,226.0,0.0,1.0,89.5,1.0,1.0,9.83,7.87
2006,2006-11-23,26.215999999999998,22.0,29.0,75.86,306.0,5.0,0.0,148.9,1.0,8.0,10.55,14.0
2006,2006-12-03,26.226,20.0,34.0,58.82,257.0,0.0,2.0,58.1,1.0,2.0,7.56,4.91
2006,2006-12-10,26.233,16.0,33.0,48.48,249.0,1.0,2.0,58.8,2.0,18.0,7.55,5.42
2006,2006-12-16,26.239,22.0,29.0,75.86,278.0,2.0,1.0,113.9,3.0,20.0,9.59,9.41
2006,2006-12-25,26.248,14.0,29.0,48.28,142.0,1.0,2.0,45.5,3.0,24.0,4.9,2.48
2006,2006-12-31,26.254,23.0,32.0,71.88,321.0,2.0,1.0,111.6,4.0,14.0,10.03,9.88
2007,2007-09-09,27.141,15.0,24.0,62.5,345.0,4.0,1.0,128.5,1.0,9.0,14.38,15.83
2007,2007-09-16,27.148000000000003,14.0,29.0,48.28,186.0,2.0,0.0,92.0,1.0,0.0,6.41,7.79
2007,2007-09-23,27.155,22.0,35.0,62.86,329.0,2.0,1.0,100.8,3.0,29.0,9.4,9.26
2007,2007-09-30,27.162,21.0,33.0,63.64,339.0,3.0,1.0,115.6,1.0,8.0,10.27,10.73
2007,2007-10-08,27.17,29.0,50.0,58.0,309.0,2.0,5.0,49.9,0.0,0.0,6.18,2.48
2007,2007-10-14,27.176,18.0,29.0,62.07,199.0,2.0,1.0,91.0,2.0,13.0,6.86,6.69
2007,2007-10-21,27.183000000000003,31.0,39.0,79.49,277.0,1.0,0.0,104.8,3.0,24.0,7.1,7.62
2007,2007-11-04,27.197,20.0,25.0,80.0,324.0,3.0,1.0,141.7,0.0,0.0,12.96,13.56
2007,2007-11-11,27.204,20.0,28.0,71.43,247.0,4.0,1.0,123.1,1.0,4.0,8.82,10.07
2007,2007-11-18,27.211,22.0,32.0,68.75,293.0,4.0,1.0,124.1,1.0,6.0,9.16,10.25
2007,2007-11-22,27.215,21.0,28.0,75.0,195.0,2.0,1.0,102.5,3.0,25.0,6.96,6.79
2007,2007-11-29,27.221999999999998,19.0,30.0,63.33,309.0,4.0,1.0,123.5,0.0,0.0,10.3,11.47
2007,2007-12-09,27.232,35.0,44.0,79.55,302.0,2.0,0.0,110.4,3.0,21.0,6.86,7.77
2007,2007-12-16,27.239,13.0,36.0,36.11,214.0,0.0,3.0,22.2,4.0,27.0,5.94,2.19
2007,2007-12-22,27.245,28.0,42.0,66.67,257.0,1.0,1.0,81.2,0.0,0.0,6.12,5.52
2007,2007-12-30,27.253,7.0,16.0,43.75,86.0,0.0,1.0,34.9,1.0,10.0,5.38,2.56
2008,2008-09-07,28.139,24.0,32.0,75.0,320.0,1.0,1.0,103.6,0.0,0.0,10.0,9.22
2008,2008-09-15,28.147,21.0,30.0,70.0,312.0,3.0,1.0,123.2,0.0,0.0,10.4,10.9
2008,2008-09-21,28.153000000000002,17.0,30.0,56.67,260.0,1.0,1.0,82.6,3.0,24.0,8.67,7.83
2008,2008-09-28,28.16,28.0,47.0,59.57,300.0,3.0,1.0,90.7,0.0,0.0,6.38,6.7
2008,2008-10-05,28.166999999999998,14.0,23.0,60.87,176.0,3.0,1.0,106.2,1.0,1.0,7.65,8.3
2008,2008-10-12,28.174,24.0,38.0,63.16,321.0,3.0,0.0,116.2,3.0,20.0,8.45,10.03
2008,2008-11-16,28.209,19.0,27.0,70.37,198.0,1.0,2.0,72.8,0.0,0.0,7.33,4.74
2008,2008-11-23,28.215999999999998,23.0,39.0,58.97,341.0,3.0,0.0,113.3,1.0,7.0,8.74,10.28
2008,2008-11-27,28.22,22.0,34.0,64.71,331.0,3.0,1.0,113.7,0.0,0.0,9.74,10.18
2008,2008-12-07,28.23,19.0,36.0,52.78,210.0,1.0,3.0,44.9,3.0,16.0,5.83,2.64
