Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1994,1994-09-25,22.195999999999998,5.0,10.0,50.0,73.0,0.0,0.0,74.2,3.0,8.0,7.3,7.3
1994,1994-10-09,22.21,6.0,11.0,54.55,81.0,0.0,3.0,38.6,1.0,4.0,7.36,-4.91
1994,1994-10-23,22.224,7.0,23.0,30.43,45.0,0.0,1.0,21.8,1.0,8.0,1.96,0.0
1994,1994-10-30,22.230999999999998,7.0,13.0,53.85,75.0,1.0,1.0,64.6,1.0,8.0,5.77,3.85
1994,1994-11-06,22.238000000000003,13.0,25.0,52.0,159.0,0.0,1.0,55.2,2.0,14.0,6.36,4.56
1995,1995-09-03,23.174,11.0,19.0,57.89,215.0,2.0,1.0,110.6,1.0,13.0,11.32,11.05
1995,1995-09-10,23.180999999999997,20.0,36.0,55.56,255.0,0.0,2.0,54.7,7.0,45.0,7.08,4.58
1995,1995-09-17,23.188000000000002,11.0,27.0,40.74,149.0,0.0,4.0,19.4,2.0,7.0,5.52,-1.15
1995,1995-09-24,23.195,13.0,18.0,72.22,136.0,1.0,0.0,112.3,2.0,13.0,7.56,8.67
1995,1995-10-01,23.201999999999998,3.0,12.0,25.0,55.0,0.0,0.0,46.2,1.0,7.0,4.58,4.58
1995,1995-10-08,23.209,12.0,26.0,46.15,185.0,0.0,0.0,70.2,5.0,34.0,7.12,7.12
1995,1995-10-15,23.215999999999998,24.0,37.0,64.86,249.0,0.0,0.0,84.2,3.0,30.0,6.73,6.73
1995,1995-10-22,23.223000000000003,14.0,28.0,50.0,177.0,0.0,0.0,70.1,1.0,8.0,6.32,6.32
1995,1995-10-29,23.23,10.0,23.0,43.48,82.0,0.0,3.0,13.6,3.0,21.0,3.57,-2.3
1995,1995-11-12,23.244,8.0,13.0,61.54,142.0,0.0,1.0,66.8,3.0,21.0,10.92,7.46
1995,1995-11-19,23.250999999999998,9.0,20.0,45.0,103.0,0.0,0.0,61.0,1.0,2.0,5.15,5.15
1995,1995-11-26,23.258000000000003,27.0,48.0,56.25,312.0,0.0,0.0,76.0,4.0,29.0,6.5,6.5
1995,1995-12-03,23.265,9.0,18.0,50.0,148.0,0.0,1.0,54.9,6.0,42.0,8.22,5.72
1995,1995-12-10,23.272,23.0,42.0,54.76,240.0,0.0,2.0,51.7,3.0,22.0,5.71,3.57
1995,1995-12-17,23.279,22.0,37.0,59.46,226.0,1.0,3.0,52.3,2.0,13.0,6.11,3.0
1995,1995-12-23,23.285,8.0,11.0,72.73,100.0,0.0,1.0,62.7,3.0,24.0,9.09,5.0
1996,1996-09-01,24.171999999999997,13.0,30.0,43.33,123.0,0.0,4.0,15.7,1.0,6.0,4.1,-1.9
1996,1996-09-08,24.179000000000002,14.0,34.0,41.18,176.0,0.0,2.0,33.5,0.0,0.0,5.18,2.53
1996,1996-09-15,24.186,12.0,30.0,40.0,200.0,1.0,1.0,60.4,2.0,14.0,6.67,5.83
1996,1996-09-22,24.193,15.0,26.0,57.69,118.0,0.0,1.0,53.0,2.0,12.0,4.54,2.81
1996,1996-09-29,24.2,14.0,26.0,53.85,119.0,0.0,2.0,34.0,2.0,14.0,4.58,1.12
1996,1996-10-13,24.214000000000002,22.0,35.0,62.86,218.0,3.0,0.0,109.0,1.0,10.0,6.23,7.94
1996,1996-10-20,24.221,22.0,35.0,62.86,229.0,0.0,0.0,81.7,1.0,11.0,6.54,6.54
1996,1996-10-27,24.228,15.0,29.0,51.72,164.0,1.0,2.0,51.5,3.0,25.0,5.66,3.24
1996,1996-11-03,24.235,15.0,32.0,46.88,184.0,1.0,1.0,62.5,1.0,6.0,5.75,4.97
1996,1996-11-10,24.241999999999997,20.0,29.0,68.97,192.0,2.0,1.0,95.8,2.0,15.0,6.62,6.45
1996,1996-11-17,24.249000000000002,30.0,40.0,75.0,327.0,0.0,1.0,88.2,1.0,3.0,8.18,7.05
1996,1996-11-24,24.256,20.0,34.0,58.82,253.0,1.0,0.0,91.9,1.0,2.0,7.44,8.03
1996,1996-12-01,24.263,23.0,41.0,56.1,236.0,0.0,2.0,52.5,4.0,30.0,5.76,3.56
1996,1996-12-08,24.27,8.0,15.0,53.33,112.0,1.0,0.0,99.9,3.0,20.0,7.47,8.8
1996,1996-12-15,24.276999999999997,13.0,32.0,40.63,104.0,0.0,2.0,23.4,3.0,27.0,3.25,0.44
1996,1996-12-22,24.284000000000002,11.0,14.0,78.57,104.0,2.0,0.0,137.2,1.0,12.0,7.43,10.29
1997,1997-08-31,25.171,14.0,26.0,53.85,165.0,1.0,1.0,70.2,2.0,9.0,6.35,5.38
1997,1997-09-07,25.178,12.0,24.0,50.0,115.0,1.0,0.0,77.6,3.0,16.0,4.79,5.63
1997,1997-09-14,25.185,15.0,20.0,75.0,192.0,2.0,0.0,137.9,1.0,7.0,9.6,11.6
1997,1997-09-21,25.191999999999997,18.0,24.0,75.0,248.0,4.0,1.0,129.9,0.0,0.0,10.33,11.79
1997,1997-09-28,25.199,12.0,24.0,50.0,110.0,2.0,1.0,73.3,3.0,22.0,4.58,4.38
1997,1997-10-05,25.206,16.0,29.0,55.17,179.0,0.0,1.0,59.4,3.0,24.0,6.17,4.62
