Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1997,1997-12-21,27.165,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1998,1998-09-06,28.059,17.0,25.0,68.0,208.0,2.0,0.0,120.1,3.0,17.0,8.32,9.92
1998,1998-09-14,28.066999999999997,14.0,25.0,56.0,201.0,1.0,1.0,78.9,4.0,19.0,8.04,7.04
1998,1998-09-20,28.073,27.0,54.0,50.0,383.0,2.0,2.0,70.2,3.0,14.0,7.09,6.17
1998,1998-09-27,28.08,19.0,31.0,61.29,252.0,1.0,2.0,70.9,3.0,17.0,8.13,5.87
1998,1998-10-04,28.087,13.0,29.0,44.83,193.0,1.0,1.0,64.3,4.0,29.0,6.66,5.79
1998,1998-10-11,28.094,12.0,21.0,57.14,115.0,0.0,1.0,52.7,4.0,25.0,5.48,3.33
1998,1998-11-01,28.115,21.0,31.0,67.74,225.0,1.0,0.0,99.5,4.0,29.0,7.26,7.9
1998,1998-11-08,28.122,17.0,33.0,51.52,183.0,1.0,0.0,78.2,3.0,16.0,5.55,6.15
1998,1998-11-15,28.129,14.0,33.0,42.42,169.0,1.0,0.0,68.9,4.0,31.0,5.12,5.73
1998,1998-11-22,28.136,30.0,49.0,61.22,382.0,4.0,1.0,104.3,5.0,29.0,7.8,8.51
1998,1998-11-29,28.143,16.0,31.0,51.61,224.0,3.0,0.0,107.5,3.0,15.0,7.23,9.16
1998,1998-12-06,28.15,18.0,37.0,48.65,235.0,2.0,1.0,75.8,2.0,23.0,6.35,6.22
1998,1998-12-13,28.156999999999996,23.0,42.0,54.76,257.0,2.0,0.0,89.1,1.0,8.0,6.12,7.07
1998,1998-12-19,28.163,16.0,33.0,48.48,191.0,1.0,1.0,64.1,5.0,55.0,5.79,5.03
1998,1998-12-27,28.171,21.0,35.0,60.0,223.0,1.0,1.0,76.2,1.0,11.0,6.37,5.66
2000,2000-10-01,30.084,3.0,4.0,75.0,75.0,1.0,0.0,156.2,0.0,0.0,18.75,23.75
2000,2000-10-22,30.105,15.0,21.0,71.43,205.0,3.0,1.0,122.0,2.0,14.0,9.76,10.48
2000,2000-10-29,30.112,22.0,39.0,56.41,310.0,2.0,1.0,88.6,2.0,12.0,7.95,7.82
2000,2000-11-05,30.119,29.0,42.0,69.05,431.0,2.0,0.0,118.3,5.0,36.0,10.26,11.21
2000,2000-11-12,30.125999999999998,27.0,45.0,60.0,272.0,4.0,1.0,97.6,2.0,16.0,6.04,6.82
2000,2000-11-20,30.134,23.0,38.0,60.53,366.0,2.0,1.0,99.2,6.0,22.0,9.63,9.5
2000,2000-11-26,30.14,20.0,41.0,48.78,289.0,2.0,1.0,78.2,6.0,38.0,7.05,6.93
2000,2000-12-24,30.168000000000003,6.0,10.0,60.0,115.0,0.0,0.0,100.0,1.0,7.0,11.5,11.5
2001,2001-09-09,31.061999999999998,16.0,37.0,43.24,222.0,1.0,1.0,60.9,1.0,3.0,6.0,5.32
2001,2001-09-23,31.076,17.0,34.0,50.0,184.0,0.0,1.0,54.0,1.0,6.0,5.41,4.09
2001,2001-09-30,31.083000000000002,21.0,26.0,80.77,307.0,3.0,0.0,154.3,1.0,1.0,11.81,14.12
2001,2001-10-07,31.09,25.0,40.0,62.5,283.0,0.0,4.0,44.1,4.0,28.0,7.08,2.58
2001,2001-10-14,31.096999999999998,16.0,33.0,48.48,127.0,0.0,1.0,45.9,4.0,21.0,3.85,2.48
2001,2001-10-21,31.104,21.0,44.0,47.73,352.0,1.0,2.0,63.8,1.0,12.0,8.0,6.41
2001,2001-10-25,31.108,22.0,43.0,51.16,324.0,3.0,3.0,70.3,3.0,10.0,7.53,5.79
2001,2001-11-04,31.118000000000002,13.0,25.0,52.0,146.0,0.0,1.0,53.1,2.0,16.0,5.84,4.04
2001,2001-11-11,31.125,16.0,31.0,51.61,143.0,1.0,3.0,35.5,3.0,19.0,4.61,0.9
2001,2001-11-25,31.139,16.0,26.0,61.54,256.0,0.0,0.0,94.4,3.0,11.0,9.85,9.85
2001,2001-11-29,31.143,21.0,35.0,60.0,213.0,1.0,1.0,75.1,2.0,5.0,6.09,5.37
2001,2001-12-09,31.153000000000002,15.0,32.0,46.88,253.0,2.0,1.0,81.9,3.0,10.0,7.91,7.75
2001,2001-12-16,31.16,17.0,21.0,80.95,292.0,1.0,1.0,114.8,5.0,33.0,13.9,12.71
2001,2001-12-23,31.166999999999998,19.0,28.0,67.86,203.0,1.0,2.0,71.0,1.0,0.0,7.25,4.75
2001,2001-12-30,31.174,26.0,35.0,74.29,294.0,2.0,2.0,94.2,2.0,21.0,8.4,6.97
2001,2002-01-06,31.180999999999997,15.0,33.0,45.45,184.0,1.0,1.0,60.7,3.0,2.0,5.58,4.82
2002,2002-09-08,32.061,20.0,29.0,68.97,276.0,1.0,1.0,96.3,0.0,0.0,9.52,8.66
2002,2002-09-15,32.068000000000005,16.0,31.0,51.61,199.0,1.0,2.0,55.7,1.0,3.0,6.42,4.16
2002,2002-09-22,32.075,16.0,25.0,64.0,149.0,3.0,2.0,86.5,3.0,21.0,5.96,4.76
2002,2002-09-29,32.082,24.0,34.0,70.59,328.0,5.0,0.0,140.7,0.0,0.0,9.65,12.59
2002,2002-10-06,32.089,23.0,33.0,69.7,296.0,2.0,1.0,105.1,1.0,7.0,8.97,8.82
2002,2002-10-13,32.096,17.0,29.0,58.62,236.0,3.0,2.0,90.6,1.0,5.0,8.14,7.1
2002,2002-10-20,32.103,20.0,33.0,60.61,172.0,0.0,0.0,74.3,4.0,29.0,5.21,5.21
2002,2002-10-27,32.11,18.0,30.0,60.0,208.0,1.0,2.0,64.3,3.0,18.0,6.93,4.6
2002,2002-11-10,32.124,15.0,27.0,55.56,193.0,0.0,0.0,78.2,3.0,17.0,7.15,7.15
2002,2002-11-17,32.131,12.0,20.0,60.0,197.0,0.0,0.0,93.1,1.0,5.0,9.85,9.85
2002,2002-11-24,32.138000000000005,26.0,34.0,76.47,343.0,2.0,1.0,115.2,2.0,8.0,10.09,9.94
