Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2015,2015-12-20,23.359,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2016,2016-09-08,24.256999999999998,18.0,26.0,69.23,178.0,1.0,2.0,69.1,2.0,19.0,6.85,4.15
2016,2016-09-18,24.267,22.0,33.0,66.67,266.0,0.0,1.0,78.6,1.0,0.0,8.06,6.7
2016,2016-09-25,24.274,23.0,35.0,65.71,312.0,4.0,0.0,132.1,2.0,9.0,8.91,11.2
2016,2016-10-02,24.281,5.0,7.0,71.43,68.0,1.0,0.0,141.7,3.0,20.0,9.71,12.57
2016,2016-10-13,24.291999999999998,30.0,50.0,60.0,230.0,1.0,0.0,77.9,2.0,10.0,4.6,5.0
2016,2016-10-24,24.303,14.0,25.0,56.0,157.0,1.0,0.0,88.2,0.0,0.0,6.28,7.08
2016,2016-10-30,24.309,20.0,38.0,52.63,276.0,0.0,1.0,65.2,1.0,9.0,7.26,6.08
2016,2016-11-06,24.316,18.0,37.0,48.65,283.0,2.0,1.0,81.2,2.0,17.0,7.65,7.51
2016,2016-11-13,24.323,25.0,40.0,62.5,258.0,2.0,2.0,76.9,6.0,24.0,6.45,5.2
2016,2016-11-27,24.337,20.0,34.0,58.82,368.0,3.0,0.0,125.6,5.0,28.0,10.82,12.59
2016,2016-12-11,24.351,35.0,51.0,68.63,334.0,1.0,0.0,93.1,3.0,20.0,6.55,6.94
2016,2016-12-18,24.358,25.0,40.0,62.5,282.0,0.0,1.0,73.1,4.0,31.0,7.05,5.93
2016,2016-12-25,24.365,17.0,43.0,39.53,183.0,0.0,1.0,43.1,0.0,0.0,4.26,3.21
2016,2017-01-01,25.006,17.0,27.0,62.96,206.0,2.0,1.0,95.6,0.0,0.0,7.63,7.44
2017,2017-09-11,25.259,17.0,28.0,60.71,219.0,2.0,1.0,94.2,4.0,38.0,7.82,7.64
2017,2017-09-17,25.265,22.0,32.0,68.75,231.0,4.0,1.0,116.0,2.0,29.0,7.22,8.31
2017,2017-09-24,25.272,24.0,40.0,60.0,259.0,0.0,2.0,58.2,3.0,4.0,6.48,4.23
2017,2017-10-01,25.279,16.0,26.0,61.54,179.0,1.0,0.0,94.9,4.0,24.0,6.88,7.65
2017,2017-10-15,25.293000000000003,29.0,50.0,58.0,376.0,1.0,2.0,71.7,4.0,28.0,7.52,6.12
2017,2017-10-22,25.3,25.0,35.0,71.43,207.0,0.0,1.0,74.3,5.0,25.0,5.91,4.63
2017,2017-10-30,25.308000000000003,19.0,36.0,52.78,198.0,1.0,3.0,43.5,3.0,11.0,5.5,2.31
2017,2017-11-26,25.335,11.0,21.0,52.38,149.0,2.0,0.0,107.0,1.0,7.0,7.1,9.0
2017,2017-12-03,25.342,19.0,41.0,46.34,200.0,0.0,3.0,30.5,3.0,33.0,4.88,1.59
2017,2017-12-10,25.349,19.0,31.0,61.29,200.0,1.0,0.0,90.8,2.0,11.0,6.45,7.1
2017,2017-12-14,25.353,5.0,9.0,55.56,67.0,0.0,1.0,39.8,2.0,10.0,7.44,2.44
2019,2019-09-16,27.264,3.0,6.0,50.0,3.0,0.0,0.0,56.2,2.0,17.0,0.5,0.5
