Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1993,1993-09-05,25.31,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-10-03,25.338,3.0,5.0,60.0,26.0,0.0,0.0,73.7,0.0,0.0,5.2,5.2
1993,1993-10-24,25.359,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-09-11,27.316,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1995,1995-09-17,27.322,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-09-24,27.329,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-11-05,28.006,8.0,15.0,53.33,81.0,1.0,1.0,63.5,0.0,0.0,5.4,3.73
1996,1996-09-09,28.315,6.0,11.0,54.55,70.0,0.0,0.0,74.1,1.0,0.0,6.36,6.36
1996,1996-09-30,28.336,7.0,14.0,50.0,118.0,0.0,1.0,49.1,3.0,19.0,8.43,5.21
1996,1996-10-13,28.349,18.0,33.0,54.55,170.0,0.0,0.0,69.0,1.0,6.0,5.15,5.15
1996,1996-10-20,28.355999999999998,18.0,24.0,75.0,226.0,4.0,1.0,126.0,1.0,3.0,9.42,10.88
1996,1996-10-27,28.363000000000003,23.0,38.0,60.53,342.0,1.0,1.0,87.8,2.0,13.0,9.0,8.34
1996,1996-11-03,29.004,19.0,33.0,57.58,217.0,1.0,0.0,87.6,0.0,0.0,6.58,7.18
1996,1996-11-10,29.011,26.0,44.0,59.09,315.0,2.0,1.0,86.8,5.0,41.0,7.16,7.05
1996,1996-11-17,29.018,21.0,33.0,63.64,251.0,1.0,1.0,84.3,3.0,16.0,7.61,6.85
1996,1996-11-24,29.025,21.0,38.0,55.26,322.0,0.0,1.0,72.5,4.0,30.0,8.47,7.29
1996,1996-12-01,29.031999999999996,25.0,33.0,75.76,284.0,3.0,1.0,118.7,2.0,13.0,8.61,9.06
1996,1996-12-05,29.035999999999998,17.0,34.0,50.0,182.0,0.0,3.0,29.3,1.0,4.0,5.35,1.38
1996,1996-12-14,29.045,17.0,34.0,50.0,198.0,3.0,2.0,72.9,4.0,26.0,5.82,4.94
1996,1996-12-22,29.053,20.0,32.0,62.5,216.0,0.0,1.0,69.3,0.0,0.0,6.75,5.34
1997,1997-08-31,29.305,9.0,25.0,36.0,103.0,0.0,0.0,49.2,2.0,9.0,4.12,4.12
1997,1997-09-07,29.311999999999998,19.0,32.0,59.38,173.0,1.0,0.0,84.5,3.0,15.0,5.41,6.03
1997,1997-09-15,29.32,18.0,30.0,60.0,184.0,1.0,0.0,88.7,2.0,8.0,6.13,6.8
1997,1997-09-28,29.333000000000002,28.0,45.0,62.22,298.0,2.0,2.0,77.8,5.0,26.0,6.62,5.51
1997,1997-10-05,29.34,17.0,27.0,62.96,246.0,0.0,0.0,92.5,0.0,0.0,9.11,9.11
1997,1997-10-12,29.346999999999998,15.0,27.0,55.56,202.0,1.0,1.0,76.5,2.0,12.0,7.48,6.56
1997,1997-11-02,30.003,15.0,27.0,55.56,224.0,2.0,2.0,76.8,0.0,0.0,8.3,6.44
1997,1997-11-10,30.011,13.0,31.0,41.94,137.0,0.0,1.0,42.0,5.0,24.0,4.42,2.97
1998,1998-10-11,30.346,1.0,1.0,100.0,11.0,0.0,0.0,112.5,1.0,1.0,11.0,11.0
1998,1998-11-08,31.009,22.0,36.0,61.11,276.0,3.0,3.0,78.0,3.0,15.0,7.67,5.58
1998,1998-11-30,31.031,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1998,1998-12-14,31.045,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1998,1998-12-20,31.051,1.0,1.0,100.0,25.0,1.0,0.0,158.3,0.0,0.0,25.0,45.0
1998,1998-12-27,31.058000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1999,1999-09-12,31.316999999999997,6.0,13.0,46.15,52.0,0.0,1.0,25.2,2.0,14.0,4.0,0.54
1999,1999-11-07,32.008,7.0,15.0,46.67,81.0,1.0,1.0,57.9,0.0,0.0,5.4,3.73
1999,1999-12-12,32.043,6.0,13.0,46.15,89.0,1.0,0.0,94.7,0.0,0.0,6.85,8.38
1999,1999-12-19,32.05,13.0,24.0,54.17,153.0,1.0,0.0,87.7,2.0,12.0,6.38,7.21
1999,1999-12-26,32.056999999999995,15.0,26.0,57.69,173.0,1.0,0.0,90.7,0.0,0.0,6.65,7.42
2001,2001-09-23,33.328,22.0,42.0,52.38,212.0,1.0,7.0,35.1,3.0,23.0,5.05,-1.98
2001,2001-10-08,33.343,15.0,18.0,83.33,149.0,0.0,1.0,78.0,3.0,17.0,8.28,5.78
2001,2001-12-30,34.061,31.0,51.0,60.78,303.0,0.0,2.0,61.2,6.0,35.0,5.94,4.18
2001,2002-01-06,34.068000000000005,24.0,40.0,60.0,242.0,2.0,0.0,94.0,0.0,0.0,6.05,7.05
2003,2003-10-05,35.34,,,,,,,,,,,
