Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2007,2007-12-02,23.232,2.0,6.0,33.33,41.0,0.0,1.0,18.7,1.0,9.0,6.83,-0.67
2008,2008-09-14,24.153000000000002,14.0,33.0,42.42,151.0,1.0,1.0,54.0,3.0,29.0,4.58,3.82
2008,2008-09-21,24.16,14.0,36.0,38.89,128.0,1.0,3.0,23.8,2.0,11.0,3.56,0.36
2008,2008-10-05,24.174,5.0,10.0,50.0,37.0,0.0,0.0,59.2,1.0,15.0,3.7,3.7
2008,2008-10-19,24.188000000000002,5.0,11.0,45.45,76.0,0.0,0.0,68.7,1.0,6.0,6.91,6.91
2008,2008-10-26,24.195,25.0,36.0,69.44,280.0,2.0,0.0,110.9,4.0,30.0,7.78,8.89
2008,2008-11-02,24.201999999999998,14.0,25.0,56.0,164.0,1.0,0.0,89.4,1.0,0.0,6.56,7.36
2008,2008-11-09,24.209,27.0,41.0,65.85,266.0,3.0,0.0,108.4,1.0,3.0,6.49,7.95
2008,2008-11-16,24.215999999999998,19.0,38.0,50.0,235.0,2.0,1.0,76.1,4.0,29.0,6.18,6.05
2008,2008-11-23,24.223000000000003,17.0,31.0,54.84,240.0,3.0,2.0,85.4,3.0,13.0,7.74,6.77
2008,2008-11-30,24.23,15.0,22.0,68.18,162.0,0.0,1.0,70.6,1.0,6.0,7.36,5.32
2008,2008-12-07,24.237,17.0,32.0,53.13,187.0,1.0,0.0,81.1,1.0,10.0,5.84,6.47
2008,2008-12-14,24.244,19.0,28.0,67.86,171.0,1.0,1.0,81.1,0.0,0.0,6.11,5.21
2008,2008-12-21,24.250999999999998,20.0,41.0,48.78,320.0,2.0,3.0,61.0,3.0,8.0,7.8,5.49
2008,2008-12-28,24.258000000000003,19.0,36.0,52.78,191.0,1.0,0.0,77.4,1.0,2.0,5.31,5.86
2009,2009-09-13,25.151999999999997,0.0,0.0,,0.0,0.0,0.0,,,,,
2009,2010-01-03,25.264,4.0,8.0,50.0,83.0,1.0,2.0,87.0,0.0,0.0,10.38,1.63
2010,2010-10-04,26.173000000000002,2.0,6.0,33.33,15.0,0.0,1.0,2.8,0.0,0.0,2.5,-5.0
2010,2010-11-14,26.214000000000002,4.0,6.0,66.67,64.0,1.0,0.0,141.7,0.0,0.0,10.67,14.0
2010,2010-11-18,26.218000000000004,17.0,29.0,58.62,187.0,0.0,1.0,63.4,6.0,39.0,6.45,4.9
2010,2010-11-28,26.228,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2011-01-02,26.263,10.0,21.0,47.62,169.0,1.0,0.0,91.2,2.0,11.0,8.05,9.0
2011,2011-09-11,27.15,,,,,,,,,,,
2011,2011-11-20,27.22,1.0,5.0,20.0,6.0,0.0,0.0,39.6,0.0,0.0,1.2,1.2
2011,2011-12-11,27.241,2.0,3.0,66.67,19.0,0.0,1.0,44.4,0.0,0.0,6.33,-8.67
2012,2012-09-16,28.155,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-09-30,28.169,,,,,,,,,,,
2012,2012-10-07,28.176,,,,,,,,,,,
2012,2012-12-16,28.246,3.0,5.0,60.0,30.0,0.0,0.0,77.1,0.0,0.0,6.0,6.0
